Test Name,M-max Lower Leg Ampl Lines
Test Item,Right TA
Patient Name,"pre  s2718tdvg"
Patient ID,
Test Date,8/20/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 45 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 100 탎","Tr 5 : 100 mA : 100 탎","Tr 6 : 100 mA : 150 탎","Tr 7 : 100 mA : 200 탎","Tr 8 : 100 mA : 250 탎","Tr 9 : 100 mA : 300 탎","Tr 10 : 100 mA : 300 탎","Tr 11 : 100 mA : 300 탎","Tr 12 : 100 mA : 300 탎","Tr 13 : 100 mA : 300 탎","Tr 14 : 100 mA : 350 탎","Tr 15 : 100 mA : 350 탎","Tr 16 : 100 mA : 350 탎"
,12.207031250,1316.070556641,2925.109863281,3009.033203125,2920.532226563,4138.946533203,4627.990722656,4878.234863281,4934.692382813,5119.323730469,4855.346679688,4988.861083984,4756.164550781,4772.949218750,5193.328857422,5126.190185547
,12.207031250,1540.374755859,3131.866455078,3173.065185547,3060.913085938,4286.956787109,4787.445068359,5032.348632813,5073.547363281,5262.756347656,4998.779296875,5099.487304688,4916.381835938,4913.330078125,5387.878417969,5290.985107422
,10.681152344,1752.471923828,3317.260742188,3334.045410156,3208.923339844,4427.337646484,4930.114746094,5179.595947266,5202.484130859,5399.322509766,5139.923095703,5204.772949219,5078.887939453,5056.762695313,5580.139160156,5456.542968750
,9.918212891,1954.650878906,3482.818603516,3492.736816406,3363.800048828,4564.666748047,5060.577392578,5319.976806641,5326.843261719,5527.496337891,5282.592773438,5300.903320313,5245.971679688,5205.535888672,5771.636962891,5625.152587891
,7.629394531,2149.200439453,3630.065917969,3642.272949219,3516.387939453,4689.025878906,5180.358886719,5439.758300781,5433.654785156,5637.359619141,5413.055419922,5382.537841797,5401.611328125,5349.731445313,5960.083007813,5790.710449219
,6.103515625,2331.542968750,3755.950927734,3768.157958984,3652.191162109,4788.970947266,5279.541015625,5526.733398438,5514.526367188,5718.994140625,5521.392822266,5442.810058594,5534.362792969,5480.194091797,6127.166748047,5937.194824219
,4.577636719,2500.915527344,3852.844238281,3860.473632813,3756.713867188,4850.006103516,5345.153808594,5577.087402344,5561.828613281,5768.585205078,5599.975585938,5477.905273438,5641.174316406,5587.005615234,6262.969970703,6050.872802734
,3.051757813,2653.503417969,3914.642333984,3909.301757813,3821.563720703,4863.739013672,5374.145507813,5585.479736328,5570.983886719,5775.451660156,5641.174316406,5477.905273438,5712.890625000,5664.062500000,6361.389160156,6127.929687500
,3.051757813,2780.151367188,3931.427001953,3912.353515625,3843.688964844,4827.117919922,5362.701416016,5548.858642578,5540.466308594,5727.386474609,5638.122558594,5424.499511719,5741.882324219,5697.631835938,6408.691406250,6159.973144531
,3.051757813,2875.518798828,3903.198242188,3868.865966797,3820.037841797,4734.039306641,5302.429199219,5458.831787109,5462.646484375,5609.893798828,5573.272705078,5297.088623047,5710.601806641,5668.640136719,6392.669677734,6140.899658203
,1.525878906,2938.842773438,3827.667236328,3779.602050781,3755.187988281,4589.080810547,5185.699462891,5289.459228516,5323.028564453,5393.218994141,5426.025390625,5071.258544922,5592.346191406,5554.199218750,6295.013427734,6056.213378906
,1.525878906,2969.360351563,3708.648681641,3645.324707031,3640.747070313,4384.613037109,4994.964599609,5022.430419922,5099.487304688,5058.288574219,5170.440673828,4724.121093750,5359.649658203,5326.843261719,6090.545654297,5881.500244141
,0.000000000,2967.071533203,3549.957275391,3466.796875000,3472.137451172,4112.243652344,4708.862304688,4638.671875000,4774.475097656,4596.710205078,4789.733886719,4248.809814453,4998.779296875,4970.550537109,5761.718750000,5596.923828125
,-1.525878906,2933.502197266,3350.067138672,3244.781494141,3248.596191406,3765.869140625,4315.185546875,4129.791259766,4334.259033203,4006.958007813,4283.905029297,3649.902343750,4505.157470703,4482.269287109,5296.325683594,5179.595947266
,-0.762939453,2868.652343750,3114.318847656,2983.093261719,2970.886230469,3343.200683594,3810.119628906,3511.047363281,3778.839111328,3313.446044922,3659.820556641,2949.523925781,3887.939453125,3868.103027344,4698.181152344,4628.753662109
,-0.762939453,2773.284912109,2841.186523438,2690.887451172,2647.399902344,2853.393554688,3204.345703125,2803.039550781,3124.237060547,2552.795410156,2944.183349609,2188.110351563,3173.828125000,3153.228759766,3981.781005859,3955.841064453
,0.000000000,2654.266357422,2537.536621094,2375.030517578,2297.973632813,2320.861816406,2522.277832031,2048.492431641,2402.496337891,1774.597167969,2178.955078125,1420.593261719,2405.548095703,2378.845214844,3178.405761719,3192.138671875
,1.525878906,2520.751953125,2211.761474609,2056.884765625,1950.073242188,1780.700683594,1810.455322266,1301.574707031,1667.785644531,1032.257080078,1416.015625000,695.800781250,1633.453369141,1595.306396484,2338.409423828,2395.629882813
,1.525878906,2379.608154297,1882.934570313,1754.760742188,1627.349853516,1270.294189453,1119.232177734,609.588623047,971.221923828,370.025634766,707.244873047,63.323974609,909.423828125,855.255126953,1511.383056641,1612.091064453
,0.762939453,2242.279052734,1573.181152344,1481.628417969,1353.454589844,823.211669922,495.910644531,19.836425781,362.396240234,-180.053710938,98.419189453,-453.948974609,274.658203125,204.467773438,746.917724609,895.690917969
,0.000000000,2120.971679688,1303.863525391,1258.850097656,1138.305664063,463.104248047,-21.362304688,-444.793701172,-130.462646484,-608.825683594,-389.862060547,-846.862792969,-250.244140625,-332.641601563,86.975097656,279.235839844
,0.000000000,2020.263671875,1094.818115234,1086.425781250,980.377197266,195.312500000,-423.431396484,-783.538818359,-498.962402344,-912.475585938,-754.547119141,-1116.943359375,-660.705566406,-746.154785156,-452.423095703,-223.541259766
,0.000000000,1951.599121094,950.622558594,964.355468750,878.906250000,16.021728516,-708.007812500,-1000.213623047,-746.917724609,-1099.395751953,-999.450683594,-1279.449462891,-959.777832031,-1039.886474609,-862.121582031,-603.485107422
,-0.762939453,1910.400390625,868.225097656,892.639160156,824.737548828,-87.738037109,-885.009765625,-1114.654541016,-889.587402344,-1188.659667969,-1140.594482422,-1350.402832031,-1157.379150391,-1225.280761719,-1143.646240234,-868.988037109
,-1.525878906,1892.089843750,839.233398438,855.255126953,802.612304688,-134.277343750,-967.407226563,-1154.327392578,-947.570800781,-1201.629638672,-1197.814941406,-1356.506347656,-1273.345947266,-1322.174072266,-1313.018798828,-1034.545898438
,-2.288818359,1895.141601563,848.388671875,843.048095703,796.508789063,-143.432617188,-977.325439453,-1137.542724609,-950.622558594,-1166.534423828,-1196.289062500,-1323.699951172,-1328.277587891,-1351.928710938,-1391.601562500,-1119.232177734
,-1.525878906,1905.822753906,878.906250000,839.233398438,782.775878906,-139.617919922,-939.178466797,-1102.447509766,-933.074951172,-1115.417480469,-1167.297363281,-1286.315917969,-1351.165771484,-1345.825195313,-1409.912109375,-1154.327392578
,0.000000000,1921.081542969,907.897949219,817.108154297,734.710693359,-151.824951172,-889.587402344,-1081.085205078,-930.786132813,-1080.322265625,-1148.223876953,-1272.583007813,-1377.105712891,-1338.958740234,-1409.149169922,-1171.875000000
,1.525878906,1926.422119141,909.423828125,753.784179688,631.713867188,-207.519531250,-867.462158203,-1096.343994141,-971.221923828,-1085.662841797,-1165.008544922,-1299.285888672,-1427.459716797,-1353.454589844,-1418.304443359,-1200.866699219
,4.577636719,1904.296875000,856.018066406,626.373291016,462.341308594,-321.960449219,-894.165039063,-1164.245605469,-1062.011718750,-1139.831542969,-1229.095458984,-1367.950439453,-1510.620117188,-1404.571533203,-1461.791992188,-1262.664794922
,6.866455078,1835.632324219,731.658935547,428.009033203,230.407714844,-496.673583984,-978.851318359,-1274.108886719,-1195.526123047,-1234.436035156,-1335.144042969,-1468.658447266,-1624.298095703,-1490.783691406,-1543.426513672,-1358.795166016
,9.155273438,1703.643798828,533.294677734,172.424316406,-43.487548828,-711.059570313,-1107.025146484,-1404.571533203,-1348.114013672,-1349.639892578,-1459.503173828,-1579.284667969,-1746.368408203,-1592.254638672,-1651.000976563,-1477.813720703
,12.207031250,1506.805419922,278.472900391,-114.440917969,-330.352783203,-937.652587891,-1251.983642578,-1528.930664063,-1492.309570313,-1460.266113281,-1578.521728516,-1679.229736328,-1853.179931641,-1689.147949219,-1766.204833984,-1598.358154297
,14.495849609,1251.220703125,-2.288818359,-400.543212891,-604.248046875,-1152.038574219,-1389.312744141,-1631.164550781,-1612.854003906,-1555.633544922,-1676.940917969,-1757.812500000,-1934.814453125,-1769.256591797,-1865.386962891,-1702.880859375
,16.021728516,955.963134766,-282.287597656,-665.283203125,-851.440429688,-1338.195800781,-1502.227783203,-1701.354980469,-1699.829101563,-1628.112792969,-1745.605468750,-1802.825927734,-1981.353759766,-1824.188232422,-1937.866210938,-1781.463623047
,17.547607422,644.683837891,-540.161132813,-898.742675781,-1062.774658203,-1487.731933594,-1583.862304688,-1734.161376953,-1747.131347656,-1667.785644531,-1781.463623047,-1818.847656250,-1991.271972656,-1847.839355469,-1977.539062500,-1831.054687500
,17.547607422,333.404541016,-762.939453125,-1091.766357422,-1236.724853516,-1595.306396484,-1630.401611328,-1738.739013672,-1764.678955078,-1686.859130859,-1792.907714844,-1816.558837891,-1980.590820313,-1847.076416016,-1982.879638672,-1852.416992188
,18.310546875,38.909912109,-946.807861328,-1250.457763672,-1379.394531250,-1666.259765625,-1649.475097656,-1728.057861328,-1760.101318359,-1689.147949219,-1790.618896484,-1802.825927734,-1958.465576172,-1831.817626953,-1969.146728516,-1859.283447266
,18.310546875,-224.304199219,-1091.003417969,-1376.342773438,-1492.309570313,-1707.458496094,-1647.186279297,-1707.458496094,-1742.553710938,-1679.229736328,-1780.700683594,-1788.330078125,-1933.288574219,-1807.403564453,-1942.443847656,-1853.179931641
,19.073486328,-455.474853516,-1201.629638672,-1472.473144531,-1580.047607422,-1730.346679688,-1634.979248047,-1692.199707031,-1730.346679688,-1673.889160156,-1773.071289063,-1776.885986328,-1917.266845703,-1789.093017578,-1912.689208984,-1844.787597656
,20.599365234,-648.498535156,-1281.738281250,-1551.055908203,-1651.000976563,-1750.183105469,-1625.823974609,-1679.229736328,-1724.243164063,-1668.548583984,-1769.256591797,-1764.678955078,-1902.770996094,-1776.123046875,-1888.275146484,-1843.261718750
,22.888183594,-806.427001953,-1345.062255859,-1610.565185547,-1699.066162109,-1766.204833984,-1622.009277344,-1660.156250000,-1716.613769531,-1659.393310547,-1760.101318359,-1745.605468750,-1882.171630859,-1759.338378906,-1863.861083984,-1838.684082031
,25.177001953,-941.467285156,-1399.230957031,-1652.526855469,-1723.480224609,-1776.885986328,-1619.720458984,-1633.453369141,-1702.117919922,-1641.082763672,-1742.553710938,-1710.510253906,-1849.365234375,-1735.687255859,-1835.632324219,-1830.291748047
,28.228759766,-1058.959960938,-1444.244384766,-1677.703857422,-1721.191406250,-1769.256591797,-1606.750488281,-1583.862304688,-1660.919189453,-1599.121093750,-1702.880859375,-1645.660400391,-1789.093017578,-1686.859130859,-1795.959472656,-1799.011230469
,30.517578125,-1162.719726563,-1478.576660156,-1671.600341797,-1682.281494141,-1726.531982422,-1565.551757813,-1502.990722656,-1583.099365234,-1528.930664063,-1630.401611328,-1546.478271484,-1696.777343750,-1608.276367188,-1730.346679688,-1728.057861328
,32.806396484,-1251.220703125,-1486.968994141,-1631.164550781,-1607.513427734,-1644.134521484,-1487.731933594,-1390.838623047,-1465.606689453,-1424.407958984,-1525.115966797,-1411.437988281,-1571.655273438,-1496.124267578,-1631.927490234,-1619.720458984
,33.569335938,-1306.915283203,-1457.977294922,-1552.581787109,-1495.361328125,-1520.538330078,-1368.713378906,-1239.776611328,-1307.678222656,-1284.790039063,-1381.683349609,-1244.354248047,-1411.437988281,-1349.639892578,-1499.176025391,-1472.473144531
,34.332275391,-1312.255859375,-1386.260986328,-1432.800292969,-1348.876953125,-1361.846923828,-1213.836669922,-1058.197021484,-1114.654541016,-1115.417480469,-1206.207275391,-1049.804687500,-1226.806640625,-1177.215576172,-1333.618164063,-1297.760009766
,34.332275391,-1267.242431641,-1268.768310547,-1280.975341797,-1172.637939453,-1178.741455078,-1027.679443359,-849.151611328,-894.165039063,-916.290283203,-1001.739501953,-827.789306641,-1015.472412109,-976.562500000,-1136.779785156,-1102.447509766
,33.569335938,-1165.771484375,-1116.180419922,-1098.632812500,-965.881347656,-970.458984375,-815.582275391,-615.692138672,-650.024414063,-688.934326172,-767.517089844,-579.833984375,-776.672363281,-747.680664063,-914.764404297,-881.195068359
,32.043457031,-1022.338867188,-933.837890625,-882.720947266,-731.658935547,-736.999511719,-582.885742188,-369.262695313,-390.625000000,-444.793701172,-513.458251953,-317.382812500,-520.324707031,-495.910644531,-664.520263672,-634.765625000
,31.280517578,-854.492187500,-725.555419922,-640.869140625,-473.785400391,-485.992431641,-337.219238281,-118.255615234,-132.751464844,-196.075439453,-254.821777344,-61.035156250,-257.110595703,-233.459472656,-398.254394531,-372.314453125
,32.043457031,-660.705566406,-494.384765625,-380.706787109,-209.808349609,-231.170654297,-94.604492188,119.781494141,109.100341797,39.672851563,-6.866455078,176.239013672,-3.814697266,21.362304688,-133.514404297,-108.337402344
,35.095214844,-448.608398438,-250.244140625,-121.307373047,42.724609375,11.444091797,131.988525391,332.641601563,324.249267578,247.192382813,215.148925781,377.655029297,218.963623047,250.244140625,114.440917969,136.566162109
,38.146972656,-224.304199219,-10.681152344,118.255615234,267.791748047,225.067138672,332.641601563,511.169433594,498.199462891,421.142578125,400.543212891,539.398193359,407.409667969,440.216064453,327.301025391,350.952148438
,39.672851563,8.392333984,209.045410156,325.012207031,457.763671875,404.357910156,501.251220703,648.498535156,634.765625000,561.523437500,550.079345703,663.757324219,557.708740234,592.041015625,502.014160156,528.717041016
,41.198730469,232.696533203,396.728515625,495.910644531,611.877441406,551.605224609,635.528564453,742.340087891,731.658935547,661.468505859,660.705566406,743.865966797,665.283203125,704.956054688,638.580322266,666.809082031
,41.961669922,433.349609375,551.605224609,630.950927734,727.844238281,659.179687500,730.895996094,788.879394531,783.538818359,718.688964844,725.555419922,777.435302734,726.318359375,773.620605469,732.421875000,761.413574219
,43.487548828,602.722167969,675.964355469,727.844238281,800.323486328,722.503662109,783.538818359,787.353515625,798.797607422,730.133056641,744.628906250,762.176513672,736.999511719,797.271728516,782.012939453,806.427001953
,44.250488281,733.947753906,764.465332031,781.250000000,822.448730469,734.710693359,788.116455078,736.999511719,765.228271484,688.934326172,713.348388672,698.089599609,691.223144531,767.517089844,782.775878906,800.323486328
,45.776367188,825.500488281,810.241699219,783.538818359,787.353515625,687.408447266,738.525390625,643.157958984,683.593750000,602.722167969,631.713867188,589.752197266,592.803955078,687.408447266,727.081298828,740.051269531
,45.013427734,873.565673828,800.323486328,730.895996094,698.852539063,587.463378906,638.580322266,507.354736328,558.471679688,476.074218750,507.354736328,445.556640625,451.660156250,561.523437500,622.558593750,628.662109375
,44.250488281,872.802734375,734.710693359,625.610351563,566.101074219,446.319580078,494.384765625,339.508056641,392.913818359,315.093994141,348.663330078,272.369384766,279.235839844,400.543212891,476.837158203,476.837158203
,43.487548828,817.108154297,620.269775391,479.888916016,400.543212891,275.421142578,318.908691406,145.721435547,202.178955078,131.225585938,164.794921875,77.819824219,86.975097656,214.385986328,299.835205078,292.968750000
,41.961669922,711.059570313,466.156005859,301.361083984,215.148925781,86.975097656,123.596191406,-61.798095703,-1.525878906,-66.375732422,-32.806396484,-122.833251953,-111.389160156,12.207031250,106.048583984,90.026855469
,41.198730469,566.864013672,288.391113281,105.285644531,23.651123047,-106.811523438,-81.634521484,-272.369384766,-208.282470703,-270.843505859,-235.748291016,-323.486328125,-311.279296875,-193.023681641,-96.130371094,-119.018554688
,41.198730469,400.543212891,96.893310547,-93.841552734,-167.846679688,-303.649902344,-288.391113281,-480.651855469,-408.172607422,-469.970703125,-436.401367188,-514.984130859,-505.065917969,-395.965576172,-300.598144531,-329.589843750
,40.435791016,222.778320313,-99.945068359,-290.679931641,-350.189208984,-495.910644531,-490.570068359,-675.201416016,-593.566894531,-657.653808594,-629.425048828,-690.460205078,-687.408447266,-589.752197266,-498.199462891,-531.768798828
,39.672851563,44.250488281,-293.731689453,-473.785400391,-517.272949219,-674.438476563,-679.779052734,-850.677490234,-762.939453125,-827.789306641,-805.664062500,-849.914550781,-854.492187500,-767.517089844,-681.304931641,-719.451904297
,39.672851563,-135.803222656,-476.837158203,-639.343261719,-668.334960938,-836.944580078,-849.151611328,-1004.791259766,-913.238525391,-977.325439453,-962.066650391,-992.584228516,-1004.028320313,-927.734375000,-846.862792969,-890.350341797
,40.435791016,-314.331054688,-645.446777344,-788.116455078,-801.086425781,-979.614257813,-998.687744141,-1139.068603516,-1045.227050781,-1107.788085938,-1099.395751953,-1118.469238281,-1135.253906250,-1069.641113281,-993.347167969,-1040.649414063
,39.672851563,-482.177734375,-796.508789063,-920.104980469,-917.816162109,-1103.210449219,-1129.913330078,-1252.746582031,-1158.142089844,-1218.414306641,-1217.651367188,-1226.043701172,-1245.880126953,-1193.237304688,-1121.520996094,-1171.875000000
,39.672851563,-637.817382813,-928.497314453,-1036.834716797,-1021.575927734,-1209.259033203,-1242.828369141,-1351.928710938,-1252.746582031,-1312.255859375,-1321.411132813,-1319.122314453,-1342.010498047,-1299.285888672,-1233.673095703,-1284.790039063
,38.146972656,-772.857666016,-1042.175292969,-1138.305664063,-1111.602783203,-1300.048828125,-1344.299316406,-1438.140869141,-1331.329345703,-1390.075683594,-1409.912109375,-1397.705078125,-1423.645019531,-1390.075683594,-1332.092285156,-1380.920410156
,35.858154297,-889.587402344,-1139.831542969,-1224.517822266,-1187.896728516,-1377.105712891,-1430.511474609,-1509.857177734,-1395.416259766,-1453.399658203,-1482.391357422,-1464.080810547,-1492.309570313,-1464.843750000,-1416.015625000,-1459.503173828
,34.332275391,-990.295410156,-1219.940185547,-1293.182373047,-1251.220703125,-1439.666748047,-1501.464843750,-1569.366455078,-1447.296142578,-1503.753662109,-1540.374755859,-1517.486572266,-1551.055908203,-1525.878906250,-1485.443115234,-1521.301269531
,32.806396484,-1077.270507813,-1285.552978516,-1347.351074219,-1300.811767578,-1490.020751953,-1557.922363281,-1614.379882813,-1486.206054688,-1542.663574219,-1584.625244141,-1557.922363281,-1596.832275391,-1573.944091797,-1540.374755859,-1566.314697266
,32.806396484,-1149.749755859,-1338.958740234,-1386.260986328,-1333.618164063,-1526.641845703,-1598.358154297,-1646.423339844,-1511.383056641,-1570.892333984,-1615.905761719,-1583.862304688,-1627.349853516,-1606.750488281,-1580.810546875,-1596.069335938
,32.806396484,-1210.021972656,-1378.631591797,-1413.726806641,-1353.454589844,-1548.767089844,-1625.823974609,-1664.733886719,-1524.353027344,-1587.677001953,-1634.979248047,-1594.543457031,-1644.134521484,-1625.823974609,-1605.987548828,-1610.565185547
,32.043457031,-1257.324218750,-1408.386230469,-1428.222656250,-1359.558105469,-1557.159423828,-1641.082763672,-1667.785644531,-1523.590087891,-1591.491699219,-1638.793945313,-1589.965820313,-1645.660400391,-1629.638671875,-1617.431640625,-1610.565185547
,31.280517578,-1292.419433594,-1427.459716797,-1429.748535156,-1351.165771484,-1552.581787109,-1641.845703125,-1654.815673828,-1508.331298828,-1580.810546875,-1628.112792969,-1572.418212891,-1631.164550781,-1618.194580078,-1615.905761719,-1592.254638672
,28.991699219,-1316.833496094,-1435.852050781,-1418.304443359,-1332.092285156,-1534.271240234,-1628.875732422,-1627.349853516,-1485.443115234,-1556.396484375,-1602.935791016,-1544.952392578,-1605.224609375,-1595.306396484,-1599.884033203,-1560.211181641
,26.702880859,-1332.092285156,-1432.037353516,-1396.942138672,-1306.915283203,-1508.331298828,-1602.172851563,-1592.254638672,-1454.925537109,-1525.115966797,-1570.129394531,-1514.434814453,-1570.892333984,-1564.788818359,-1576.232910156,-1519.012451172
,23.651123047,-1336.669921875,-1416.015625000,-1369.476318359,-1277.923583984,-1478.576660156,-1568.603515625,-1554.870605469,-1424.407958984,-1490.783691406,-1535.797119141,-1485.443115234,-1532.745361328,-1532.745361328,-1547.241210938,-1475.524902344
,19.836425781,-1331.329345703,-1390.838623047,-1338.958740234,-1251.983642578,-1449.584960938,-1535.797119141,-1519.775390625,-1397.705078125,-1461.029052734,-1502.990722656,-1457.977294922,-1497.650146484,-1501.464843750,-1518.249511719,-1438.140869141
,17.547607422,-1318.359375000,-1360.321044922,-1311.492919922,-1229.858398438,-1423.645019531,-1506.805419922,-1487.731933594,-1371.002197266,-1433.563232422,-1473.236083984,-1432.037353516,-1464.080810547,-1472.473144531,-1490.783691406,-1406.860351563
,15.258789063,-1298.522949219,-1329.040527344,-1285.552978516,-1208.496093750,-1399.993896484,-1480.865478516,-1455.688476563,-1343.536376953,-1406.097412109,-1445.007324219,-1403.045654297,-1429.748535156,-1443.481445313,-1464.080810547,-1378.631591797
,12.207031250,-1275.634765625,-1300.048828125,-1258.087158203,-1184.082031250,-1375.579833984,-1453.399658203,-1422.119140625,-1313.018798828,-1375.579833984,-1412.963867188,-1369.476318359,-1395.416259766,-1410.675048828,-1433.563232422,-1351.928710938
,9.918212891,-1251.220703125,-1270.294189453,-1229.858398438,-1156.616210938,-1345.825195313,-1422.119140625,-1385.498046875,-1277.923583984,-1341.247558594,-1377.868652344,-1332.855224609,-1357.269287109,-1375.579833984,-1399.993896484,-1322.937011719
,6.866455078,-1225.280761719,-1240.539550781,-1197.814941406,-1125.335693359,-1311.492919922,-1386.260986328,-1345.825195313,-1239.776611328,-1303.863525391,-1339.721679688,-1293.945312500,-1318.359375000,-1338.195800781,-1363.372802734,-1290.893554688
,4.577636719,-1198.577880859,-1209.259033203,-1162.719726563,-1090.240478516,-1272.583007813,-1345.825195313,-1306.152343750,-1200.103759766,-1264.953613281,-1297.760009766,-1254.272460938,-1277.923583984,-1296.997070313,-1324.462890625,-1258.087158203
,4.577636719,-1168.060302734,-1174.926757813,-1126.861572266,-1053.619384766,-1230.621337891,-1303.100585938,-1264.953613281,-1159.667968750,-1224.517822266,-1255.035400391,-1216.125488281,-1235.961914063,-1257.324218750,-1284.790039063,-1222.991943359
,-1.525878906,-1136.016845703,-1139.068603516,-1088.714599609,-1014.709472656,-1187.896728516,-1259.613037109,-1223.754882813,-1119.995117188,-1183.319091797,-1211.547851563,-1177.978515625,-1194.000244141,-1216.888427734,-1243.591308594,-1186.370849609
,-9.918212891,-1100.921630859,-1102.447509766,-1051.330566406,-976.562500000,-1145.935058594,-1215.362548828,-1183.319091797,-1081.848144531,-1141.357421875,-1167.297363281,-1141.357421875,-1150.512695313,-1177.215576172,-1203.155517578,-1148.986816406
,-21.362304688,-1064.300537109,-1062.774658203,-1013.946533203,-941.467285156,-1104.736328125,-1174.163818359,-1142.120361328,-1045.227050781,-1100.158691406,-1125.335693359,-1106.262207031,-1109.313964844,-1139.068603516,-1161.956787109,-1110.839843750
,-35.858154297,-1026.153564453,-1025.390625000,-975.799560547,-909.423828125,-1065.826416016,-1135.253906250,-1101.684570313,-1009.368896484,-1058.959960938,-1084.899902344,-1071.166992188,-1070.404052734,-1100.921630859,-1123.046875000,-1073.455810547
,-40.435791016,-987.243652344,-990.295410156,-938.415527344,-878.143310547,-1028.442382813,-1098.632812500,-1062.011718750,-974.273681641,-1017.761230469,-1047.515869141,-1037.597656250,-1033.020019531,-1064.300537109,-1085.662841797,-1036.071777344
,-41.961669922,-949.096679688,-956.726074219,-901.031494141,-849.151611328,-991.821289063,-1063.537597656,-1022.338867188,-939.941406250,-975.799560547,-1010.131835938,-1004.028320313,-997.161865234,-1028.442382813,-1049.804687500,-999.450683594
,-39.672851563,-913.238525391,-923.919677734,-865.173339844,-820.922851563,-956.726074219,-1026.916503906,-982.666015625,-904.846191406,-935.363769531,-974.273681641,-971.221923828,-962.066650391,-993.347167969,-1015.472412109,-963.592529297
,-32.806396484,-879.669189453,-891.876220703,-832.366943359,-792.694091797,-922.393798828,-991.058349609,-946.044921875,-869.750976563,-894.927978516,-939.178466797,-939.178466797,-927.734375000,-960.540771484,-981.140136719,-928.497314453
,-30.517578125,-847.625732422,-859.832763672,-800.323486328,-765.991210938,-890.350341797,-955.200195313,-910.949707031,-836.181640625,-857.543945313,-904.083251953,-907.897949219,-894.165039063,-927.734375000,-947.570800781,-894.927978516
,-25.939941406,-817.871093750,-829.315185547,-771.331787109,-740.051269531,-859.069824219,-920.104980469,-877.380371094,-801.849365234,-823.211669922,-870.513916016,-877.380371094,-861.358642578,-895.690917969,-914.001464844,-862.884521484
,-22.125244141,-789.642333984,-800.323486328,-740.814208984,-714.874267578,-827.789306641,-885.772705078,-843.048095703,-767.517089844,-788.116455078,-835.418701172,-846.099853516,-827.789306641,-863.647460938,-879.669189453,-830.078125000
,-19.073486328,-762.939453125,-773.620605469,-709.533691406,-688.934326172,-796.508789063,-851.440429688,-806.427001953,-732.421875000,-753.784179688,-797.271728516,-814.056396484,-793.457031250,-829.315185547,-846.099853516,-795.745849609
,-16.021728516,-739.288330078,-746.154785156,-678.253173828,-660.705566406,-764.465332031,-814.819335938,-766.754150391,-695.800781250,-717.163085938,-756.835937500,-778.961181641,-756.835937500,-793.457031250,-811.004638672,-759.124755859
,-13.732910156,-714.111328125,-717.163085938,-646.972656250,-630.187988281,-730.895996094,-777.435302734,-724.792480469,-658.416748047,-677.490234375,-714.874267578,-743.103027344,-719.451904297,-756.835937500,-775.909423828,-717.926025391
,-12.969970703,-688.934326172,-688.171386719,-615.692138672,-597.381591797,-696.563720703,-739.288330078,-682.067871094,-621.795654297,-637.817382813,-672.149658203,-704.956054688,-682.067871094,-717.163085938,-739.288330078,-675.201416016
,-11.444091797,-662.994384766,-655.364990234,-585.174560547,-565.338134766,-660.705566406,-702.667236328,-640.869140625,-587.463378906,-599.670410156,-630.950927734,-668.334960938,-644.683837891,-677.490234375,-703.430175781,-631.713867188
,-9.918212891,-635.528564453,-624.084472656,-553.131103516,-534.820556641,-626.373291016,-668.334960938,-601.196289063,-554.656982422,-565.338134766,-592.041015625,-634.002685547,-609.588623047,-639.343261719,-667.572021484,-587.463378906
,-8.392333984,-609.588623047,-592.041015625,-521.087646484,-505.065917969,-592.041015625,-635.528564453,-565.338134766,-524.902343750,-534.820556641,-556.182861328,-600.433349609,-576.019287109,-601.959228516,-633.239746094,-545.501708984
,-6.866455078,-583.648681641,-559.234619141,-489.044189453,-476.837158203,-559.234619141,-605.010986328,-532.531738281,-497.436523438,-507.354736328,-522.613525391,-570.678710938,-545.501708984,-568.389892578,-600.433349609,-506.591796875
,-6.103515625,-559.234619141,-529.479980469,-460.052490234,-451.660156250,-529.479980469,-575.256347656,-502.014160156,-473.022460938,-481.414794922,-492.858886719,-543.212890625,-518.035888672,-537.872314453,-568.389892578,-470.733642578
,-5.340576172,-536.346435547,-501.251220703,-433.349609375,-428.009033203,-502.014160156,-545.501708984,-473.022460938,-449.371337891,-456.237792969,-466.156005859,-517.272949219,-492.095947266,-509.643554688,-537.872314453,-438.690185547
,-5.340576172,-514.221191406,-475.311279297,-408.172607422,-406.646728516,-476.837158203,-518.035888672,-445.556640625,-427.246093750,-431.823730469,-440.216064453,-492.858886719,-467.681884766,-484.466552734,-508.117675781,-408.935546875
,-5.340576172,-492.095947266,-451.660156250,-384.521484375,-385.284423828,-454.711914063,-491.333007813,-419.616699219,-404.357910156,-408.172607422,-417.327880859,-468.444824219,-444.030761719,-460.052490234,-481.414794922,-380.706787109
,-5.340576172,-470.733642578,-430.297851563,-361.633300781,-363.922119141,-433.349609375,-465.393066406,-395.965576172,-381.469726563,-386.047363281,-394.439697266,-445.556640625,-420.379638672,-436.401367188,-456.237792969,-354.766845703
,-4.577636719,-447.845458984,-408.935546875,-340.270996094,-342.559814453,-412.750244141,-441.741943359,-376.129150391,-359.344482422,-364.685058594,-373.077392578,-421.905517578,-397.491455078,-411.987304688,-432.586669922,-329.589843750
