Test Name,M-max Lower Leg Ampl Lines
Test Item,Left TA
Patient Name,"mid  s2718tdvg"
Patient ID,
Test Date,9/24/2019
Trace Label,"Tr 1 : 0 mA : 200 탎","Tr 2 : 80 mA : 200 탎","Tr 3 : 100 mA : 200 탎","Tr 4 : 100 mA : 300 탎","Tr 5 : 100 mA : 400 탎","Tr 6 : 100 mA : 400 탎","Tr 7 : 100 mA : 400 탎","Tr 8 : 100 mA : 400 탎","Tr 9 : 100 mA : 400 탎","Tr 10 : 100 mA : 500 탎","Tr 11 : 100 mA : 500 탎","Tr 12 : 100 mA : 500 탎","Tr 13 : 100 mA : 500 탎"
,28.228759766,23.651123047,28.228759766,38.909912109,19.836425781,42.724609375,-9.155273438,35.858154297,41.198730469,63.323974609,26.702880859,41.198730469,11.444091797
,28.991699219,22.125244141,29.754638672,38.146972656,19.836425781,45.013427734,-12.969970703,38.909912109,38.909912109,65.612792969,27.465820313,38.146972656,12.207031250
,28.991699219,19.073486328,32.043457031,35.858154297,20.599365234,46.539306641,-14.495849609,42.724609375,37.384033203,68.664550781,26.702880859,34.332275391,12.969970703
,29.754638672,18.310546875,33.569335938,32.806396484,20.599365234,48.828125000,-14.495849609,46.539306641,37.384033203,71.716308594,25.939941406,31.280517578,14.495849609
,29.754638672,17.547607422,35.095214844,31.280517578,20.599365234,50.354003906,-12.969970703,51.116943359,38.146972656,74.768066406,22.888183594,27.465820313,15.258789063
,30.517578125,17.547607422,38.146972656,30.517578125,21.362304688,51.879882813,-11.444091797,52.642822266,38.146972656,77.056884766,19.073486328,25.939941406,16.784667969
,30.517578125,19.073486328,40.435791016,30.517578125,21.362304688,54.168701172,-8.392333984,54.168701172,38.909912109,77.819824219,16.021728516,24.414062500,16.784667969
,31.280517578,19.836425781,43.487548828,32.043457031,21.362304688,55.694580078,-4.577636719,56.457519531,38.909912109,77.056884766,12.969970703,23.651123047,15.258789063
,31.280517578,20.599365234,47.302246094,34.332275391,21.362304688,56.457519531,0.000000000,57.220458984,38.909912109,76.293945313,11.444091797,23.651123047,15.258789063
,29.754638672,21.362304688,49.591064453,35.095214844,21.362304688,56.457519531,6.866455078,59.509277344,38.909912109,74.768066406,9.918212891,22.888183594,13.732910156
,28.991699219,21.362304688,51.879882813,36.621093750,21.362304688,55.694580078,12.969970703,61.035156250,37.384033203,73.242187500,8.392333984,23.651123047,15.258789063
,28.228759766,21.362304688,53.405761719,36.621093750,20.599365234,54.168701172,19.073486328,61.035156250,34.332275391,72.479248047,6.866455078,26.702880859,16.784667969
,27.465820313,20.599365234,53.405761719,37.384033203,18.310546875,52.642822266,23.651123047,62.561035156,32.806396484,69.427490234,5.340576172,30.517578125,17.547607422
,28.228759766,19.073486328,53.405761719,37.384033203,16.021728516,51.116943359,26.702880859,64.086914063,30.517578125,66.375732422,3.814697266,35.095214844,19.836425781
,28.228759766,17.547607422,52.642822266,37.384033203,13.732910156,50.354003906,29.754638672,65.612792969,28.991699219,64.849853516,3.814697266,38.909912109,19.836425781
,28.991699219,14.495849609,51.879882813,37.384033203,15.258789063,48.065185547,33.569335938,68.664550781,28.991699219,62.561035156,3.814697266,41.961669922,18.310546875
,29.754638672,12.969970703,51.116943359,35.858154297,16.784667969,47.302246094,37.384033203,70.190429688,27.465820313,61.035156250,6.103515625,45.013427734,18.310546875
,28.991699219,11.444091797,51.116943359,34.332275391,19.073486328,46.539306641,41.198730469,69.427490234,27.465820313,59.509277344,7.629394531,48.065185547,15.258789063
,28.991699219,8.392333984,51.116943359,32.806396484,20.599365234,45.013427734,44.250488281,66.375732422,28.991699219,56.457519531,10.681152344,50.354003906,12.207031250
,28.228759766,6.103515625,51.116943359,30.517578125,21.362304688,45.776367188,46.539306641,62.561035156,29.754638672,54.168701172,12.969970703,51.879882813,9.155273438
,26.702880859,2.288818359,50.354003906,29.754638672,21.362304688,45.776367188,48.065185547,57.220458984,30.517578125,51.116943359,13.732910156,52.642822266,5.340576172
,25.939941406,-1.525878906,50.354003906,28.228759766,22.125244141,45.776367188,48.828125000,53.405761719,32.043457031,49.591064453,14.495849609,52.642822266,3.051757813
,25.939941406,-4.577636719,51.116943359,27.465820313,22.888183594,46.539306641,50.354003906,51.116943359,32.043457031,47.302246094,15.258789063,52.642822266,-0.762939453
,27.465820313,-8.392333984,51.879882813,27.465820313,24.414062500,45.776367188,51.879882813,48.065185547,32.806396484,46.539306641,15.258789063,51.879882813,-3.051757813
,28.991699219,-12.207031250,52.642822266,26.702880859,25.939941406,45.776367188,52.642822266,45.776367188,35.858154297,44.250488281,15.258789063,52.642822266,-5.340576172
,28.991699219,-14.495849609,52.642822266,27.465820313,27.465820313,45.776367188,54.168701172,43.487548828,39.672851563,41.961669922,15.258789063,52.642822266,-8.392333984
,28.991699219,-16.784667969,51.879882813,28.228759766,28.991699219,45.013427734,54.931640625,40.435791016,45.013427734,39.672851563,14.495849609,51.879882813,-8.392333984
,28.228759766,-19.073486328,51.116943359,27.465820313,29.754638672,44.250488281,54.931640625,38.146972656,50.354003906,37.384033203,13.732910156,50.354003906,-8.392333984
,25.939941406,-21.362304688,50.354003906,27.465820313,29.754638672,42.724609375,55.694580078,37.384033203,54.931640625,36.621093750,12.969970703,48.828125000,-6.866455078
,25.177001953,-23.651123047,49.591064453,-496.673583984,16.021728516,34.332275391,-202.941894531,35.095214844,47.302246094,-353.240966797,13.732910156,43.487548828,-1035.308837891
,23.651123047,-639.343261719,-1274.108886719,-2537.536621094,-1503.753662109,-1538.085937500,-2023.315429688,-1529.693603516,-1514.434814453,-2304.077148438,-1274.871826172,-1400.756835938,-3014.373779297
,23.651123047,-2374.267578125,-2460.479736328,-5213.165283203,-4518.127441406,-4652.404785156,-5409.240722656,-4660.034179688,-4586.791992188,-5820.465087891,-3820.800781250,-4262.542724609,-5918.884277344
,22.888183594,-4065.704345703,-3605.651855469,-7818.603515625,-7728.576660156,-8148.193359375,-8630.371093750,-9277.343750000,-7878.875732422,-10899.353027344,-7598.876953125,-8509.063720703,-8852.386474609
,23.651123047,-5716.705322266,-4712.677001953,-9305.572509766,-10814.666748047,-11530.303955078,-11156.463623047,-13729.095458984,-11044.311523438,-15034.484863281,-11200.714111328,-12557.983398438,-9645.080566406
,24.414062500,-6106.567382813,-3133.392333984,-7691.955566406,-10791.778564453,-11685.180664063,-10393.524169922,-14880.371093750,-11003.875732422,-15886.688232422,-12122.344970703,-13610.839843750,-8458.709716797
,23.651123047,-4223.632812500,-1792.907714844,-4742.431640625,-7687.377929688,-8661.651611328,-6334.686279297,-12731.933593750,-7850.646972656,-13446.807861328,-10427.093505859,-11715.698242188,-5346.679687500
