Test Name,M-max Lower Leg Ampl Lines
Test Item,Right Gastroc
Patient Name,"mid  s2718tdvg"
Patient ID,
Test Date,9/24/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 58 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 100 탎","Tr 5 : 100 mA : 100 탎","Tr 6 : 100 mA : 100 탎","Tr 7 : 100 mA : 150 탎","Tr 8 : 100 mA : 250 탎","Tr 9 : 100 mA : 350 탎","Tr 10 : 100 mA : 450 탎","Tr 11 : 100 mA : 450 탎","Tr 12 : 100 mA : 450 탎"
,27.465820313,21.362304688,29.754638672,34.332275391,35.095214844,23.651123047,13.732910156,31.280517578,35.858154297,18.310546875,38.909912109,28.228759766
,27.465820313,22.125244141,28.991699219,32.806396484,35.858154297,23.651123047,12.207031250,32.043457031,35.858154297,15.258789063,41.198730469,27.465820313
,27.465820313,24.414062500,29.754638672,32.806396484,36.621093750,23.651123047,12.207031250,32.043457031,35.858154297,12.207031250,43.487548828,30.517578125
,28.991699219,25.939941406,29.754638672,31.280517578,37.384033203,23.651123047,12.207031250,32.806396484,34.332275391,9.918212891,43.487548828,32.806396484
,28.991699219,27.465820313,29.754638672,28.991699219,38.146972656,24.414062500,10.681152344,33.569335938,32.043457031,9.155273438,43.487548828,34.332275391
,28.991699219,28.991699219,29.754638672,27.465820313,38.909912109,24.414062500,10.681152344,33.569335938,29.754638672,9.155273438,45.013427734,36.621093750
,30.517578125,28.991699219,28.991699219,24.414062500,38.909912109,23.651123047,9.918212891,31.280517578,28.228759766,9.155273438,46.539306641,36.621093750
,31.280517578,28.991699219,28.991699219,21.362304688,38.909912109,22.125244141,9.155273438,28.991699219,26.702880859,9.155273438,47.302246094,35.858154297
,31.280517578,28.991699219,28.991699219,19.836425781,38.909912109,22.125244141,8.392333984,26.702880859,24.414062500,8.392333984,48.065185547,35.858154297
,31.280517578,28.228759766,28.991699219,18.310546875,38.146972656,23.651123047,8.392333984,25.939941406,22.125244141,7.629394531,47.302246094,35.858154297
,29.754638672,28.228759766,30.517578125,16.784667969,36.621093750,24.414062500,9.155273438,28.228759766,19.836425781,5.340576172,46.539306641,35.858154297
,27.465820313,28.228759766,30.517578125,15.258789063,34.332275391,27.465820313,8.392333984,29.754638672,16.784667969,2.288818359,45.776367188,35.858154297
,25.177001953,28.228759766,32.043457031,13.732910156,32.043457031,27.465820313,9.155273438,31.280517578,15.258789063,0.762939453,45.013427734,35.858154297
,22.888183594,28.228759766,33.569335938,12.969970703,28.991699219,26.702880859,9.918212891,31.280517578,14.495849609,0.000000000,43.487548828,35.858154297
,21.362304688,26.702880859,35.095214844,12.207031250,27.465820313,25.939941406,9.155273438,29.754638672,12.207031250,0.762939453,41.198730469,35.858154297
,19.836425781,26.702880859,39.672851563,12.207031250,24.414062500,24.414062500,10.681152344,28.991699219,12.207031250,1.525878906,39.672851563,35.858154297
,19.836425781,25.939941406,43.487548828,12.207031250,21.362304688,24.414062500,11.444091797,28.991699219,10.681152344,2.288818359,39.672851563,35.858154297
,18.310546875,25.939941406,45.776367188,12.969970703,19.073486328,24.414062500,12.207031250,28.991699219,9.918212891,3.814697266,39.672851563,35.095214844
,16.784667969,26.702880859,45.776367188,15.258789063,16.784667969,24.414062500,14.495849609,31.280517578,9.918212891,3.814697266,41.198730469,33.569335938
,16.021728516,26.702880859,45.013427734,17.547607422,14.495849609,26.702880859,16.021728516,33.569335938,10.681152344,5.340576172,41.961669922,32.043457031
,13.732910156,26.702880859,45.013427734,19.836425781,14.495849609,26.702880859,17.547607422,37.384033203,10.681152344,7.629394531,40.435791016,32.043457031
,12.207031250,25.939941406,45.013427734,21.362304688,15.258789063,26.702880859,20.599365234,41.198730469,11.444091797,9.155273438,39.672851563,33.569335938
,11.444091797,24.414062500,46.539306641,21.362304688,14.495849609,27.465820313,22.888183594,45.013427734,12.207031250,9.918212891,38.909912109,35.095214844
,11.444091797,23.651123047,47.302246094,21.362304688,14.495849609,27.465820313,25.177001953,47.302246094,13.732910156,11.444091797,38.146972656,38.146972656
,11.444091797,22.125244141,46.539306641,21.362304688,12.969970703,28.991699219,26.702880859,48.828125000,13.732910156,12.207031250,38.146972656,41.961669922
,12.207031250,22.125244141,46.539306641,22.125244141,11.444091797,29.754638672,26.702880859,49.591064453,14.495849609,13.732910156,37.384033203,45.013427734
