Test Name,H-Reflex Inc-Dec
Test Item,Right Increasing -> M-max
Patient Name,"week5  s2812mytb"
Patient ID,
Test Date,8/6/2019
Trace Label,"Tr 1 : 0 mA","Tr 2 : 14.5 mA","Tr 3 : 14.5 mA","Tr 4 : 20 mA","Tr 5 : 30 mA","Tr 6 : 55 mA","Tr 7 : 61 mA","Tr 8 : 65 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640
Trace Data (µV),42.724609375,6291.961669922,9371.185302734,7444.000244141,9248.352050781,16094.970703125,8922.576904297,8374.786376953
,40.435791016,-31.280517578,28.991699219,638.580322266,4454.040527344,5753.326416016,5601.501464844,5645.751953125
,39.672851563,-32.806396484,22.888183594,614.166259766,4370.117187500,5677.032470703,5523.681640625,5564.880371094
,38.146972656,-34.332275391,16.021728516,589.752197266,4289.245605469,5597.686767578,5443.572998047,5480.194091797
,38.909912109,-38.146972656,7.629394531,566.101074219,4209.136962891,5515.289306641,5359.649658203,5392.456054688
,37.384033203,-42.724609375,0.000000000,543.212890625,4129.028320313,5429.077148438,5271.911621094,5300.140380859
,35.858154297,-47.302246094,-8.392333984,523.376464844,4048.919677734,5339.813232422,5183.410644531,5207.061767578
,36.621093750,-49.591064453,-15.258789063,507.354736328,3967.285156250,5249.023437500,5095.672607422,5115.509033203
,36.621093750,-51.116943359,-22.888183594,492.858886719,3884.124755859,5158.996582031,5008.697509766,5024.719238281
,38.146972656,-51.879882813,-30.517578125,479.125976563,3800.964355469,5071.258544922,4926.300048828,4936.981201172
,38.909912109,-53.405761719,-38.146972656,464.630126953,3718.566894531,4986.572265625,4846.191406250,4850.769042969
,38.909912109,-56.457519531,-45.776367188,447.082519531,3636.932373047,4904.937744141,4769.134521484,4764.556884766
,38.146972656,-58.746337891,-52.642822266,430.297851563,3556.823730469,4824.829101563,4695.892333984,4679.107666016
,35.858154297,-61.035156250,-58.746337891,413.513183594,3479.003906250,4745.483398438,4624.938964844,4595.947265625
,34.332275391,-61.798095703,-61.798095703,395.965576172,3404.235839844,4667.663574219,4556.274414063,4516.601562500
,33.569335938,-62.561035156,-64.086914063,379.943847656,3333.282470703,4592.132568359,4489.898681641,4443.359375000
,34.332275391,-63.323974609,-65.612792969,362.396240234,3264.617919922,4516.601562500,4424.285888672,4373.168945313
,35.858154297,-63.323974609,-66.375732422,344.848632813,3197.479248047,4438.781738281,4357.147216797,4303.741455078
,37.384033203,-64.086914063,-69.427490234,328.063964844,3130.340576172,4357.147216797,4286.956787109,4231.262207031
,38.909912109,-64.086914063,-70.190429688,310.516357422,3063.201904297,4270.935058594,4212.188720703,4153.442382813
,39.672851563,-64.086914063,-72.479248047,293.731689453,2996.063232422,4180.145263672,4133.605957031,4070.281982422
,38.909912109,-64.086914063,-75.531005859,276.184082031,2929.687500000,4087.066650391,4051.208496094,3981.781005859
,38.146972656,-64.086914063,-77.819824219,258.636474609,2865.600585938,3990.936279297,3965.759277344,3888.702392578
,38.146972656,-64.849853516,-80.871582031,241.088867188,2802.276611328,3890.991210938,3878.784179688,3794.097900391
,38.909912109,-65.612792969,-83.923339844,223.541259766,2735.900878906,3788.757324219,3788.757324219,3696.441650391
,38.909912109,-66.375732422,-85.449218750,207.519531250,2666.473388672,3684.234619141,3697.967529297,3595.733642578
,38.146972656,-66.375732422,-86.975097656,191.497802734,2594.757080078,3579.711914063,3605.651855469,3495.788574219
,35.858154297,-66.375732422,-86.975097656,175.476074219,2520.751953125,3475.952148438,3512.573242188,3394.317626953
,34.332275391,-66.375732422,-87.738037109,160.980224609,2449.035644531,3372.955322266,3421.020507813,3293.609619141
,33.569335938,-66.375732422,-88.500976563,144.958496094,2383.422851563,3269.195556641,3328.704833984,3195.953369141
,32.806396484,-65.612792969,-89.263916016,130.462646484,2320.861816406,3163.909912109,3236.389160156,3101.348876953
,32.043457031,-64.086914063,-90.026855469,115.966796875,2261.352539063,3057.098388672,3141.784667969,3007.507324219
,30.517578125,-62.561035156,-90.789794922,102.233886719,2202.606201172,2949.523925781,3046.417236328,2914.428710938
,28.991699219,-60.272216797,-90.789794922,90.789794922,2142.333984375,2843.475341797,2948.760986328,2821.350097656
,26.702880859,-59.509277344,-90.789794922,78.582763672,2079.772949219,2738.952636719,2851.104736328,2727.508544922
,24.414062500,-60.272216797,-90.026855469,66.375732422,2015.686035156,2636.718750000,2755.737304688,2635.955810547
,23.651123047,-63.323974609,-88.500976563,54.931640625,1948.547363281,2536.010742188,2661.895751953,2545.928955078
,22.125244141,-67.901611328,-86.975097656,42.724609375,1878.356933594,2437.591552734,2570.343017578,2456.665039063
,20.599365234,-73.242187500,-83.923339844,32.043457031,1807.403564453,2341.461181641,2481.842041016,2368.164062500
,18.310546875,-80.108642578,-80.871582031,22.888183594,1736.450195313,2246.856689453,2394.104003906,2280.426025391
,15.258789063,-85.449218750,-78.582763672,12.969970703,1667.022705078,2156.066894531,2306.365966797,2194.213867188
,12.969970703,-91.552734375,-76.293945313,3.814697266,1599.884033203,2068.328857422,2219.390869141,2109.527587891
,11.444091797,-99.945068359,-76.293945313,-3.051757813,1534.271240234,1984.405517578,2133.941650391,2027.893066406
,10.681152344,-106.811523438,-77.056884766,-12.207031250,1470.184326172,1904.296875000,2049.255371094,1949.310302734
,10.681152344,-113.677978516,-77.056884766,-18.310546875,1408.386230469,1828.002929688,1967.620849609,1873.016357422
,9.918212891,-120.544433594,-77.056884766,-23.651123047,1348.876953125,1753.997802734,1888.275146484,1799.011230469
,8.392333984,-123.596191406,-77.056884766,-28.991699219,1291.656494141,1683.044433594,1810.455322266,1725.769042969
,6.866455078,-126.647949219,-77.056884766,-32.043457031,1235.198974609,1615.905761719,1734.924316406,1654.052734375
,6.103515625,-128.936767578,-77.056884766,-36.621093750,1179.504394531,1549.530029297,1660.919189453,1583.099365234
,6.103515625,-129.699707031,-77.056884766,-41.198730469,1123.046875000,1484.680175781,1589.202880859,1513.671875000
,6.866455078,-129.699707031,-77.056884766,-47.302246094,1065.826416016,1420.593261719,1519.775390625,1447.296142578
,8.392333984,-127.410888672,-77.056884766,-55.694580078,1007.843017578,1357.269287109,1453.399658203,1381.683349609
,9.155273438,-121.307373047,-77.056884766,-62.561035156,951.385498047,1293.182373047,1390.075683594,1318.359375000
,9.155273438,-114.440917969,-77.819824219,-70.953369141,895.690917969,1231.384277344,1326.751708984,1258.087158203
,7.629394531,-106.048583984,-77.819824219,-78.582763672,844.573974609,1169.586181641,1263.427734375,1201.629638672
,6.866455078,-96.893310547,-78.582763672,-85.449218750,795.745849609,1108.551025391,1200.103759766,1150.512695313
,6.103515625,-86.975097656,-77.819824219,-93.078613281,749.206542969,1050.567626953,1136.779785156,1103.210449219
,5.340576172,-74.768066406,-77.056884766,-99.945068359,704.193115234,993.347167969,1078.033447266,1059.722900391
,4.577636719,-61.035156250,-74.768066406,-106.811523438,659.942626953,940.704345703,1022.338867188,1020.812988281
,3.814697266,-43.487548828,-71.716308594,-111.389160156,615.692138672,891.113281250,970.458984375,986.480712891
,4.577636719,-23.651123047,-70.190429688,-115.966796875,573.730468750,844.573974609,920.867919922,955.200195313
,5.340576172,-1.525878906,-70.190429688,-116.729736328,531.768798828,801.086425781,872.039794922,926.971435547
,6.866455078,21.362304688,-70.190429688,-115.966796875,491.333007813,761.413574219,824.737548828,900.268554688
,7.629394531,46.539306641,-71.716308594,-113.677978516,454.711914063,725.555419922,779.724121094,874.328613281
,7.629394531,70.190429688,-72.479248047,-109.863281250,422.668457031,694.274902344,737.762451172,848.388671875
,7.629394531,94.604492188,-72.479248047,-104.522705078,395.965576172,666.046142578,698.089599609,823.211669922
,6.866455078,118.255615234,-72.479248047,-98.419189453,373.077392578,642.395019531,659.942626953,796.508789063
,6.866455078,140.380859375,-70.953369141,-90.789794922,353.240966797,619.506835938,623.321533203,768.280029297
,8.392333984,159.454345703,-67.901611328,-80.871582031,333.404541016,597.381591797,588.226318359,737.762451172
,9.918212891,175.476074219,-65.612792969,-70.190429688,312.805175781,576.782226563,553.894042969,701.904296875
,11.444091797,186.920166016,-62.561035156,-57.983398438,293.731689453,557.708740234,522.613525391,660.705566406
,12.207031250,193.786621094,-59.509277344,-45.776367188,276.947021484,540.924072266,492.095947266,617.218017578
,12.207031250,198.364257813,-57.983398438,-36.621093750,261.688232422,527.191162109,462.341308594,572.204589844
,10.681152344,199.127197266,-56.457519531,-28.228759766,250.244140625,514.221191406,434.112548828,527.954101563
,9.918212891,196.075439453,-56.457519531,-21.362304688,240.325927734,501.251220703,407.409667969,489.807128906
,8.392333984,192.260742188,-54.931640625,-16.021728516,231.170654297,486.755371094,381.469726563,456.237792969
,6.103515625,186.920166016,-51.879882813,-9.918212891,224.304199219,470.733642578,357.055664063,427.246093750
,3.051757813,180.053710938,-48.065185547,-5.340576172,218.963623047,452.423095703,334.167480469,402.832031250
,0.000000000,174.713134766,-43.487548828,-2.288818359,215.148925781,433.349609375,311.279296875,381.469726563
,-2.288818359,168.609619141,-38.909912109,0.000000000,213.623046875,414.276123047,288.391113281,361.633300781
,-4.577636719,162.506103516,-35.095214844,1.525878906,210.571289063,392.913818359,265.502929688,344.848632813
,-5.340576172,156.402587891,-31.280517578,2.288818359,206.756591797,370.788574219,243.377685547,331.115722656
,-6.866455078,149.536132813,-27.465820313,4.577636719,200.653076172,346.374511719,222.015380859,320.434570313
,-6.866455078,142.669677734,-22.125244141,6.866455078,194.549560547,321.197509766,203.704833984,314.331054688
,-6.866455078,137.329101563,-16.784667969,10.681152344,187.683105469,295.257568359,186.920166016,309.753417969
,-6.866455078,131.225585938,-12.207031250,16.784667969,181.579589844,270.080566406,171.661376953,305.175781250
,-6.866455078,125.122070313,-8.392333984,23.651123047,175.476074219,246.429443359,158.691406250,299.072265625
,-5.340576172,119.018554688,-3.814697266,31.280517578,169.372558594,224.304199219,149.536132813,291.442871094
,-5.340576172,110.626220703,0.762939453,41.198730469,164.031982422,202.178955078,141.143798828,281.524658203
,-4.577636719,102.996826172,6.866455078,51.116943359,157.928466797,180.053710938,136.566162109,269.317626953
,-5.340576172,94.604492188,14.495849609,61.798095703,153.350830078,156.402587891,132.751464844,254.058837891
,-6.103515625,86.975097656,21.362304688,72.479248047,148.010253906,135.040283203,129.699707031,235.748291016
,-6.103515625,80.108642578,26.702880859,82.397460938,144.958496094,114.440917969,126.647949219,215.148925781
,-6.103515625,74.005126953,32.806396484,92.315673828,143.432617188,94.604492188,123.596191406,193.786621094
,-4.577636719,68.664550781,37.384033203,101.470947266,141.906738281,76.293945313,119.781494141,171.661376953
,-4.577636719,64.849853516,43.487548828,110.626220703,141.906738281,57.983398438,115.966796875,148.773193359
,-4.577636719,61.798095703,50.354003906,121.307373047,140.380859375,41.961669922,110.626220703,124.359130859
,-5.340576172,60.272216797,56.457519531,130.462646484,138.092041016,28.991699219,104.522705078,99.945068359
,-6.103515625,61.035156250,61.798095703,140.380859375,136.566162109,18.310546875,96.130371094,76.293945313
,-6.103515625,61.798095703,67.138671875,148.773193359,133.514404297,10.681152344,86.212158203,52.642822266
,-6.103515625,61.035156250,70.190429688,157.165527344,130.462646484,2.288818359,74.005126953,32.043457031
,-5.340576172,60.272216797,73.242187500,166.320800781,125.885009766,-5.340576172,60.272216797,11.444091797
,-6.866455078,57.983398438,75.531005859,176.239013672,121.307373047,-14.495849609,45.013427734,-6.866455078
,-7.629394531,56.457519531,77.819824219,186.920166016,117.492675781,-23.651123047,27.465820313,-24.414062500
,-8.392333984,57.220458984,78.582763672,197.601318359,114.440917969,-30.517578125,9.155273438,-40.435791016
,-7.629394531,56.457519531,80.108642578,205.993652344,112.152099609,-35.858154297,-9.155273438,-54.931640625
,-5.340576172,54.168701172,80.871582031,212.860107422,109.863281250,-40.435791016,-28.991699219,-67.901611328
,-3.051757813,51.116943359,82.397460938,215.911865234,107.574462891,-44.250488281,-45.776367188,-81.634521484
,-3.051757813,46.539306641,83.923339844,218.200683594,104.522705078,-48.828125000,-62.561035156,-94.604492188
,-4.577636719,42.724609375,85.449218750,218.200683594,102.996826172,-53.405761719,-76.293945313,-106.811523438
,-6.866455078,40.435791016,86.975097656,215.148925781,103.759765625,-57.983398438,-90.789794922,-117.492675781
,-8.392333984,38.909912109,88.500976563,211.334228516,106.811523438,-62.561035156,-106.811523438,-126.647949219
,-7.629394531,36.621093750,89.263916016,205.993652344,111.389160156,-67.901611328,-122.833251953,-135.040283203
,-6.103515625,35.095214844,90.026855469,199.890136719,116.729736328,-73.242187500,-138.092041016,-143.432617188
,-4.577636719,32.043457031,90.026855469,196.075439453,122.833251953,-77.819824219,-151.824951172,-152.587890625
,-2.288818359,29.754638672,90.789794922,191.497802734,130.462646484,-81.634521484,-162.506103516,-162.506103516
,-1.525878906,27.465820313,92.315673828,186.920166016,138.092041016,-84.686279297,-172.424316406,-173.187255859
,0.762939453,25.177001953,92.315673828,181.579589844,146.484375000,-86.975097656,-182.342529297,-182.342529297
,2.288818359,22.888183594,92.315673828,174.713134766,154.876708984,-88.500976563,-192.260742188,-191.497802734
,3.814697266,19.073486328,90.026855469,165.557861328,160.217285156,-89.263916016,-202.941894531,-200.653076172
,5.340576172,16.784667969,86.212158203,156.402587891,164.031982422,-91.552734375,-213.623046875,-208.282470703
,5.340576172,15.258789063,81.634521484,148.010253906,166.320800781,-94.604492188,-224.304199219,-216.674804688
,5.340576172,14.495849609,77.056884766,141.143798828,167.083740234,-99.182128906,-233.459472656,-224.304199219
,6.103515625,16.021728516,71.716308594,136.566162109,167.083740234,-106.048583984,-241.088867188,-229.644775391
,6.103515625,14.495849609,66.375732422,132.751464844,166.320800781,-114.440917969,-249.481201172,-234.222412109
,8.392333984,12.207031250,61.035156250,129.699707031,163.269042969,-124.359130859,-257.110595703,-237.274169922
,10.681152344,8.392333984,55.694580078,128.173828125,157.165527344,-136.566162109,-264.739990234,-238.800048828
,13.732910156,3.814697266,51.879882813,128.173828125,150.299072266,-148.010253906,-271.606445313,-239.562988281
,16.021728516,0.762939453,47.302246094,129.699707031,141.906738281,-158.691406250,-278.472900391,-239.562988281
,18.310546875,-0.762939453,42.724609375,132.751464844,132.751464844,-168.609619141,-286.102294922,-239.562988281
,19.836425781,-1.525878906,38.909912109,135.040283203,124.359130859,-174.713134766,-293.731689453,-238.800048828
,22.125244141,-1.525878906,36.621093750,137.329101563,114.440917969,-180.816650391,-303.649902344,-238.800048828
,25.939941406,-2.288818359,35.858154297,138.854980469,104.522705078,-186.920166016,-313.568115234,-238.037109375
,29.754638672,-2.288818359,35.858154297,138.854980469,92.315673828,-192.260742188,-323.486328125,-238.037109375
,33.569335938,-2.288818359,36.621093750,140.380859375,79.345703125,-197.601318359,-332.641601563,-239.562988281
,38.146972656,-2.288818359,37.384033203,142.669677734,65.612792969,-202.178955078,-338.745117188,-241.851806641
,42.724609375,-0.762939453,38.146972656,144.195556641,52.642822266,-206.756591797,-346.374511719,-245.666503906
,47.302246094,0.762939453,40.435791016,144.958496094,40.435791016,-210.571289063,-352.478027344,-251.007080078
,52.642822266,2.288818359,41.961669922,144.958496094,28.228759766,-216.674804688,-359.344482422,-256.347656250
,55.694580078,3.814697266,44.250488281,144.195556641,15.258789063,-224.304199219,-366.973876953,-262.451171875
,56.457519531,3.051757813,45.776367188,143.432617188,1.525878906,-231.933593750,-374.603271484,-270.080566406
,56.457519531,2.288818359,48.065185547,143.432617188,-12.207031250,-241.088867188,-381.469726563,-276.184082031
,54.168701172,3.051757813,48.065185547,143.432617188,-26.702880859,-251.007080078,-389.099121094,-283.050537109
,53.405761719,3.814697266,48.065185547,141.906738281,-41.198730469,-260.925292969,-396.728515625,-291.442871094
,54.168701172,5.340576172,47.302246094,140.380859375,-55.694580078,-271.606445313,-405.120849609,-299.835205078
,55.694580078,6.866455078,46.539306641,138.092041016,-70.190429688,-281.524658203,-412.750244141,-310.516357422
,57.220458984,7.629394531,46.539306641,136.566162109,-83.923339844,-290.679931641,-421.142578125,-322.723388672
,55.694580078,7.629394531,47.302246094,135.803222656,-97.656250000,-299.072265625,-428.771972656,-336.456298828
,53.405761719,6.866455078,48.065185547,133.514404297,-110.626220703,-306.701660156,-436.401367188,-350.189208984
,50.354003906,6.103515625,48.065185547,131.988525391,-122.070312500,-314.331054688,-444.793701172,-363.159179688
,47.302246094,6.103515625,48.828125000,129.699707031,-131.988525391,-323.486328125,-453.186035156,-376.129150391
,46.539306641,5.340576172,48.065185547,126.647949219,-139.617919922,-332.641601563,-460.052490234,-389.099121094
,45.013427734,4.577636719,48.065185547,123.596191406,-146.484375000,-341.796875000,-465.393066406,-400.543212891
,42.724609375,3.814697266,48.065185547,119.781494141,-152.587890625,-352.478027344,-469.970703125,-410.461425781
,41.198730469,2.288818359,48.065185547,113.677978516,-157.165527344,-360.870361328,-473.022460938,-420.379638672
,38.909912109,1.525878906,48.065185547,107.574462891,-161.743164063,-367.736816406,-478.363037109,-429.534912109
,37.384033203,1.525878906,46.539306641,99.945068359,-164.794921875,-373.077392578,-482.940673828,-438.690185547
,38.146972656,0.762939453,44.250488281,94.604492188,-169.372558594,-376.892089844,-489.044189453,-448.608398438
,39.672851563,-0.762939453,40.435791016,89.263916016,-174.713134766,-381.469726563,-495.147705078,-457.763671875
,41.961669922,-3.051757813,38.909912109,85.449218750,-180.053710938,-386.047363281,-499.725341797,-466.918945313
,45.013427734,-5.340576172,36.621093750,82.397460938,-186.920166016,-389.862060547,-502.777099609,-476.074218750
,48.065185547,-6.866455078,35.858154297,76.293945313,-193.023681641,-393.676757813,-505.065917969,-483.703613281
,51.116943359,-6.866455078,35.095214844,69.427490234,-196.838378906,-395.202636719,-505.065917969,-489.807128906
,54.168701172,-6.866455078,34.332275391,63.323974609,-199.127197266,-395.965576172,-505.065917969,-496.673583984
,58.746337891,-6.103515625,32.806396484,55.694580078,-199.890136719,-396.728515625,-505.065917969,-501.251220703
,63.323974609,-6.103515625,31.280517578,51.879882813,-200.653076172,-396.728515625,-505.828857422,-505.065917969
,67.901611328,-7.629394531,29.754638672,50.354003906,-201.416015625,-398.254394531,-507.354736328,-510.406494141
,71.716308594,-8.392333984,28.991699219,48.828125000,-201.416015625,-399.780273438,-508.117675781,-514.221191406
,74.768066406,-9.155273438,28.991699219,48.065185547,-202.941894531,-401.306152344,-510.406494141,-518.798828125
,77.056884766,-9.155273438,29.754638672,45.776367188,-202.941894531,-402.069091797,-512.695312500,-523.376464844
,77.819824219,-9.155273438,30.517578125,42.724609375,-205.230712891,-404.357910156,-515.747070313,-527.954101563
,78.582763672,-9.918212891,32.043457031,39.672851563,-210.571289063,-406.646728516,-518.798828125,-531.768798828
,78.582763672,-10.681152344,32.806396484,35.095214844,-217.437744141,-408.172607422,-521.087646484,-536.346435547
,76.293945313,-12.207031250,32.043457031,32.043457031,-225.830078125,-410.461425781,-523.376464844,-540.924072266
,74.768066406,-13.732910156,30.517578125,26.702880859,-234.222412109,-411.224365234,-524.902343750,-544.738769531
,72.479248047,-15.258789063,27.465820313,22.125244141,-241.088867188,-411.987304688,-526.428222656,-547.790527344
,70.190429688,-16.784667969,24.414062500,16.784667969,-249.481201172,-414.276123047,-527.954101563,-547.790527344
,69.427490234,-18.310546875,21.362304688,12.969970703,-257.110595703,-416.564941406,-529.479980469,-547.790527344
,67.901611328,-19.836425781,16.784667969,10.681152344,-265.502929688,-421.142578125,-531.005859375,-547.790527344
,66.375732422,-20.599365234,15.258789063,9.918212891,-274.658203125,-424.957275391,-531.005859375,-547.790527344
,65.612792969,-20.599365234,12.207031250,9.918212891,-281.524658203,-429.534912109,-531.768798828,-549.316406250
,64.086914063,-19.836425781,10.681152344,8.392333984,-288.391113281,-433.349609375,-531.768798828,-550.079345703
,63.323974609,-18.310546875,9.918212891,6.866455078,-295.257568359,-437.164306641,-531.768798828,-550.079345703
,64.086914063,-16.021728516,9.918212891,4.577636719,-300.598144531,-440.216064453,-532.531738281,-550.842285156
,64.086914063,-12.969970703,9.918212891,2.288818359,-306.701660156,-444.030761719,-532.531738281,-550.842285156
,63.323974609,-11.444091797,10.681152344,2.288818359,-310.516357422,-447.845458984,-531.005859375,-551.605224609
,62.561035156,-10.681152344,12.207031250,1.525878906,-314.331054688,-450.897216797,-529.479980469,-551.605224609
,61.798095703,-9.155273438,13.732910156,1.525878906,-317.382812500,-453.186035156,-527.954101563,-552.368164063
,61.798095703,-8.392333984,15.258789063,1.525878906,-318.145751953,-455.474853516,-526.428222656,-552.368164063
,62.561035156,-8.392333984,16.021728516,0.000000000,-318.908691406,-458.526611328,-525.665283203,-551.605224609
,63.323974609,-8.392333984,16.784667969,-0.762939453,-318.908691406,-462.341308594,-524.139404297,-551.605224609
,63.323974609,-9.155273438,17.547607422,-2.288818359,-318.145751953,-466.156005859,-521.850585938,-550.842285156
,62.561035156,-9.918212891,17.547607422,-3.051757813,-317.382812500,-469.970703125,-518.035888672,-549.316406250
,60.272216797,-9.155273438,19.073486328,-3.814697266,-314.331054688,-473.785400391,-513.458251953,-547.027587891
,57.983398438,-9.155273438,20.599365234,-6.103515625,-311.279296875,-476.074218750,-511.169433594,-544.738769531
,56.457519531,-9.155273438,21.362304688,-9.155273438,-308.227539063,-477.600097656,-509.643554688,-544.738769531
,54.931640625,-8.392333984,19.836425781,-12.969970703,-305.938720703,-480.651855469,-509.643554688,-543.212890625
,54.168701172,-8.392333984,18.310546875,-16.784667969,-305.175781250,-483.703613281,-509.643554688,-543.212890625
,54.168701172,-8.392333984,16.784667969,-19.073486328,-304.412841797,-488.281250000,-508.880615234,-543.212890625
,54.931640625,-6.866455078,15.258789063,-20.599365234,-305.175781250,-492.095947266,-508.117675781,-542.449951172
,54.931640625,-5.340576172,14.495849609,-22.888183594,-306.701660156,-495.147705078,-508.117675781,-541.687011719
,54.168701172,-3.814697266,13.732910156,-25.939941406,-308.990478516,-497.436523438,-508.117675781,-540.924072266
,54.168701172,-2.288818359,12.969970703,-28.991699219,-312.042236328,-499.725341797,-508.880615234,-538.635253906
,53.405761719,-0.762939453,12.207031250,-32.043457031,-315.856933594,-502.777099609,-510.406494141,-537.109375000
,53.405761719,0.000000000,11.444091797,-34.332275391,-318.908691406,-506.591796875,-511.169433594,-535.583496094
,52.642822266,0.000000000,11.444091797,-35.095214844,-321.960449219,-510.406494141,-511.169433594,-534.057617188
,51.879882813,0.762939453,10.681152344,-35.858154297,-324.249267578,-513.458251953,-511.932373047,-532.531738281
,51.879882813,2.288818359,9.155273438,-38.146972656,-325.012207031,-514.221191406,-512.695312500,-531.768798828
,51.116943359,4.577636719,7.629394531,-41.198730469,-325.775146484,-514.984130859,-514.221191406,-531.005859375
,51.879882813,6.103515625,6.103515625,-44.250488281,-325.775146484,-515.747070313,-514.984130859,-528.717041016
,51.879882813,8.392333984,4.577636719,-48.065185547,-326.538085938,-515.747070313,-516.510009766,-527.954101563
,51.116943359,10.681152344,4.577636719,-48.828125000,-327.301025391,-515.747070313,-516.510009766,-527.954101563
,50.354003906,11.444091797,3.814697266,-50.354003906,-328.063964844,-514.984130859,-516.510009766,-527.954101563
,48.828125000,12.969970703,2.288818359,-51.116943359,-327.301025391,-513.458251953,-517.272949219,-527.954101563
,48.065185547,13.732910156,1.525878906,-51.116943359,-325.012207031,-511.932373047,-517.272949219,-528.717041016
,48.828125000,13.732910156,0.762939453,-52.642822266,-322.723388672,-511.932373047,-517.272949219,-526.428222656
,48.828125000,15.258789063,1.525878906,-53.405761719,-321.197509766,-512.695312500,-516.510009766,-525.665283203
,48.065185547,16.021728516,2.288818359,-53.405761719,-321.960449219,-514.221191406,-516.510009766,-524.139404297
,45.776367188,19.073486328,3.051757813,-52.642822266,-323.486328125,-514.221191406,-517.272949219,-522.613525391
,43.487548828,22.125244141,2.288818359,-54.168701172,-325.012207031,-513.458251953,-518.798828125,-521.850585938
,41.198730469,25.177001953,1.525878906,-55.694580078,-326.538085938,-510.406494141,-521.087646484,-519.561767578
,40.435791016,27.465820313,0.762939453,-57.220458984,-326.538085938,-507.354736328,-521.087646484,-517.272949219
,40.435791016,28.991699219,0.000000000,-57.983398438,-325.012207031,-503.540039063,-520.324707031,-515.747070313
,41.198730469,30.517578125,0.000000000,-57.983398438,-324.249267578,-499.725341797,-518.798828125,-511.932373047
,41.198730469,32.806396484,0.000000000,-57.220458984,-321.960449219,-497.436523438,-516.510009766,-509.643554688
,41.961669922,36.621093750,0.000000000,-57.983398438,-321.197509766,-495.147705078,-514.984130859,-507.354736328
,43.487548828,39.672851563,0.000000000,-58.746337891,-320.434570313,-493.621826172,-513.458251953,-505.065917969
,44.250488281,41.961669922,0.000000000,-58.746337891,-318.145751953,-492.858886719,-512.695312500,-503.540039063
,46.539306641,41.198730469,-3.051757813,-58.746337891,-316.619873047,-492.858886719,-511.169433594,-502.014160156
,46.539306641,38.146972656,-6.103515625,-58.746337891,-315.093994141,-492.858886719,-510.406494141,-499.725341797
,45.013427734,35.095214844,-7.629394531,-58.746337891,-313.568115234,-492.858886719,-507.354736328,-498.199462891
,42.724609375,31.280517578,-8.392333984,-58.746337891,-314.331054688,-491.333007813,-504.302978516,-497.436523438
,40.435791016,28.991699219,-7.629394531,-60.272216797,-314.331054688,-489.807128906,-501.251220703,-496.673583984
,38.146972656,26.702880859,-6.103515625,-61.798095703,-314.331054688,-487.518310547,-498.199462891,-496.673583984
,35.858154297,23.651123047,-6.103515625,-62.561035156,-314.331054688,-485.992431641,-495.147705078,-495.147705078
,34.332275391,19.836425781,-5.340576172,-63.323974609,-313.568115234,-485.229492188,-492.858886719,-494.384765625
,32.043457031,15.258789063,-3.814697266,-64.849853516,-313.568115234,-485.229492188,-491.333007813,-492.095947266
,29.754638672,10.681152344,-3.051757813,-65.612792969,-312.805175781,-485.992431641,-489.807128906,-491.333007813
,27.465820313,9.155273438,-1.525878906,-65.612792969,-312.042236328,-486.755371094,-488.281250000,-490.570068359
,24.414062500,7.629394531,0.000000000,-65.612792969,-308.227539063,-486.755371094,-485.992431641,-486.755371094
,21.362304688,7.629394531,0.000000000,-64.086914063,-304.412841797,-486.755371094,-482.940673828,-481.414794922
,19.836425781,7.629394531,1.525878906,-61.798095703,-300.598144531,-485.992431641,-479.125976563,-474.548339844
,17.547607422,9.155273438,2.288818359,-60.272216797,-297.546386719,-485.992431641,-475.311279297,-466.918945313
,14.495849609,12.207031250,3.814697266,-57.220458984,-294.494628906,-486.755371094,-473.022460938,-461.578369141
,11.444091797,15.258789063,4.577636719,-54.931640625,-290.679931641,-487.518310547,-471.496582031,-457.763671875
,9.155273438,19.836425781,5.340576172,-53.405761719,-286.102294922,-485.992431641,-470.733642578,-453.186035156
,6.866455078,23.651123047,6.103515625,-51.116943359,-280.761718750,-482.940673828,-469.970703125,-448.608398438
,6.103515625,26.702880859,6.103515625,-49.591064453,-276.184082031,-479.888916016,-468.444824219,-441.741943359
,6.103515625,30.517578125,8.392333984,-48.828125000,-273.132324219,-476.837158203,-466.156005859,-435.638427734
,4.577636719,34.332275391,10.681152344,-47.302246094,-270.843505859,-474.548339844,-463.867187500,-431.823730469
,3.051757813,38.146972656,12.207031250,-45.776367188,-268.554687500,-473.785400391,-460.815429688,-429.534912109
,0.762939453,44.250488281,12.207031250,-45.013427734,-266.265869141,-472.259521484,-459.289550781,-426.483154297
,-0.762939453,49.591064453,10.681152344,-44.250488281,-263.214111328,-471.496582031,-458.526611328,-424.957275391
,-1.525878906,54.168701172,9.155273438,-41.961669922,-260.162353516,-470.733642578,-457.763671875,-420.379638672
