Test Name,H-Reflex Inc-Dec
Test Item,Right Increasing -> M-max
Patient Name,"week5  s2812mytb"
Patient ID,
Test Date,8/6/2019
Trace Label,"Tr 1 : 0 mA","Tr 2 : 14.5 mA","Tr 3 : 14.5 mA","Tr 4 : 20 mA","Tr 5 : 30 mA","Tr 6 : 55 mA","Tr 7 : 61 mA","Tr 8 : 65 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640
Trace Data (µV),42.724609375,6291.961669922,9371.185302734,7444.000244141,9248.352050781,16094.970703125,8922.576904297,8374.786376953
,3.051757813,-858.306884766,-911.712646484,-1042.175292969,-1663.970947266,-3516.387939453,-3950.500488281,-4176.330566406
,3.814697266,-849.151611328,-905.609130859,-1054.382324219,-1750.183105469,-3681.945800781,-4103.851318359,-4340.362548828
,3.814697266,-840.759277344,-901.031494141,-1071.929931641,-1860.046386719,-3868.865966797,-4281.616210938,-4523.468017578
,3.051757813,-833.129882813,-895.690917969,-1098.632812500,-1992.797851563,-4067.993164063,-4476.165771484,-4719.543457031
,2.288818359,-826.263427734,-890.350341797,-1133.728027344,-2151.489257813,-4275.512695313,-4679.107666016,-4920.196533203
,2.288818359,-818.634033203,-884.246826172,-1176.452636719,-2330.017089844,-4486.083984375,-4883.575439453,-5117.797851563
,2.288818359,-811.004638672,-876.617431641,-1226.806640625,-2523.803710938,-4695.892333984,-5086.517333984,-5316.162109375
,1.525878906,-803.375244141,-869.750976563,-1280.975341797,-2725.982666016,-4904.174804688,-5287.170410156,-5512.237548828
,1.525878906,-795.745849609,-863.647460938,-1334.381103516,-2931.976318359,-5112.457275391,-5486.297607422,-5709.075927734
,1.525878906,-788.116455078,-857.543945313,-1387.023925781,-3134.918212891,-5319.213867188,-5685.424804688,-5906.677246094
,1.525878906,-781.250000000,-853.729248047,-1435.089111328,-3331.756591797,-5525.207519531,-5884.552001953,-6102.752685547
,3.814697266,-775.909423828,-849.914550781,-1478.576660156,-3522.491455078,-5731.201171875,-6082.916259766,-6297.302246094
,5.340576172,-770.568847656,-846.099853516,-1518.249511719,-3705.596923828,-5935.668945313,-6279.754638672,-6491.851806641
,6.866455078,-764.465332031,-842.285156250,-1552.581787109,-3881.835937500,-6138.610839844,-6475.830078125,-6684.875488281
,6.866455078,-756.835937500,-836.181640625,-1584.625244141,-4051.971435547,-6338.500976563,-6666.564941406,-6878.662109375
,7.629394531,-746.917724609,-830.078125000,-1614.379882813,-4214.477539063,-6535.339355469,-6855.773925781,-7071.685791016
,8.392333984,-735.473632813,-822.448730469,-1641.082763672,-4370.117187500,-6725.311279297,-7041.168212891,-7260.131835938
,9.155273438,-726.318359375,-814.056396484,-1666.259765625,-4520.416259766,-6908.416748047,-7218.933105469,-7443.237304688
,11.444091797,-717.926025391,-805.664062500,-1687.622070313,-4663.085937500,-7082.366943359,-7389.068603516,-7614.898681641
,12.207031250,-711.059570313,-796.508789063,-1705.169677734,-4799.652099609,-7247.924804688,-7550.048828125,-7775.878906250
,12.207031250,-704.956054688,-787.353515625,-1718.139648438,-4928.588867188,-7403.564453125,-7698.059082031,-7927.703857422
,11.444091797,-697.326660156,-778.961181641,-1729.583740234,-5049.133300781,-7548.522949219,-7836.914062500,-8068.084716797
,12.207031250,-690.460205078,-771.331787109,-1739.501953125,-5161.285400391,-7682.037353516,-7968.139648438,-8200.836181641
,12.969970703,-684.356689453,-765.228271484,-1747.131347656,-5264.282226563,-7805.633544922,-8090.972900391,-8325.195312500
,14.495849609,-679.016113281,-759.124755859,-1751.708984375,-5360.412597656,-7923.126220703,-8208.465576172,-8441.925048828
,16.784667969,-672.912597656,-753.021240234,-1753.234863281,-5447.387695313,-8037.567138672,-8322.143554688,-8554.840087891
,17.547607422,-667.572021484,-745.391845703,-1750.183105469,-5525.970458984,-8151.245117188,-8432.769775391,-8663.177490234
,17.547607422,-659.942626953,-735.473632813,-1744.079589844,-5596.160888672,-8263.397216797,-8540.344238281,-8769.989013672
,16.021728516,-651.550292969,-725.555419922,-1735.687255859,-5660.247802734,-8375.549316406,-8646.392822266,-8876.800537109
,13.732910156,-643.157958984,-716.400146484,-1725.769042969,-5717.468261719,-8486.938476563,-8753.204345703,-8983.612060547
,13.732910156,-636.291503906,-708.007812500,-1713.562011719,-5770.874023438,-8599.090576172,-8860.778808594,-9091.949462891
,13.732910156,-629.425048828,-700.378417969,-1701.354980469,-5822.753906250,-8711.242675781,-8968.353271484,-9198.760986328
,13.732910156,-624.084472656,-693.511962891,-1689.147949219,-5871.582031250,-8820.343017578,-9074.401855469,-9301.757812500
,14.495849609,-620.269775391,-685.882568359,-1676.177978516,-5918.884277344,-8924.102783203,-9175.109863281,-9397.125244141
,14.495849609,-614.929199219,-678.253173828,-1663.208007813,-5965.423583984,-9020.233154297,-9267.425537109,-9482.574462891
,13.732910156,-610.351562500,-670.623779297,-1651.763916016,-6008.148193359,-9104.919433594,-9351.348876953,-9556.579589844
,12.969970703,-605.010986328,-662.231445313,-1640.319824219,-6047.058105469,-9178.924560547,-9425.354003906,-9619.903564453
,11.444091797,-600.433349609,-653.076171875,-1631.164550781,-6082.153320313,-9242.248535156,-9487.152099609,-9671.020507813
,8.392333984,-595.855712891,-643.920898438,-1622.772216797,-6109.619140625,-9291.076660156,-9536.743164063,-9709.167480469
,4.577636719,-591.278076172,-633.239746094,-1615.142822266,-6127.929687500,-9326.934814453,-9571.838378906,-9734.344482422
,0.762939453,-585.174560547,-622.558593750,-1606.750488281,-6137.084960938,-9349.060058594,-9593.963623047,-9745.788574219
,-1.525878906,-579.071044922,-612.640380859,-1599.884033203,-6134.033203125,-9357.452392578,-9603.118896484,-9745.788574219
,-3.814697266,-572.967529297,-603.485107422,-1592.254638672,-6120.300292969,-9355.163574219,-9600.830078125,-9734.344482422
,-3.814697266,-566.864013672,-593.566894531,-1583.099365234,-6098.937988281,-9342.193603516,-9586.334228516,-9711.456298828
,-3.051757813,-561.523437500,-583.648681641,-1573.181152344,-6069.946289063,-9320.831298828,-9561.157226563,-9680.938720703
,-3.814697266,-556.182861328,-572.967529297,-1561.737060547,-6037.139892578,-9291.839599609,-9526.824951172,-9642.791748047
,-4.577636719,-550.079345703,-561.523437500,-1549.530029297,-6002.044677734,-9258.270263672,-9485.626220703,-9600.830078125
,-6.866455078,-543.212890625,-550.842285156,-1537.322998047,-5965.423583984,-9221.649169922,-9441.375732422,-9555.816650391
,-8.392333984,-535.583496094,-541.687011719,-1525.115966797,-5930.328369141,-9180.450439453,-9396.362304688,-9507.751464844
,-9.918212891,-528.717041016,-533.294677734,-1512.908935547,-5897.521972656,-9136.962890625,-9347.534179688,-9453.582763672
,-9.155273438,-521.850585938,-525.665283203,-1500.701904297,-5866.241455078,-9087.371826172,-9294.891357422,-9392.547607422
,-8.392333984,-514.984130859,-515.747070313,-1486.968994141,-5833.435058594,-9031.677246094,-9236.145019531,-9324.645996094
,-9.155273438,-507.354736328,-505.065917969,-1471.710205078,-5799.102783203,-8969.116210938,-9169.006347656,-9248.352050781
,-9.155273438,-497.436523438,-494.384765625,-1457.214355469,-5762.481689453,-8898.925781250,-9095.001220703,-9165.954589844
,-10.681152344,-486.755371094,-485.229492188,-1445.007324219,-5722.808837891,-8821.868896484,-9014.892578125,-9079.742431641
