Test Name,H-Reflex Inc-Dec
Test Item,Left M-max
Patient Name,"week5  s2812mytb"
Patient ID,
Test Date,8/6/2019
Trace Label,"Tr 1 : 32 mA","Tr 2 : 55 mA","Tr 3 : 55 mA","Tr 4 : 63 mA","Tr 5 : 63 mA","Tr 6 : 63 mA","Tr 7 : 63 mA","Tr 8 : 73 mA","Tr 9 : 81 mA","Tr 10 : 81 mA","Tr 11 : 91 mA","Tr 12 : 91 mA","Tr 13 : 95 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),9047.241210938,3730.468750000,3416.442871094,9873.657226563,3683.776855469,9770.202636719,8302.307128906,4638.671875000,5235.595703125,2980.346679688,9470.214843750,3418.884277344,9561.157226563
,-269.775390625,-522.155761719,-467.529296875,1345.520019531,2397.460937500,2767.639160156,2691.650390625,3777.160644531,4241.943359375,4272.766113281,4510.803222656,4436.340332031,4566.650390625
,-263.061523438,-507.507324219,-458.068847656,1429.443359375,2489.318847656,2838.745117188,2759.094238281,3856.201171875,4357.604980469,4383.850097656,4563.293457031,4491.577148438,4629.821777344
,-257.263183594,-492.858886719,-450.439453125,1497.497558594,2557.983398438,2891.845703125,2807.312011719,3910.217285156,4449.768066406,4472.045898438,4588.317871094,4517.211914063,4662.780761719
,-252.075195313,-477.905273438,-447.998046875,1550.292968750,2602.539062500,2925.720214844,2836.914062500,3939.514160156,4518.432617188,4537.658691406,4576.416015625,4506.835937500,4658.813476563
,-248.107910156,-464.172363281,-450.439453125,1586.608886719,2625.732421875,2940.673828125,2846.374511719,3942.260742188,4563.293457031,4574.584960938,4524.841308594,4460.754394531,4616.394042969
,-245.361328125,-451.965332031,-457.763671875,1604.614257813,2628.173828125,2933.654785156,2831.115722656,3916.625976563,4578.552246094,4576.416015625,4432.983398438,4380.187988281,4538.269042969
,-242.309570313,-442.810058594,-468.750000000,1602.478027344,2610.168457031,2901.611328125,2788.391113281,3859.863281250,4558.105468750,4539.489746094,4306.030273438,4269.409179688,4429.626464844
,-239.257812500,-437.316894531,-481.567382813,1578.674316406,2570.495605469,2844.238281250,2718.811035156,3771.057128906,4498.291015625,4460.754394531,4153.747558594,4135.437011719,4297.485351563
,-235.595703125,-434.265136719,-494.995117188,1534.729003906,2507.019042969,2762.145996094,2623.901367188,3653.564453125,4400.939941406,4344.787597656,3984.680175781,3983.764648438,4149.475097656
,-230.712890625,-434.265136719,-509.033203125,1473.388671875,2421.569824219,2659.912109375,2511.291503906,3511.962890625,4275.207519531,4200.744628906,3808.898925781,3821.716308594,3991.699218750
,-226.745605469,-436.706542969,-523.681640625,1398.620605469,2317.504882813,2542.114257813,2387.695312500,3353.271484375,4129.638671875,4035.644531250,3635.864257813,3656.616210938,3832.702636719
,-222.778320313,-441.589355469,-539.245605469,1315.917968750,2202.148437500,2414.245605469,2255.859375000,3182.373046875,3972.167968750,3860.168457031,3469.543457031,3493.652343750,3678.283691406
,-219.116210938,-449.829101563,-554.504394531,1229.248046875,2080.688476563,2281.799316406,2121.276855469,3005.371093750,3807.373046875,3682.556152344,3314.514160156,3337.707519531,3533.630371094
,-215.454101563,-460.815429688,-569.152832031,1143.798828125,1958.618164063,2149.658203125,1986.694335938,2829.589843750,3639.221191406,3509.826660156,3168.945312500,3191.223144531,3397.521972656
,-211.181640625,-472.717285156,-581.665039063,1062.316894531,1840.515136719,2023.620605469,1856.689453125,2661.743164063,3470.764160156,3347.473144531,3027.648925781,3051.757812500,3262.939453125
,-206.298828125,-483.398437500,-592.041015625,984.802246094,1727.905273438,1907.043457031,1734.924316406,2506.408691406,3306.579589844,3197.021484375,2886.352539063,2915.649414063,3124.084472656
,-200.195312500,-491.638183594,-600.891113281,912.170410156,1623.535156250,1798.706054688,1621.093750000,2361.755371094,3148.193359375,3055.725097656,2740.783691406,2777.709960938,2974.548339844
,-193.176269531,-497.436523438,-608.215332031,844.116210938,1525.573730469,1692.504882813,1512.145996094,2224.426269531,2991.638183594,2916.564941406,2589.111328125,2633.361816406,2812.194824219
,-185.241699219,-500.183105469,-613.403320313,781.860351563,1432.495117188,1584.472656250,1405.639648438,2089.538574219,2834.777832031,2772.827148438,2434.692382813,2483.825683594,2642.822265625
,-176.696777344,-500.793457031,-617.065429688,725.708007813,1340.637207031,1472.167968750,1298.828125000,1953.430175781,2674.865722656,2622.070312500,2282.409667969,2333.374023438,2474.365234375
,-167.846679688,-499.572753906,-617.980957031,673.522949219,1249.084472656,1357.421875000,1192.932128906,1819.458007813,2514.648437500,2466.430664063,2139.282226563,2188.415527344,2315.063476563
,-158.386230469,-496.520996094,-617.065429688,623.168945313,1157.226562500,1245.422363281,1090.698242188,1690.979003906,2362.060546875,2314.147949219,2010.498046875,2055.358886719,2170.715332031
,-148.925781250,-493.164062500,-614.013671875,572.509765625,1067.810058594,1141.357421875,995.483398438,1573.486328125,2222.900390625,2172.241210938,1896.667480469,1935.119628906,2039.489746094
,-139.770507813,-489.196777344,-609.130859375,522.460937500,983.886718750,1048.583984375,911.254882813,1470.642089844,2099.914550781,2045.898437500,1792.907714844,1824.035644531,1917.419433594
,-131.225585938,-483.398437500,-603.637695313,476.074218750,909.423828125,970.458984375,840.759277344,1381.530761719,1991.577148438,1934.509277344,1693.725585938,1718.139648438,1798.706054688
,-123.901367188,-476.074218750,-597.229003906,436.096191406,848.693847656,905.456542969,782.470703125,1303.405761719,1891.784667969,1833.496093750,1596.374511719,1613.159179688,1682.739257813
,-117.797851563,-466.308593750,-590.515136719,404.968261719,801.391601563,852.050781250,733.337402344,1231.689453125,1796.264648438,1737.060546875,1500.854492188,1510.009765625,1571.044921875
,-113.525390625,-454.406738281,-584.411621094,382.995605469,765.991210938,805.664062500,689.086914063,1163.940429688,1702.880859375,1641.540527344,1411.132812500,1412.963867188,1468.811035156
,-110.473632813,-441.894531250,-578.308105469,368.347167969,737.304687500,763.549804688,648.193359375,1099.243164063,1611.938476563,1546.936035156,1331.787109375,1325.683593750,1380.920410156
,-108.032226563,-428.466796875,-570.983886719,357.971191406,709.838867188,723.876953125,609.130859375,1038.818359375,1524.353027344,1455.078125000,1263.122558594,1250.610351563,1307.067871094
,-105.590820313,-415.039062500,-562.133789063,348.510742188,680.236816406,686.340332031,572.204589844,984.191894531,1441.040039063,1370.544433594,1203.918457031,1187.744140625,1247.253417969
,-102.539062500,-401.306152344,-551.757812500,338.439941406,648.803710938,650.939941406,537.719726563,935.974121094,1363.220214844,1294.250488281,1152.038574219,1135.559082031,1197.814941406
,-99.182128906,-387.573242188,-540.771484375,326.232910156,617.675781250,616.149902344,504.150390625,892.333984375,1289.978027344,1226.501464844,1103.820800781,1090.087890625,1152.648925781
,-95.520019531,-374.145507813,-529.785156250,312.500000000,588.073730469,582.275390625,472.717285156,852.355957031,1221.618652344,1165.771484375,1056.823730469,1047.973632813,1108.398437500
,-92.468261719,-361.633300781,-520.019531250,297.546386719,563.354492188,549.011230469,443.420410156,812.683105469,1157.531738281,1108.398437500,1010.742187500,1005.859375000,1062.316894531
,-90.026855469,-350.036621094,-510.559082031,282.287597656,542.297363281,516.357421875,416.259765625,771.484375000,1097.412109375,1052.551269531,964.050292969,961.914062500,1014.404296875
,-87.890625000,-339.660644531,-501.098632813,267.639160156,524.597167969,485.839843750,392.761230469,731.201171875,1041.259765625,996.704101563,918.884277344,917.358398438,967.712402344
,-86.059570313,-330.810546875,-491.638183594,253.601074219,510.559082031,459.899902344,373.229980469,693.359375000,990.295410156,940.856933594,877.075195313,873.718261719,925.292968750
,-83.007812500,-322.570800781,-480.651855469,240.783691406,498.657226563,438.842773438,357.666015625,659.484863281,945.434570313,887.756347656,838.317871094,832.824707031,888.977050781
,-77.819824219,-314.636230469,-468.444824219,228.576660156,488.281250000,423.583984375,347.595214844,632.019042969,906.066894531,839.233398438,802.612304688,796.203613281,858.459472656
,-69.885253906,-306.396484375,-454.406738281,216.979980469,480.041503906,414.428710938,341.491699219,609.741210938,870.056152344,796.508789063,769.042968750,762.023925781,831.604003906
,-59.814453125,-298.156738281,-437.622070313,207.214355469,472.412109375,409.240722656,338.439941406,591.430664063,835.876464844,759.887695313,736.389160156,730.285644531,806.579589844
,-46.997070313,-290.222167969,-419.006347656,199.584960938,465.087890625,406.188964844,337.219238281,577.697753906,801.696777344,726.928710938,704.650878906,698.852539063,780.944824219
,-32.958984375,-283.203125000,-399.169921875,194.396972656,458.679199219,404.968261719,335.083007813,566.406250000,766.296386719,696.411132813,673.522949219,667.114257813,753.479003906
,-19.531250000,-277.099609375,-379.333496094,190.429687500,453.186035156,402.832031250,332.031250000,557.556152344,730.590820313,666.809082031,644.226074219,635.681152344,725.708007813
,-7.019042969,-271.606445313,-360.717773438,187.683105469,447.387695313,400.390625000,328.063964844,549.011230469,695.190429688,637.817382813,615.539550781,603.942871094,698.242187500
,2.746582031,-265.197753906,-343.933105469,184.631347656,440.979003906,396.118164063,322.265625000,539.550781250,661.621093750,609.130859375,587.768554688,572.509765625,671.997070313
,10.681152344,-257.263183594,-328.674316406,181.579589844,433.044433594,390.319824219,314.636230469,528.564453125,630.493164063,582.580566406,562.133789063,542.907714844,648.193359375
,17.700195313,-246.276855469,-315.551757813,178.222656250,422.668457031,382.995605469,306.091308594,513.916015625,601.806640625,559.082031250,538.635253906,515.747070313,626.220703125
,23.193359375,-231.933593750,-304.260253906,175.781250000,409.851074219,373.535156250,295.104980469,496.826171875,574.645996094,539.855957031,518.798828125,492.553710938,607.604980469
,27.160644531,-214.538574219,-295.104980469,173.950195313,395.202636719,362.548828125,282.287597656,477.294921875,548.706054688,525.207519531,503.540039063,475.158691406,591.735839844
,29.602050781,-195.007324219,-287.780761719,172.119140625,379.943847656,351.257324219,268.249511719,456.542968750,523.986816406,515.747070313,492.248535156,462.646484375,579.528808594
,28.991699219,-175.476074219,-281.982421875,170.288085938,364.990234375,339.355468750,253.906250000,436.706542969,500.488281250,510.253906250,484.313964844,454.101562500,570.068359375
,26.245117188,-156.860351563,-277.099609375,166.931152344,350.646972656,328.674316406,240.783691406,419.311523438,478.515625000,507.812500000,479.431152344,448.913574219,562.438964844
,21.972656250,-140.075683594,-271.911621094,162.353515625,336.914062500,318.908691406,229.492187500,404.663085938,458.679199219,506.896972656,475.158691406,445.251464844,555.419921875
,16.784667969,-124.816894531,-266.723632813,157.165527344,322.570800781,308.837890625,219.726562500,393.371582031,440.979003906,505.981445313,471.191406250,442.199707031,547.790527344
,11.291503906,-111.083984375,-260.314941406,151.367187500,306.701660156,299.072265625,210.266113281,384.826660156,426.025390625,504.455566406,466.918945313,439.147949219,539.550781250
,6.713867188,-99.182128906,-251.770019531,146.484375000,290.222167969,290.222167969,202.026367188,379.333496094,414.123535156,503.540039063,462.341308594,436.096191406,530.395507813
,2.746582031,-88.500976563,-241.699218750,142.822265625,274.353027344,284.118652344,194.702148438,378.112792969,404.968261719,502.929687500,458.374023438,432.128906250,521.545410156
,0.305175781,-79.956054688,-229.797363281,140.991210938,261.535644531,282.897949219,190.734863281,382.080078125,397.033691406,502.929687500,455.017089844,428.161621094,514.221191406
,-1.220703125,-73.242187500,-216.674804688,141.296386719,253.906250000,287.170410156,191.345214844,392.456054688,389.404296875,503.540039063,452.880859375,423.278808594,509.338378906
,-2.746582031,-67.749023438,-203.552246094,143.432617188,252.380371094,298.461914063,197.143554688,409.545898438,380.859375000,502.624511719,451.049804688,418.701171875,506.286621094
,-3.967285156,-62.561035156,-190.124511719,147.399902344,257.263183594,316.772460938,208.129882813,432.128906250,372.009277344,500.183105469,449.218750000,415.039062500,503.845214844
,-5.798339844,-56.762695313,-175.476074219,152.587890625,267.028808594,341.796875000,223.999023438,457.763671875,363.464355469,496.215820313,447.387695313,412.597656250,500.488281250
,-7.629394531,-49.438476563,-158.691406250,160.522460938,280.761718750,371.704101563,243.225097656,483.398437500,355.529785156,490.722656250,445.251464844,411.376953125,494.995117188
,-9.460449219,-39.978027344,-138.244628906,171.813964844,297.851562500,404.052734375,263.977050781,506.591796875,347.900390625,484.924316406,442.504882813,409.545898438,487.976074219
,-10.986328125,-27.160644531,-114.135742188,188.293457031,317.077636719,436.096191406,285.339355469,526.428222656,340.270996094,478.820800781,438.537597656,405.273437500,479.125976563
,-12.207031250,-11.901855469,-86.975097656,211.486816406,339.050292969,466.613769531,307.006835938,542.297363281,332.031250000,470.886230469,433.654785156,397.949218750,469.055175781
,-13.732910156,4.577636719,-56.457519531,239.868164063,362.548828125,495.300292969,330.200195313,556.030273438,323.791503906,460.510253906,428.161621094,388.488769531,459.594726563
,-15.869140625,21.972656250,-24.108886719,270.996093750,386.962890625,521.545410156,355.529785156,566.711425781,316.772460938,447.692871094,422.363281250,379.028320313,451.660156250
,-18.920898438,38.146972656,9.460449219,302.429199219,410.766601563,545.043945313,383.605957031,574.340820313,310.974121094,431.823730469,416.870117188,372.009277344,446.777343750
,-22.583007813,53.405761719,43.334960938,333.251953125,435.180664063,564.880371094,413.513183594,578.918457031,308.227539063,415.649414063,412.902832031,368.957519531,444.641113281
,-26.245117188,68.054199219,76.293945313,364.379882813,458.679199219,580.444335938,443.420410156,580.749511719,309.143066406,400.390625000,410.766601563,369.873046875,444.030761719
,-30.822753906,81.481933594,107.421875000,397.338867188,482.177734375,591.125488281,471.801757813,581.970214844,313.415527344,387.878417969,411.376953125,373.840332031,443.420410156
,-36.010742188,94.909667969,135.192871094,432.739257813,505.981445313,597.534179688,498.352050781,583.801269531,320.739746094,378.723144531,414.733886719,379.638671875,441.284179688
,-41.503906250,108.032226563,159.912109375,469.055175781,528.869628906,600.585937500,522.460937500,584.716796875,329.589843750,372.314453125,419.616699219,385.437011719,436.401367188
,-48.828125000,120.239257813,180.969238281,503.540039063,552.062988281,602.111816406,544.433593750,584.106445313,337.829589844,367.431640625,426.025390625,390.625000000,429.992675781
,-56.457519531,132.446289063,197.753906250,534.362792969,574.951171875,603.332519531,563.964843750,580.139160156,344.543457031,362.243652344,432.434082031,396.728515625,421.752929688
,-64.392089844,141.906738281,211.486816406,560.302734375,595.092773438,605.468750000,580.444335938,574.035644531,348.205566406,355.834960938,438.842773438,403.442382813,413.208007813
,-72.326660156,149.841308594,221.557617188,582.275390625,611.572265625,609.436035156,595.703125000,568.542480469,348.510742188,347.595214844,443.725585938,411.071777344,404.357910156
,-79.040527344,154.724121094,229.187011719,600.585937500,624.084472656,615.234375000,610.961914063,564.270019531,346.069335938,338.439941406,445.251464844,418.701171875,395.202636719
,-84.228515625,155.944824219,234.069824219,615.539550781,633.850097656,624.084472656,628.356933594,561.828613281,341.491699219,328.979492188,443.420410156,425.109863281,385.742187500
,-88.806152344,154.113769531,236.511230469,625.610351563,644.226074219,636.291503906,649.719238281,560.913085938,336.608886719,320.129394531,438.537597656,429.382324219,376.281738281
,-92.163085938,147.399902344,236.206054688,631.103515625,657.958984375,650.329589844,671.997070313,559.387207031,332.031250000,312.194824219,432.739257813,431.213378906,367.126464844
,-95.520019531,137.329101563,234.069824219,632.934570313,675.354003906,663.452148438,691.223144531,557.556152344,327.758789063,305.480957031,427.246093750,431.518554688,358.886718750
,-99.182128906,125.122070313,231.323242188,632.019042969,694.274902344,673.217773438,704.956054688,554.809570313,323.486328125,300.598144531,420.837402344,431.213378906,350.036621094
,-102.539062500,111.389160156,229.187011719,629.577636719,711.059570313,676.574707031,709.533691406,551.147460938,318.603515625,297.851562500,412.597656250,428.771972656,339.355468750
,-104.980468750,97.961425781,227.966308594,626.220703125,721.130371094,674.438476563,706.481933594,545.349121094,312.500000000,296.630859375,401.916503906,424.499511719,325.622558594
,-105.895996094,85.144042969,227.050781250,621.337890625,721.740722656,668.029785156,697.631835938,537.414550781,305.786132813,294.799804688,389.099121094,416.259765625,308.837890625
,-105.285644531,72.021484375,226.135253906,614.929199219,713.500976563,658.874511719,683.898925781,527.343750000,297.851562500,291.442871094,375.061035156,404.052734375,289.916992188
,-102.844238281,59.204101563,225.219726563,607.604980469,697.021484375,646.057128906,667.419433594,513.610839844,289.306640625,285.644531250,360.717773438,389.404296875,270.080566406
,-98.266601563,45.776367188,224.609375000,599.670410156,675.964355469,631.103515625,650.024414063,497.436523438,279.541015625,277.099609375,346.984863281,372.619628906,250.549316406
,-92.773437500,32.653808594,224.609375000,591.430664063,652.770996094,611.877441406,633.239746094,477.600097656,268.249511719,267.028808594,333.557128906,355.224609375,231.323242188
,-85.754394531,19.836425781,226.135253906,582.885742188,627.441406250,588.989257813,617.065429688,453.796386719,256.042480469,255.432128906,321.350097656,337.524414063,212.097167969
,-78.430175781,7.934570313,228.881835938,572.814941406,599.975585938,562.438964844,601.806640625,428.161621094,243.225097656,243.530273438,308.837890625,320.129394531,191.955566406
,-71.411132813,-0.915527344,233.154296875,560.913085938,569.152832031,530.700683594,586.547851563,400.085449219,229.492187500,231.933593750,294.799804688,303.955078125,170.288085938
,-64.697265625,-6.713867188,236.511230469,546.569824219,535.583496094,494.689941406,568.542480469,371.704101563,214.843750000,220.336914063,280.151367188,288.696289063,148.010253906
,-59.204101563,-8.850097656,238.952636719,529.785156250,500.488281250,455.322265625,547.485351563,343.017578125,199.279785156,209.045410156,265.197753906,274.658203125,125.732421875
,-54.626464844,-7.019042969,240.173339844,510.559082031,464.172363281,413.513183594,522.460937500,313.415527344,183.410644531,197.448730469,251.770019531,260.925292969,105.895996094
,-50.354003906,-3.967285156,239.257812500,489.807128906,428.161621094,371.398925781,494.384765625,283.508300781,168.762207031,186.462402344,240.173339844,247.497558594,88.806152344
,-46.691894531,0.610351563,238.342285156,467.834472656,392.150878906,329.589843750,465.087890625,253.906250000,155.334472656,175.781250000,230.407714844,234.069824219,74.768066406
,-43.334960938,5.187988281,236.816406250,445.556640625,356.445312500,290.222167969,436.096191406,225.219726563,143.432617188,166.625976563,221.252441406,220.642089844,64.086914063
,-40.588378906,10.375976563,234.375000000,422.973632813,322.875976563,253.601074219,408.020019531,199.279785156,132.446289063,158.996582031,210.876464844,206.909179688,55.847167969
,-38.146972656,15.869140625,231.323242188,401.306152344,292.358398438,220.642089844,380.859375000,175.781250000,122.680664063,153.503417969,199.890136719,194.091796875,49.438476563
,-36.315917969,20.446777344,226.440429688,380.249023438,264.892578125,192.565917969,354.919433594,154.113769531,113.830566406,149.841308594,187.988281250,181.579589844,44.250488281
,-35.400390625,24.414062500,221.862792969,361.022949219,240.783691406,167.236328125,329.895019531,133.972167969,107.116699219,149.230957031,176.696777344,169.982910156,41.503906250
,-34.790039063,27.160644531,217.590332031,344.238281250,218.200683594,145.263671875,305.786132813,115.356445313,102.233886719,151.367187500,166.320800781,159.912109375,39.672851563
,-34.484863281,28.686523438,214.233398438,328.674316406,196.838378906,126.342773438,282.897949219,98.266601563,99.487304688,155.334472656,155.944824219,148.925781250,38.757324219
,-35.095214844,30.517578125,212.097167969,314.331054688,177.612304688,109.558105469,260.620117188,83.312988281,97.961425781,160.522460938,145.874023438,136.718750000,37.841796875
,-36.315917969,32.348632813,208.740234375,300.598144531,159.301757813,95.214843750,240.173339844,70.800781250,96.740722656,165.100097656,133.666992188,122.680664063,35.400390625
,-38.452148438,33.569335938,203.857421875,287.475585938,143.432617188,83.007812500,222.167968750,61.035156250,93.994140625,167.846679688,119.934082031,105.895996094,31.433105469
,-41.503906250,35.095214844,197.448730469,274.658203125,129.699707031,72.631835938,207.214355469,53.100585938,89.721679688,167.846679688,104.370117188,88.500976563,27.465820313
,-44.555664063,35.095214844,189.819335938,262.756347656,116.577148438,64.392089844,194.396972656,46.997070313,83.923339844,166.015625000,87.280273438,70.800781250,23.803710938
,-47.302246094,33.874511719,181.884765625,250.549316406,105.285644531,57.373046875,182.189941406,41.809082031,76.904296875,162.048339844,68.969726563,53.710937500,21.057128906
,-49.438476563,32.043457031,174.560546875,237.731933594,94.909667969,51.879882813,170.288085938,37.841796875,69.885253906,156.555175781,50.964355469,37.231445313,18.920898438
,-50.659179688,29.907226563,167.846679688,224.914550781,84.838867188,47.912597656,158.081054688,34.790039063,62.561035156,149.536132813,34.484863281,21.362304688,16.784667969
,-51.574707031,27.465820313,162.048339844,212.402343750,76.599121094,44.860839844,146.484375000,32.043457031,55.847167969,140.991210938,19.836425781,5.798339844,13.732910156
,-52.490234375,25.634765625,155.639648438,200.805664063,69.274902344,43.029785156,136.108398438,29.907226563,50.354003906,132.446289063,7.019042969,-8.544921875,10.070800781
,-52.795410156,22.888183594,149.230957031,190.429687500,64.086914063,41.198730469,126.647949219,27.160644531,45.776367188,123.291015625,-4.272460938,-22.583007813,5.798339844
,-52.490234375,18.920898438,142.211914063,181.274414063,60.424804688,39.672851563,117.797851563,24.108886719,42.114257813,114.440917969,-15.563964844,-35.400390625,0.305175781
,-51.574707031,14.343261719,134.887695313,172.119140625,57.373046875,38.452148438,109.558105469,21.667480469,37.841796875,105.895996094,-27.160644531,-47.607421875,-5.493164063
,-49.743652344,8.850097656,129.394531250,163.269042969,55.541992188,37.231445313,101.623535156,18.920898438,33.264160156,97.961425781,-38.146972656,-59.814453125,-12.512207031
,-46.997070313,4.272460938,125.427246094,154.724121094,54.931640625,35.705566406,93.383789063,16.174316406,27.770996094,90.942382813,-47.912597656,-72.021484375,-20.751953125
,-43.640136719,0.305175781,123.291015625,147.399902344,54.321289063,33.874511719,85.144042969,12.207031250,21.972656250,84.533691406,-56.152343750,-84.838867188,-29.602050781
,-39.672851563,-2.441406250,122.375488281,143.127441406,55.236816406,31.127929688,75.988769531,6.713867188,16.784667969,77.514648438,-62.255859375,-96.435546875,-38.452148438
,-36.315917969,-4.882812500,121.459960938,142.822265625,54.931640625,27.465820313,65.917968750,0.915527344,12.817382813,69.580078125,-65.917968750,-106.201171875,-46.691894531
,-32.043457031,-7.324218750,120.239257813,146.484375000,54.321289063,22.277832031,55.236816406,-5.187988281,11.291503906,60.729980469,-68.054199219,-113.220214844,-54.016113281
,-27.465820313,-9.155273438,119.323730469,153.503417969,52.490234375,16.784667969,43.029785156,-11.291503906,12.512207031,51.879882813,-68.969726563,-117.492675781,-59.814453125
,-21.972656250,-10.986328125,117.797851563,161.743164063,50.048828125,10.681152344,29.602050781,-16.174316406,16.174316406,43.029785156,-68.664550781,-120.239257813,-64.697265625
,-16.174316406,-12.817382813,115.966796875,168.762207031,46.691894531,3.967285156,14.648437500,-21.667480469,21.057128906,35.400390625,-68.359375000,-121.154785156,-68.969726563
,-10.986328125,-13.427734375,113.525390625,173.339843750,42.724609375,-2.441406250,0.000000000,-28.686523438,26.550292969,27.770996094,-67.443847656,-121.459960938,-72.631835938
,-6.408691406,-12.817382813,110.473632813,174.560546875,38.452148438,-9.460449219,-14.038085938,-36.926269531,31.738281250,20.141601563,-66.528320313,-120.239257813,-75.988769531
,-2.746582031,-10.986328125,107.727050781,173.950195313,34.790039063,-16.784667969,-26.855468750,-46.386718750,35.705566406,11.596679688,-66.223144531,-118.103027344,-79.040527344
,-0.610351563,-8.239746094,104.675292969,172.729492188,31.433105469,-23.498535156,-37.536621094,-55.541992188,38.146972656,2.136230469,-65.307617188,-115.661621094,-81.481933594
,0.610351563,-4.882812500,101.928710938,170.898437500,29.602050781,-29.602050781,-46.997070313,-63.171386719,39.978027344,-7.019042969,-65.002441406,-113.525390625,-83.618164063
,1.831054688,-1.220703125,98.876953125,168.457031250,27.465820313,-34.790039063,-55.847167969,-68.969726563,40.283203125,-16.174316406,-64.697265625,-112.304687500,-85.449218750
,3.051757813,1.831054688,96.130371094,164.489746094,24.719238281,-38.757324219,-63.781738281,-73.242187500,39.367675781,-24.414062500,-65.307617188,-111.999511719,-87.280273438
,5.493164063,5.798339844,93.688964844,158.996582031,21.667480469,-42.114257813,-72.021484375,-76.599121094,37.536621094,-31.433105469,-67.443847656,-112.609863281,-89.111328125
,8.239746094,10.070800781,91.857910156,151.672363281,18.310546875,-44.860839844,-80.261230469,-79.650878906,32.958984375,-39.062500000,-70.495605469,-113.830566406,-90.026855469
,10.681152344,14.038085938,90.332031250,143.432617188,15.563964844,-47.607421875,-87.280273438,-82.702636719,26.855468750,-48.828125000,-74.462890625,-115.661621094,-89.721679688
,12.817382813,17.700195313,88.806152344,134.887695313,14.648437500,-50.964355469,-92.773437500,-85.754394531,19.836425781,-60.424804688,-78.125000000,-116.882324219,-88.195800781
,13.427734375,20.141601563,86.059570313,127.563476563,15.869140625,-54.626464844,-96.435546875,-88.806152344,11.596679688,-73.852539063,-82.092285156,-118.103027344,-86.059570313
,12.817382813,21.667480469,82.702636719,121.154785156,20.141601563,-58.288574219,-97.351074219,-92.163085938,2.746582031,-87.585449219,-86.059570313,-119.934082031,-84.533691406
,11.901855469,22.888183594,79.650878906,115.966796875,27.160644531,-61.645507813,-96.435546875,-94.299316406,-4.577636719,-100.708007813,-89.721679688,-122.375488281,-83.007812500
,10.986328125,23.193359375,77.514648438,111.083984375,36.010742188,-63.781738281,-93.994140625,-96.130371094,-11.596679688,-112.304687500,-94.604492188,-126.037597656,-82.397460938
,11.901855469,23.193359375,78.430175781,105.590820313,44.860839844,-65.002441406,-90.942382813,-95.825195313,-17.089843750,-122.985839844,-100.097656250,-130.920410156,-83.312988281
,15.258789063,23.498535156,82.397460938,98.876953125,51.879882813,-64.086914063,-87.890625000,-94.909667969,-21.667480469,-132.141113281,-106.811523438,-135.803222656,-84.533691406
,22.277832031,23.498535156,88.806152344,91.857910156,56.457519531,-62.255859375,-84.228515625,-93.383789063,-26.855468750,-141.296386719,-114.440917969,-140.991210938,-87.280273438
,32.348632813,24.108886719,97.656250000,85.449218750,59.204101563,-59.204101563,-81.176757813,-91.552734375,-32.348632813,-149.841308594,-121.459960938,-146.789550781,-90.942382813
,44.250488281,24.414062500,106.506347656,79.345703125,60.119628906,-55.847167969,-78.735351563,-90.026855469,-38.146972656,-158.691406250,-127.868652344,-152.282714844,-93.383789063
,56.152343750,23.803710938,115.356445313,73.852539063,60.119628906,-53.100585938,-76.599121094,-88.500976563,-44.555664063,-166.931152344,-133.361816406,-158.996582031,-96.130371094
,66.833496094,22.888183594,122.680664063,68.969726563,59.509277344,-51.269531250,-75.683593750,-87.280273438,-50.354003906,-173.950195313,-137.329101563,-164.794921875,-97.961425781
,75.378417969,21.667480469,127.868652344,63.476562500,56.762695313,-50.048828125,-73.852539063,-86.364746094,-56.152343750,-179.138183594,-140.991210938,-170.288085938,-99.182128906
,81.787109375,21.057128906,130.920410156,57.678222656,52.795410156,-49.133300781,-71.716308594,-85.754394531,-62.255859375,-181.579589844,-144.348144531,-174.560546875,-101.318359375
,86.975097656,22.583007813,132.751464844,50.964355469,47.302246094,-49.133300781,-70.190429688,-86.364746094,-68.664550781,-182.495117188,-148.010253906,-178.527832031,-103.759765625
,90.942382813,26.550292969,133.361816406,43.640136719,39.978027344,-49.438476563,-68.664550781,-87.890625000,-75.378417969,-181.884765625,-152.282714844,-181.579589844,-106.506347656
,93.688964844,33.569335938,133.361816406,36.010742188,32.653808594,-50.354003906,-67.749023438,-90.332031250,-82.092285156,-179.748535156,-155.639648438,-185.241699219,-108.947753906
,94.909667969,43.334960938,131.835937500,28.991699219,24.719238281,-50.964355469,-68.664550781,-93.383789063,-88.500976563,-177.001953125,-158.081054688,-188.293457031,-109.863281250
