Test Name,M-max Lower Leg Ampl Lines
Test Item,Left Gastroc
Patient Name,"followup  s2718tdvg"
Patient ID,
Test Date,11/19/2019
Trace Label,"Tr 1 : 0 mA : 200 탎","Tr 2 : 28 mA : 200 탎","Tr 3 : 67 mA : 200 탎","Tr 4 : 100 mA : 200 탎","Tr 5 : 100 mA : 200 탎","Tr 6 : 100 mA : 200 탎","Tr 7 : 100 mA : 200 탎","Tr 8 : 100 mA : 300 탎","Tr 9 : 100 mA : 400 탎","Tr 10 : 100 mA : 400 탎","Tr 11 : 100 mA : 400 탎","Tr 12 : 100 mA : 400 탎","Tr 13 : 100 mA : 500 탎"
,35.858154297,24.414062500,35.095214844,21.362304688,23.651123047,26.702880859,25.939941406,26.702880859,29.754638672,28.991699219,33.569335938,19.836425781,26.702880859
,35.858154297,24.414062500,33.569335938,21.362304688,25.177001953,28.228759766,27.465820313,25.939941406,32.043457031,30.517578125,34.332275391,20.599365234,27.465820313
,34.332275391,23.651123047,32.043457031,21.362304688,26.702880859,28.991699219,27.465820313,25.177001953,32.043457031,30.517578125,35.095214844,20.599365234,27.465820313
,32.043457031,24.414062500,31.280517578,22.888183594,27.465820313,28.991699219,27.465820313,24.414062500,32.043457031,30.517578125,35.858154297,21.362304688,27.465820313
,28.991699219,25.177001953,31.280517578,22.888183594,27.465820313,27.465820313,28.228759766,22.888183594,32.043457031,30.517578125,35.095214844,20.599365234,28.228759766
,28.228759766,26.702880859,29.754638672,24.414062500,26.702880859,25.939941406,28.991699219,21.362304688,31.280517578,30.517578125,35.095214844,19.836425781,28.991699219
,28.228759766,28.991699219,28.228759766,25.939941406,25.939941406,24.414062500,28.991699219,21.362304688,32.043457031,31.280517578,34.332275391,20.599365234,30.517578125
,27.465820313,28.991699219,27.465820313,26.702880859,26.702880859,22.125244141,29.754638672,19.836425781,32.043457031,31.280517578,34.332275391,20.599365234,31.280517578
,27.465820313,28.228759766,27.465820313,25.939941406,27.465820313,20.599365234,29.754638672,19.073486328,32.043457031,31.280517578,33.569335938,21.362304688,31.280517578
,25.939941406,28.228759766,28.228759766,25.177001953,28.991699219,20.599365234,28.991699219,19.836425781,32.043457031,32.043457031,32.806396484,21.362304688,30.517578125
,25.177001953,27.465820313,28.991699219,24.414062500,28.228759766,20.599365234,28.228759766,19.836425781,31.280517578,32.043457031,31.280517578,19.836425781,30.517578125
,25.939941406,28.228759766,29.754638672,23.651123047,26.702880859,20.599365234,28.228759766,19.836425781,31.280517578,32.806396484,29.754638672,19.073486328,30.517578125
,27.465820313,28.991699219,28.991699219,23.651123047,25.939941406,22.125244141,28.991699219,19.073486328,30.517578125,33.569335938,28.228759766,16.784667969,31.280517578
,28.991699219,29.754638672,28.991699219,25.177001953,25.177001953,22.125244141,29.754638672,18.310546875,30.517578125,34.332275391,28.228759766,16.021728516,32.043457031
,31.280517578,29.754638672,28.228759766,25.177001953,24.414062500,22.888183594,30.517578125,18.310546875,31.280517578,35.858154297,28.228759766,17.547607422,31.280517578
,32.043457031,29.754638672,27.465820313,25.939941406,26.702880859,25.939941406,30.517578125,18.310546875,31.280517578,37.384033203,28.228759766,19.073486328,29.754638672
,32.806396484,29.754638672,27.465820313,27.465820313,27.465820313,28.228759766,29.754638672,19.073486328,31.280517578,37.384033203,28.991699219,20.599365234,28.228759766
,32.806396484,29.754638672,26.702880859,28.228759766,27.465820313,29.754638672,29.754638672,19.836425781,30.517578125,37.384033203,28.228759766,22.888183594,27.465820313
,32.806396484,29.754638672,25.939941406,29.754638672,29.754638672,31.280517578,30.517578125,21.362304688,29.754638672,36.621093750,28.991699219,23.651123047,28.228759766
,33.569335938,30.517578125,24.414062500,31.280517578,30.517578125,31.280517578,31.280517578,22.888183594,29.754638672,35.858154297,28.991699219,24.414062500,28.991699219
,33.569335938,31.280517578,22.888183594,32.043457031,32.043457031,31.280517578,32.043457031,25.177001953,30.517578125,35.095214844,28.991699219,25.177001953,29.754638672
,34.332275391,31.280517578,22.888183594,32.806396484,33.569335938,31.280517578,32.806396484,25.939941406,30.517578125,34.332275391,28.228759766,24.414062500,29.754638672
,34.332275391,31.280517578,22.888183594,32.043457031,34.332275391,31.280517578,32.806396484,26.702880859,29.754638672,33.569335938,27.465820313,24.414062500,28.991699219
,34.332275391,31.280517578,25.177001953,30.517578125,35.095214844,31.280517578,30.517578125,26.702880859,28.991699219,31.280517578,25.939941406,22.888183594,28.228759766
,35.095214844,31.280517578,25.177001953,28.991699219,34.332275391,29.754638672,28.991699219,25.939941406,26.702880859,29.754638672,25.177001953,21.362304688,28.228759766
,35.858154297,32.043457031,25.177001953,25.939941406,32.806396484,28.991699219,25.939941406,27.465820313,25.939941406,28.228759766,25.939941406,20.599365234,28.991699219
,35.858154297,32.806396484,25.177001953,24.414062500,32.043457031,28.228759766,23.651123047,28.228759766,24.414062500,27.465820313,25.177001953,19.073486328,29.754638672
,37.384033203,32.806396484,25.177001953,22.888183594,31.280517578,27.465820313,22.888183594,29.754638672,23.651123047,27.465820313,25.939941406,19.073486328,31.280517578
,38.909912109,34.332275391,25.177001953,22.888183594,32.043457031,28.991699219,22.888183594,29.754638672,22.125244141,26.702880859,25.177001953,19.836425781,32.043457031
,39.672851563,34.332275391,1586.914062500,1585.388183594,47.302246094,28.228759766,1527.404785156,637.817382813,1287.078857422,1587.677001953,504.302978516,1233.673095703,1255.798339844
,41.198730469,607.299804688,4638.671875000,3612.518310547,1614.379882813,1588.439941406,4593.658447266,2803.802490234,4115.295410156,4709.625244141,2542.114257813,4009.246826172,4039.764404297
,41.961669922,2730.560302734,7572.937011719,5439.758300781,3103.637695313,3730.773925781,7486.724853516,6394.958496094,8503.723144531,9391.784667969,6140.136718750,8344.268798828,8383.941650391
,41.961669922,4779.052734375,10364.532470703,7044.219970703,4480.743408203,5693.054199219,10165.405273438,9734.344482422,12365.722656250,13635.253906250,9667.205810547,12235.260009766,14285.278320313
,41.198730469,6759.643554688,9890.747070313,5300.903320313,5708.312988281,7447.052001953,9613.037109375,11562.347412109,13153.839111328,14324.951171875,11786.651611328,13208.770751953,17181.396484375
,40.435791016,7531.738281250,6293.487548828,2407.836914063,3704.833984375,5867.767333984,5717.468261719,9976.959228516,10261.535644531,11447.143554688,10322.570800781,10548.400878906,16336.822509766
,38.146972656,5142.974853516,2793.884277344,-301.361083984,1734.924316406,2912.902832031,1947.021484375,5251.312255859,3696.441650391,5009.460449219,5271.148681641,4257.202148438,11743.164062500
,35.858154297,2844.238281250,-553.894042969,-2775.573730469,-134.277343750,114.440917969,-1605.987548828,744.628906250,-2352.905273438,-979.614257813,-92.315673828,-1643.371582031,3415.679931641
,34.332275391,627.136230469,-2185.058593750,-3444.671630859,-1863.861083984,-2468.109130859,-3415.679931641,-2842.712402344,-6581.115722656,-4961.395263672,-4525.756835938,-5834.197998047,-3173.828125000
,33.569335938,-940.704345703,-2169.799804688,-3405.761718750,-1905.059814453,-3260.040283203,-3421.783447266,-4549.407958984,-8646.392822266,-6901.550292969,-6900.024414063,-7915.496826172,-7552.337646484
,32.806396484,-891.876220703,-2119.445800781,-3329.467773438,-1890.563964844,-3240.203857422,-3360.748291016,-4510.498046875,-8545.684814453,-6798.553466797,-7203.674316406,-7880.401611328,-9688.568115234
,32.806396484,-852.203369141,-2062.988281250,-3243.255615234,-1853.942871094,-3175.354003906,-3279.876708984,-4409.790039063,-8378.601074219,-6661.224365234,-7074.737548828,-7740.783691406,-9589.385986328
,32.806396484,-820.922851563,-2006.530761719,-3156.280517578,-1809.692382813,-3096.008300781,-3192.901611328,-4294.586181641,-8171.081542969,-6494.903564453,-6903.076171875,-7556.915283203,-9385.681152344
,32.806396484,-794.982910156,-1948.547363281,-3070.068359375,-1763.916015625,-3013.610839844,-3106.689453125,-4177.093505859,-7955.169677734,-6323.242187500,-6719.207763672,-7361.602783203,-9152.221679688
,34.332275391,-770.568847656,-1892.089843750,-2986.145019531,-1718.902587891,-2931.976318359,-3020.477294922,-4061.889648438,-7740.783691406,-6153.106689453,-6536.865234375,-7165.527343750,-8914.947509766
,35.095214844,-747.680664063,-1836.395263672,-2904.510498047,-1673.126220703,-2851.104736328,-2936.553955078,-3950.500488281,-7532.501220703,-5986.022949219,-6359.863281250,-6973.266601563,-8679.199218750
,35.095214844,-724.792480469,-1782.226562500,-2825.164794922,-1627.349853516,-2774.047851563,-2855.682373047,-3842.926025391,-7331.848144531,-5824.279785156,-6186.676025391,-6785.583496094,-8448.028564453
,34.332275391,-701.904296875,-1731.109619141,-2748.107910156,-1583.862304688,-2700.805664063,-2776.336669922,-3739.929199219,-7139.587402344,-5666.351318359,-6019.592285156,-6602.478027344,-8224.487304688
,32.043457031,-679.016113281,-1683.044433594,-2674.102783203,-1541.137695313,-2629.852294922,-2701.568603516,-3639.984130859,-6958.007812500,-5513.763427734,-5857.849121094,-6427.764892578,-8008.575439453
,31.280517578,-656.890869141,-1637.268066406,-2601.623535156,-1500.701904297,-2563.476562500,-2629.852294922,-3542.327880859,-6787.109375000,-5366.516113281,-5701.446533203,-6259.155273438,-7803.344726563
,30.517578125,-636.291503906,-1594.543457031,-2532.196044922,-1461.791992188,-2500.915527344,-2560.424804688,-3448.486328125,-6629.943847656,-5224.609375000,-5551.910400391,-6098.175048828,-7608.032226563
,30.517578125,-616.455078125,-1551.818847656,-2468.872070313,-1422.119140625,-2445.220947266,-2497.863769531,-3358.459472656,-6488.800048828,-5090.332031250,-5408.477783203,-5947.875976563,-7426.452636719
,31.280517578,-597.381591797,-1512.908935547,-2413.940429688,-1383.972167969,-2400.970458984,-2442.932128906,-3272.247314453,-6364.440917969,-4966.735839844,-5274.963378906,-5807.495117188,-7260.894775391
,30.517578125,-579.833984375,-1476.287841797,-2370.452880859,-1346.588134766,-2368.927001953,-2397.918701172,-3192.901611328,-6256.103515625,-4854.583740234,-5152.893066406,-5683.135986328,-7112.121582031
,31.280517578,-562.286376953,-1445.770263672,-2340.698242188,-1313.018798828,-2350.616455078,-2362.823486328,-3123.474121094,-6163.024902344,-4757.690429688,-5044.555664063,-5574.798583984,-6982.421875000
,29.754638672,-545.501708984,-1423.645019531,-2322.387695313,-1284.790039063,-2343.750000000,-2336.120605469,-3065.490722656,-6080.627441406,-4676.055908203,-4953.002929688,-5480.194091797,-6868.743896484
