Test Name,M-max Lower Leg Ampl Lines
Test Item,Right Gastroc
Patient Name,"followup  s2718tdvg"
Patient ID,
Test Date,11/19/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 0 mA : 100 탎","Tr 3 : 21 mA : 100 탎","Tr 4 : 73 mA : 100 탎","Tr 5 : 73 mA : 100 탎","Tr 6 : 100 mA : 100 탎","Tr 7 : 100 mA : 100 탎","Tr 8 : 100 mA : 100 탎","Tr 9 : 100 mA : 200 탎","Tr 10 : 100 mA : 300 탎","Tr 11 : 100 mA : 400 탎","Tr 12 : 100 mA : 550 탎","Tr 13 : 100 mA : 600 탎","Tr 14 : 100 mA : 600 탎"
,28.228759766,36.621093750,653.839111328,622.558593750,528.717041016,1233.673095703,1965.332031250,1170.349121094,2883.911132813,2919.769287109,2944.183349609,2730.560302734,2864.074707031,2516.174316406
,26.702880859,37.384033203,572.967529297,533.294677734,482.177734375,1174.163818359,1837.921142578,1153.564453125,3063.964843750,3132.629394531,3144.073486328,2923.583984375,2993.774414063,2623.748779297
,26.702880859,38.909912109,492.858886719,453.186035156,439.453125000,1081.085205078,1629.638671875,1099.395751953,3108.215332031,3229.522705078,3243.255615234,2996.063232422,2996.826171875,2621.459960938
,27.465820313,39.672851563,414.276123047,380.706787109,395.965576172,955.963134766,1358.795166016,1009.368896484,3019.714355469,3208.923339844,3237.152099609,2947.235107422,2878.570556641,2510.833740234
,27.465820313,39.672851563,337.219238281,316.619873047,350.189208984,801.849365234,1041.412353516,891.113281250,2806.091308594,3075.408935547,3127.288818359,2783.203125000,2657.318115234,2304.077148438
,28.228759766,38.909912109,263.977050781,259.399414063,301.361083984,624.847412109,695.800781250,749.206542969,2490.234375000,2839.660644531,2924.346923828,2528.381347656,2343.750000000,2001.953125000
,27.465820313,38.146972656,191.497802734,202.941894531,248.718261719,429.534912109,328.063964844,584.411621094,2083.587646484,2501.678466797,2629.089355469,2183.532714844,1948.547363281,1615.905761719
,25.939941406,38.146972656,123.596191406,143.432617188,193.023681641,224.304199219,-39.672851563,403.594970703,1617.431640625,2079.010009766,2245.330810547,1767.730712891,1496.887207031,1171.875000000
,25.177001953,38.909912109,61.035156250,76.293945313,131.225585938,17.547607422,-391.387939453,209.808349609,1119.232177734,1585.388183594,1794.433593750,1300.811767578,1002.502441406,678.253173828
,23.651123047,39.672851563,5.340576172,2.288818359,61.798095703,-180.816650391,-715.637207031,10.681152344,603.485107422,1038.360595703,1289.367675781,793.457031250,479.125976563,159.454345703
,22.125244141,39.672851563,-39.672851563,-77.819824219,-11.444091797,-362.396240234,-999.450683594,-183.105468750,97.656250000,473.022460938,749.206542969,268.554687500,-46.539306641,-352.478027344
,22.125244141,39.672851563,-77.056884766,-165.557861328,-90.026855469,-527.191162109,-1243.591308594,-368.499755859,-392.150878906,-93.841552734,201.416015625,-256.347656250,-565.338134766,-858.306884766
,22.125244141,39.672851563,-109.100341797,-257.110595703,-173.187255859,-672.912597656,-1456.451416016,-540.161132813,-860.595703125,-644.683837891,-345.611572266,-772.094726563,-1062.774658203,-1338.958740234
,22.888183594,40.435791016,-135.040283203,-354.003906250,-257.873535156,-801.849365234,-1645.660400391,-699.615478516,-1295.471191406,-1165.008544922,-879.669189453,-1266.479492188,-1527.404785156,-1787.567138672
,22.888183594,42.724609375,-159.454345703,-452.423095703,-345.611572266,-920.104980469,-1815.795898438,-851.440429688,-1699.829101563,-1657.867431641,-1390.838623047,-1733.398437500,-1965.332031250,-2214.813232422
,22.125244141,45.013427734,-182.342529297,-551.605224609,-434.875488281,-1026.153564453,-1969.146728516,-996.398925781,-2071.380615234,-2118.682861328,-1876.831054688,-2172.088623047,-2378.082275391,-2616.119384766
,20.599365234,45.776367188,-202.178955078,-646.972656250,-521.087646484,-1122.283935547,-2104.187011719,-1136.016845703,-2407.836914063,-2545.166015625,-2332.305908203,-2581.024169922,-2768.707275391,-2996.826171875
,18.310546875,44.250488281,-221.252441406,-735.473632813,-605.010986328,-1209.259033203,-2217.864990234,-1266.479492188,-2712.249755859,-2933.502197266,-2755.737304688,-2963.256835938,-3139.495849609,-3356.170654297
,17.547607422,41.961669922,-238.800048828,-815.582275391,-681.304931641,-1287.078857422,-2314.758300781,-1387.023925781,-2978.515625000,-3277.587890625,-3146.362304688,-3314.971923828,-3480.529785156,-3684.997558594
,16.784667969,39.672851563,-257.110595703,-886.535644531,-750.732421875,-1357.269287109,-2397.155761719,-1493.072509766,-3203.582763672,-3574.371337891,-3495.788574219,-3630.828857422,-3787.231445313,-3981.781005859
,15.258789063,37.384033203,-276.947021484,-946.807861328,-811.004638672,-1418.304443359,-2462.005615234,-1583.099365234,-3387.451171875,-3823.852539063,-3802.490234375,-3908.538818359,-4055.786132813,-4242.706298828
,16.021728516,36.621093750,-296.783447266,-999.450683594,-862.884521484,-1470.184326172,-2512.359619141,-1657.867431641,-3526.306152344,-4028.320312500,-4066.467285156,-4147.338867188,-4283.905029297,-4467.773437500
,16.021728516,36.621093750,-317.382812500,-1041.412353516,-906.372070313,-1511.383056641,-2540.588378906,-1715.087890625,-3627.014160156,-4192.352294922,-4285.430908203,-4351.806640625,-4479.217529297,-4661.560058594
,16.784667969,35.858154297,-335.693359375,-1074.981689453,-939.941406250,-1537.322998047,-2548.217773438,-1755.523681641,-3695.678710938,-4319.763183594,-4467.773437500,-4524.993896484,-4641.723632813,-4825.592041016
,19.836425781,35.095214844,-350.952148438,-1098.632812500,-962.829589844,-1548.767089844,-2536.010742188,-1781.463623047,-3734.588623047,-4410.552978516,-4613.494873047,-4669.189453125,-4773.712158203,-4961.395263672
,22.125244141,33.569335938,-363.159179688,-1109.313964844,-975.799560547,-1544.189453125,-2501.678466797,-1791.381835938,-3749.084472656,-4467.010498047,-4724.121093750,-4785.156250000,-4875.946044922,-5070.495605469
,24.414062500,33.569335938,-370.025634766,-1110.076904297,-978.088378906,-1525.115966797,-2451.324462891,-1784.515380859,-3742.218017578,-4493.713378906,-4799.652099609,-4869.079589844,-4949.188232422,-5148.315429688
,26.702880859,33.569335938,-373.077392578,-1100.158691406,-970.458984375,-1496.124267578,-2384.948730469,-1763.153076172,-3716.278076172,-4495.239257813,-4843.139648438,-4926.300048828,-4996.490478516,-5196.380615234
,27.465820313,35.095214844,-373.840332031,-1081.848144531,-955.963134766,-1457.214355469,-2309.417724609,-1728.057861328,-3672.790527344,-4474.639892578,-4858.398437500,-4957.580566406,-5018.615722656,-5212.402343750
,28.991699219,36.621093750,-370.025634766,-1056.671142578,-933.074951172,-1411.437988281,-2230.072021484,-1683.807373047,-3614.807128906,-4434.967041016,-4849.243164063,-4962.921142578,-5014.801025391,-5195.617675781
,28.991699219,36.621093750,-362.396240234,-1025.390625000,-904.846191406,-1361.846923828,-2149.200439453,-1635.742187500,-3540.039062500,-4376.220703125,-4817.962646484,-4945.373535156,-4982.757568359,-5149.841308594
,28.228759766,35.858154297,-350.189208984,-990.295410156,-872.039794922,-1308.441162109,-2067.565917969,-1584.625244141,-3453.063964844,-4298.400878906,-4762.268066406,-4898.071289063,-4923.248291016,-5075.836181641
,27.465820313,33.569335938,-333.404541016,-949.859619141,-833.129882813,-1251.983642578,-1984.405517578,-1529.693603516,-3351.593017578,-4202.270507813,-4682.922363281,-4824.066162109,-4838.562011719,-4978.942871094
,25.939941406,31.280517578,-312.805175781,-906.372070313,-790.405273438,-1191.711425781,-1898.956298828,-1470.184326172,-3243.255615234,-4091.644287109,-4580.688476563,-4725.646972656,-4734.039306641,-4862.976074219
,25.177001953,28.991699219,-289.154052734,-860.595703125,-743.865966797,-1129.913330078,-1810.455322266,-1405.334472656,-3129.577636719,-3970.336914063,-4460.144042969,-4606.628417969,-4615.783691406,-4733.276367188
,24.414062500,26.702880859,-263.977050781,-811.767578125,-696.563720703,-1067.352294922,-1720.428466797,-1335.144042969,-3012.847900391,-3840.637207031,-4328.918457031,-4476.165771484,-4486.083984375,-4592.895507813
,23.651123047,24.414062500,-238.037109375,-762.176513672,-650.787353516,-1004.791259766,-1628.875732422,-1262.664794922,-2894.592285156,-3704.833984375,-4189.300537109,-4336.547851563,-4348.754882813,-4444.885253906
,23.651123047,23.651123047,-211.334228516,-710.296630859,-605.773925781,-941.467285156,-1535.797119141,-1189.422607422,-2770.233154297,-3561.401367188,-4045.104980469,-4192.352294922,-4203.033447266,-4289.245605469
,22.888183594,22.888183594,-183.868408203,-659.179687500,-561.523437500,-878.906250000,-1441.192626953,-1111.602783203,-2642.059326172,-3410.339355469,-3893.280029297,-4044.342041016,-4048.919677734,-4126.739501953
,22.888183594,22.125244141,-155.639648438,-608.062744141,-513.458251953,-813.293457031,-1344.299316406,-1033.020019531,-2510.070800781,-3254.699707031,-3733.062744141,-3889.465332031,-3888.702392578,-3959.655761719
,23.651123047,22.888183594,-127.410888672,-555.419921875,-461.578369141,-744.628906250,-1245.880126953,-949.096679688,-2375.030517578,-3095.245361328,-3569.030761719,-3732.299804688,-3723.907470703,-3791.046142578
,24.414062500,22.125244141,-99.945068359,-502.014160156,-408.172607422,-676.727294922,-1151.275634766,-865.173339844,-2244.567871094,-2937.316894531,-3402.709960938,-3572.845458984,-3559.112548828,-3627.014160156
,24.414062500,21.362304688,-72.479248047,-447.082519531,-351.715087891,-609.588623047,-1061.248779297,-783.538818359,-2120.208740234,-2785.491943359,-3240.203857422,-3417.968750000,-3399.658203125,-3468.322753906
,25.177001953,20.599365234,-48.065185547,-393.676757813,-299.072265625,-547.790527344,-978.088378906,-705.718994141,-2004.241943359,-2642.822265625,-3086.090087891,-3269.195556641,-3245.544433594,-3317.260742188
,25.177001953,19.073486328,-25.939941406,-344.848632813,-250.244140625,-492.858886719,-904.083251953,-637.817382813,-1895.904541016,-2508.544921875,-2938.842773438,-3127.288818359,-3098.297119141,-3172.302246094
,25.177001953,18.310546875,-6.866455078,-300.598144531,-203.704833984,-442.504882813,-835.418701172,-577.545166016,-1793.670654297,-2383.422851563,-2799.224853516,-2992.248535156,-2958.679199219,-3031.158447266
,25.939941406,18.310546875,8.392333984,-260.925292969,-160.980224609,-398.254394531,-773.620605469,-526.428222656,-1699.066162109,-2265.930175781,-2668.762207031,-2860.260009766,-2824.401855469,-2896.118164063
,26.702880859,18.310546875,24.414062500,-225.830078125,-122.070312500,-359.344482422,-718.688964844,-484.466552734,-1612.854003906,-2156.066894531,-2544.403076172,-2734.375000000,-2697.753906250,-2767.944335938
,27.465820313,18.310546875,40.435791016,-191.497802734,-87.738037109,-325.775146484,-670.623779297,-450.134277344,-1535.797119141,-2056.884765625,-2427.673339844,-2615.356445313,-2579.498291016,-2647.399902344
,27.465820313,17.547607422,54.931640625,-160.217285156,-59.509277344,-297.546386719,-629.425048828,-421.142578125,-1467.895507813,-1966.094970703,-2317.810058594,-2502.441406250,-2469.635009766,-2534.484863281
,27.465820313,17.547607422,68.664550781,-131.225585938,-37.384033203,-273.132324219,-595.092773438,-397.491455078,-1406.097412109,-1881.408691406,-2210.235595703,-2395.629882813,-2367.401123047,-2429.199218750
,26.702880859,17.547607422,79.345703125,-106.811523438,-21.362304688,-251.770019531,-566.864013672,-378.417968750,-1348.114013672,-1802.062988281,-2106.475830078,-2293.395996094,-2271.270751953,-2330.780029297
,25.939941406,17.547607422,86.975097656,-87.738037109,-9.155273438,-232.696533203,-542.449951172,-362.396240234,-1294.708251953,-1726.531982422,-2005.767822266,-2194.976806641,-2181.243896484,-2238.464355469
,27.465820313,18.310546875,91.552734375,-74.768066406,0.000000000,-216.674804688,-521.087646484,-349.426269531,-1245.880126953,-1654.815673828,-1911.926269531,-2102.661132813,-2094.268798828,-2153.015136719
,28.228759766,19.073486328,93.841552734,-65.612792969,4.577636719,-204.467773438,-502.777099609,-339.508056641,-1200.866699219,-1586.914062500,-1824.188232422,-2016.448974609,-2008.819580078,-2074.432373047
,28.991699219,20.599365234,94.604492188,-61.035156250,8.392333984,-194.549560547,-485.229492188,-331.115722656,-1158.905029297,-1524.353027344,-1741.027832031,-1937.103271484,-1924.896240234,-1998.901367188
,30.517578125,23.651123047,94.604492188,-58.746337891,9.918212891,-188.446044922,-469.970703125,-321.960449219,-1116.943359375,-1464.843750000,-1658.630371094,-1863.861083984,-1843.261718750,-1929.473876953
,31.280517578,25.939941406,93.841552734,-57.983398438,8.392333984,-183.105468750,-457.000732422,-312.805175781,-1074.981689453,-1409.149169922,-1577.758789063,-1793.670654297,-1766.204833984,-1863.098144531
,32.043457031,26.702880859,94.604492188,-57.220458984,6.866455078,-178.527832031,-446.319580078,-305.175781250,-1033.020019531,-1358.032226563,-1499.176025391,-1727.294921875,-1694.488525391,-1799.011230469
,32.806396484,25.939941406,94.604492188,-56.457519531,2.288818359,-175.476074219,-437.164306641,-298.309326172,-991.821289063,-1311.492919922,-1428.222656250,-1667.785644531,-1627.349853516,-1740.264892578
,33.569335938,23.651123047,93.841552734,-57.220458984,-0.762939453,-173.950195313,-431.060791016,-293.731689453,-954.437255859,-1270.294189453,-1364.135742188,-1612.854003906,-1564.025878906,-1685.333251953
,34.332275391,22.125244141,92.315673828,-58.746337891,-3.814697266,-173.187255859,-424.957275391,-292.968750000,-921.630859375,-1232.910156250,-1307.678222656,-1564.788818359,-1502.227783203,-1632.690429688
,34.332275391,22.125244141,90.026855469,-61.035156250,-8.392333984,-172.424316406,-420.379638672,-292.205810547,-891.876220703,-1198.577880859,-1255.798339844,-1519.775390625,-1443.481445313,-1583.099365234
,33.569335938,22.125244141,87.738037109,-64.086914063,-12.969970703,-170.135498047,-415.039062500,-292.968750000,-865.173339844,-1168.823242188,-1209.259033203,-1476.287841797,-1390.075683594,-1535.797119141
,32.806396484,22.888183594,85.449218750,-66.375732422,-19.073486328,-167.846679688,-409.698486328,-293.731689453,-839.996337891,-1143.646240234,-1170.349121094,-1434.326171875,-1341.247558594,-1492.309570313
,31.280517578,21.362304688,83.160400391,-70.190429688,-25.939941406,-164.794921875,-403.594970703,-293.731689453,-816.345214844,-1122.283935547,-1140.594482422,-1394.653320313,-1298.522949219,-1454.162597656
,31.280517578,19.836425781,79.345703125,-75.531005859,-33.569335938,-162.506103516,-396.728515625,-295.257568359,-794.219970703,-1106.262207031,-1123.809814453,-1358.795166016,-1261.138916016,-1419.830322266
,31.280517578,18.310546875,76.293945313,-81.634521484,-41.198730469,-160.980224609,-389.862060547,-296.783447266,-772.094726563,-1091.766357422,-1114.654541016,-1326.751708984,-1230.621337891,-1387.786865234
,32.043457031,16.784667969,72.479248047,-89.263916016,-48.065185547,-159.454345703,-383.758544922,-297.546386719,-752.258300781,-1080.322265625,-1113.128662109,-1297.760009766,-1209.259033203,-1357.269287109
,32.806396484,16.784667969,67.901611328,-95.367431641,-54.931640625,-157.928466797,-376.129150391,-298.309326172,-733.184814453,-1071.166992188,-1114.654541016,-1274.871826172,-1197.052001953,-1327.514648438
,33.569335938,16.021728516,64.086914063,-99.945068359,-61.035156250,-158.691406250,-369.262695313,-297.546386719,-713.348388672,-1063.537597656,-1116.180419922,-1256.561279297,-1192.474365234,-1301.574707031
,35.095214844,16.021728516,59.509277344,-104.522705078,-66.375732422,-160.980224609,-361.633300781,-296.783447266,-692.749023438,-1056.671142578,-1114.654541016,-1241.302490234,-1191.711425781,-1281.738281250
,36.621093750,17.547607422,56.457519531,-107.574462891,-71.716308594,-167.083740234,-353.240966797,-294.494628906,-672.149658203,-1049.804687500,-1108.551025391,-1229.095458984,-1187.896728516,-1265.716552734
,36.621093750,19.073486328,51.879882813,-112.152099609,-77.056884766,-175.476074219,-347.137451172,-290.679931641,-650.024414063,-1038.360595703,-1098.632812500,-1213.836669922,-1177.978515625,-1250.457763672
,36.621093750,21.362304688,48.065185547,-113.677978516,-81.634521484,-185.394287109,-341.033935547,-287.628173828,-629.425048828,-1020.812988281,-1084.899902344,-1193.237304688,-1160.430908203,-1230.621337891
,35.858154297,23.651123047,44.250488281,-114.440917969,-86.212158203,-196.075439453,-335.693359375,-283.813476563,-610.351562500,-994.873046875,-1065.063476563,-1165.008544922,-1134.490966797,-1203.155517578
,34.332275391,25.177001953,40.435791016,-113.677978516,-90.026855469,-209.045410156,-330.352783203,-277.709960938,-592.803955078,-959.777832031,-1042.175292969,-1128.387451172,-1105.499267578,-1168.060302734
,32.806396484,25.939941406,38.146972656,-111.389160156,-92.315673828,-225.830078125,-323.486328125,-272.369384766,-577.545166016,-918.579101563,-1013.946533203,-1087.188720703,-1072.692871094,-1126.098632813
,32.806396484,25.177001953,37.384033203,-109.863281250,-93.078613281,-243.377685547,-314.331054688,-264.739990234,-564.575195313,-874.328613281,-981.140136719,-1039.886474609,-1038.360595703,-1080.322265625
,33.569335938,25.177001953,36.621093750,-109.100341797,-93.078613281,-260.925292969,-302.124023438,-257.110595703,-553.894042969,-829.315185547,-945.281982422,-991.058349609,-1007.080078125,-1029.968261719
,34.332275391,25.939941406,35.858154297,-107.574462891,-90.789794922,-273.132324219,-287.628173828,-250.244140625,-544.738769531,-786.590576172,-904.083251953,-945.281982422,-975.799560547,-978.088378906
,35.095214844,25.177001953,34.332275391,-106.811523438,-87.738037109,-277.709960938,-270.843505859,-242.614746094,-540.161132813,-746.917724609,-860.595703125,-898.742675781,-945.281982422,-925.445556641
,35.858154297,26.702880859,33.569335938,-104.522705078,-84.686279297,-272.369384766,-253.295898438,-234.222412109,-538.635253906,-710.296630859,-817.108154297,-857.543945313,-917.816162109,-873.565673828
,35.858154297,28.228759766,32.806396484,-102.233886719,-80.108642578,-258.636474609,-237.274169922,-226.593017578,-537.109375000,-675.964355469,-776.672363281,-817.871093750,-887.298583984,-826.263427734
,35.858154297,28.228759766,32.806396484,-98.419189453,-77.056884766,-238.800048828,-222.778320313,-217.437744141,-536.346435547,-643.920898438,-741.577148438,-778.961181641,-858.306884766,-785.064697266
,36.621093750,29.754638672,32.806396484,-94.604492188,-74.768066406,-215.911865234,-209.808349609,-210.571289063,-530.242919922,-614.166259766,-711.822509766,-743.865966797,-827.789306641,-749.206542969
,38.146972656,29.754638672,32.043457031,-90.026855469,-72.479248047,-193.786621094,-197.601318359,-202.178955078,-517.272949219,-582.885742188,-685.119628906,-711.059570313,-796.508789063,-717.926025391
,39.672851563,28.991699219,32.043457031,-85.449218750,-69.427490234,-173.950195313,-184.631347656,-194.549560547,-498.962402344,-553.894042969,-661.468505859,-681.304931641,-767.517089844,-687.408447266
,39.672851563,30.517578125,31.280517578,-81.634521484,-66.375732422,-155.639648438,-171.661376953,-186.920166016,-473.022460938,-526.428222656,-641.632080078,-653.076171875,-740.814208984,-657.653808594
,40.435791016,29.754638672,29.754638672,-79.345703125,-61.798095703,-141.143798828,-158.691406250,-178.527832031,-443.267822266,-501.251220703,-624.084472656,-628.662109375,-717.926025391,-630.187988281
,39.672851563,28.991699219,28.991699219,-76.293945313,-57.220458984,-128.936767578,-146.484375000,-170.135498047,-410.461425781,-478.363037109,-609.588623047,-606.536865234,-697.326660156,-603.485107422
,38.909912109,28.991699219,27.465820313,-73.242187500,-53.405761719,-119.781494141,-136.566162109,-161.743164063,-376.892089844,-455.474853516,-595.092773438,-586.700439453,-678.253173828,-579.071044922
,38.909912109,28.228759766,25.939941406,-70.190429688,-50.354003906,-113.677978516,-128.173828125,-151.824951172,-346.374511719,-434.112548828,-581.359863281,-568.389892578,-659.179687500,-556.945800781
,38.909912109,26.702880859,26.702880859,-65.612792969,-47.302246094,-109.863281250,-120.544433594,-142.669677734,-318.145751953,-411.987304688,-568.389892578,-549.316406250,-637.817382813,-537.109375000
,38.909912109,25.939941406,27.465820313,-61.798095703,-43.487548828,-108.337402344,-112.915039063,-133.514404297,-294.494628906,-390.625000000,-553.894042969,-527.191162109,-614.929199219,-518.798828125
,38.909912109,24.414062500,28.991699219,-58.746337891,-39.672851563,-106.811523438,-106.048583984,-127.410888672,-273.895263672,-371.551513672,-537.872314453,-501.251220703,-592.041015625,-503.540039063
,37.384033203,22.888183594,31.280517578,-54.168701172,-35.095214844,-106.048583984,-98.419189453,-122.070312500,-254.058837891,-354.003906250,-519.561767578,-475.311279297,-567.626953125,-490.570068359
,35.095214844,22.125244141,32.043457031,-50.354003906,-30.517578125,-102.233886719,-90.789794922,-118.255615234,-237.274169922,-340.270996094,-498.199462891,-447.845458984,-544.738769531,-476.837158203
,34.332275391,21.362304688,33.569335938,-46.539306641,-26.702880859,-95.367431641,-83.923339844,-114.440917969,-220.489501953,-328.826904297,-475.311279297,-422.668457031,-523.376464844,-460.815429688
,33.569335938,20.599365234,34.332275391,-41.961669922,-24.414062500,-86.975097656,-77.056884766,-109.863281250,-205.993652344,-317.382812500,-453.186035156,-401.306152344,-498.962402344,-441.741943359
,32.806396484,20.599365234,34.332275391,-38.146972656,-22.125244141,-76.293945313,-70.190429688,-102.996826172,-193.786621094,-305.175781250,-431.823730469,-379.180908203,-476.837158203,-418.853759766
,32.806396484,22.125244141,33.569335938,-34.332275391,-20.599365234,-65.612792969,-63.323974609,-96.130371094,-182.342529297,-292.205810547,-411.987304688,-360.107421875,-453.948974609,-395.202636719
,32.043457031,23.651123047,30.517578125,-29.754638672,-19.836425781,-54.168701172,-56.457519531,-88.500976563,-170.898437500,-275.421142578,-391.387939453,-341.033935547,-431.823730469,-371.551513672
,31.280517578,25.177001953,28.228759766,-26.702880859,-16.021728516,-44.250488281,-49.591064453,-80.108642578,-160.980224609,-258.636474609,-370.025634766,-320.434570313,-411.987304688,-347.137451172
,31.280517578,28.991699219,25.939941406,-23.651123047,-13.732910156,-34.332275391,-41.961669922,-74.005126953,-151.062011719,-240.325927734,-346.374511719,-300.598144531,-392.150878906,-323.486328125
,31.280517578,31.280517578,23.651123047,-22.125244141,-10.681152344,-25.177001953,-34.332275391,-67.138671875,-143.432617188,-221.252441406,-321.960449219,-279.235839844,-373.077392578,-299.835205078
,32.043457031,32.806396484,23.651123047,-21.362304688,-6.103515625,-18.310546875,-27.465820313,-62.561035156,-135.040283203,-203.704833984,-297.546386719,-258.636474609,-354.003906250,-275.421142578
,32.043457031,34.332275391,23.651123047,-19.836425781,-2.288818359,-12.969970703,-22.125244141,-57.983398438,-125.885009766,-186.920166016,-273.132324219,-238.037109375,-334.167480469,-252.532958984
,30.517578125,34.332275391,23.651123047,-20.599365234,1.525878906,-9.918212891,-16.021728516,-53.405761719,-114.440917969,-173.187255859,-249.481201172,-217.437744141,-313.568115234,-229.644775391
,28.991699219,35.095214844,23.651123047,-19.073486328,4.577636719,-7.629394531,-10.681152344,-50.354003906,-100.708007813,-159.454345703,-228.118896484,-199.127197266,-290.679931641,-207.519531250
,28.228759766,36.621093750,22.888183594,-19.073486328,6.103515625,-6.103515625,-6.866455078,-46.539306641,-87.738037109,-146.484375000,-204.467773438,-180.816650391,-269.317626953,-187.683105469
,27.465820313,38.146972656,22.125244141,-19.073486328,6.866455078,-5.340576172,-1.525878906,-43.487548828,-77.056884766,-134.277343750,-183.105468750,-164.794921875,-249.481201172,-168.609619141
,26.702880859,39.672851563,22.125244141,-16.784667969,6.866455078,-3.051757813,2.288818359,-38.909912109,-68.664550781,-119.781494141,-162.506103516,-151.824951172,-229.644775391,-150.299072266
,25.177001953,40.435791016,22.125244141,-15.258789063,7.629394531,-1.525878906,6.866455078,-34.332275391,-61.035156250,-106.048583984,-141.906738281,-138.854980469,-210.571289063,-134.277343750
,24.414062500,41.198730469,22.125244141,-13.732910156,8.392333984,0.000000000,12.969970703,-30.517578125,-54.168701172,-93.078613281,-125.122070313,-126.647949219,-191.497802734,-119.781494141
,22.125244141,40.435791016,20.599365234,-10.681152344,8.392333984,1.525878906,16.784667969,-25.177001953,-45.013427734,-80.108642578,-110.626220703,-113.677978516,-171.661376953,-106.811523438
,20.599365234,39.672851563,18.310546875,-9.155273438,8.392333984,3.814697266,22.125244141,-22.888183594,-35.858154297,-67.138671875,-98.419189453,-99.945068359,-152.587890625,-94.604492188
,20.599365234,39.672851563,16.021728516,-6.866455078,7.629394531,7.629394531,25.939941406,-19.836425781,-25.939941406,-54.168701172,-89.263916016,-86.975097656,-134.277343750,-80.871582031
,20.599365234,38.909912109,12.207031250,-5.340576172,6.866455078,10.681152344,28.228759766,-16.784667969,-16.021728516,-39.672851563,-78.582763672,-74.768066406,-115.966796875,-70.190429688
,20.599365234,38.146972656,10.681152344,-3.051757813,7.629394531,15.258789063,30.517578125,-14.495849609,-6.866455078,-26.702880859,-70.190429688,-63.323974609,-99.182128906,-57.983398438
,20.599365234,38.146972656,9.155273438,-2.288818359,7.629394531,16.784667969,34.332275391,-11.444091797,0.762939453,-16.784667969,-61.798095703,-54.168701172,-83.923339844,-47.302246094
,19.836425781,37.384033203,7.629394531,-0.762939453,8.392333984,19.073486328,38.146972656,-8.392333984,7.629394531,-8.392333984,-52.642822266,-43.487548828,-70.190429688,-37.384033203
,19.073486328,38.146972656,7.629394531,0.762939453,9.918212891,20.599365234,44.250488281,-5.340576172,12.969970703,-3.051757813,-45.776367188,-32.806396484,-56.457519531,-25.939941406
,19.073486328,39.672851563,6.103515625,2.288818359,10.681152344,22.125244141,50.354003906,-3.051757813,18.310546875,0.762939453,-37.384033203,-22.125244141,-44.250488281,-16.784667969
,18.310546875,41.198730469,4.577636719,4.577636719,11.444091797,24.414062500,55.694580078,0.000000000,22.125244141,4.577636719,-29.754638672,-11.444091797,-32.043457031,-7.629394531
,17.547607422,41.961669922,4.577636719,6.103515625,11.444091797,26.702880859,59.509277344,3.051757813,27.465820313,9.918212891,-23.651123047,-2.288818359,-18.310546875,1.525878906
,16.784667969,40.435791016,3.051757813,7.629394531,11.444091797,27.465820313,61.798095703,7.629394531,34.332275391,16.784667969,-15.258789063,6.866455078,-5.340576172,11.444091797
,15.258789063,38.146972656,2.288818359,8.392333984,12.207031250,28.991699219,63.323974609,12.969970703,39.672851563,24.414062500,-6.866455078,16.784667969,8.392333984,22.125244141
,14.495849609,34.332275391,2.288818359,9.918212891,12.969970703,30.517578125,65.612792969,17.547607422,45.776367188,34.332275391,1.525878906,25.177001953,22.888183594,32.806396484
,13.732910156,32.043457031,1.525878906,11.444091797,12.207031250,32.806396484,68.664550781,22.888183594,50.354003906,44.250488281,12.969970703,35.095214844,37.384033203,42.724609375
,13.732910156,30.517578125,1.525878906,12.969970703,11.444091797,35.095214844,72.479248047,26.702880859,54.931640625,52.642822266,23.651123047,43.487548828,50.354003906,53.405761719
,14.495849609,30.517578125,0.762939453,15.258789063,10.681152344,36.621093750,74.768066406,29.754638672,60.272216797,62.561035156,32.806396484,49.591064453,62.561035156,61.798095703
,14.495849609,30.517578125,0.762939453,16.784667969,8.392333984,38.909912109,77.056884766,32.806396484,65.612792969,70.953369141,41.198730469,56.457519531,71.716308594,71.716308594
,15.258789063,29.754638672,1.525878906,19.073486328,6.866455078,40.435791016,79.345703125,34.332275391,70.190429688,77.819824219,48.065185547,62.561035156,79.345703125,80.871582031
,15.258789063,28.991699219,0.762939453,19.836425781,4.577636719,41.198730469,79.345703125,36.621093750,73.242187500,86.212158203,53.405761719,70.190429688,86.975097656,88.500976563
,16.021728516,28.228759766,1.525878906,21.362304688,3.814697266,42.724609375,82.397460938,38.909912109,77.056884766,93.078613281,59.509277344,79.345703125,94.604492188,96.893310547
,17.547607422,28.228759766,1.525878906,23.651123047,3.051757813,41.961669922,83.923339844,41.961669922,81.634521484,100.708007813,65.612792969,88.500976563,102.996826172,106.048583984
,19.836425781,28.228759766,0.762939453,25.177001953,1.525878906,41.961669922,86.975097656,47.302246094,85.449218750,108.337402344,73.242187500,97.656250000,112.152099609,114.440917969
,22.125244141,28.228759766,3.051757813,27.465820313,0.762939453,43.487548828,92.315673828,52.642822266,90.789794922,114.440917969,82.397460938,106.811523438,122.070312500,125.885009766
