Trace Data (킮),-4332.733154297,-8715.820312500,-2402.496337891,-2574.157714844,-1434.326171875,-2883.911132813,-1673.126220703,-1111.602783203,-2790.069580078,-1602.935791016,-3790.283203125,-1930.236816406,-1872.253417969,-1145.172119141,-1654.815673828,-3756.713867188,-1448.059082031,-1394.653320313
,-7772.827148438,-10045.623779297,-4329.681396484,-4130.554199219,-2613.067626953,-3613.281250000,-2391.052246094,-2020.263671875,-3368.377685547,-2708.435058594,-4273.223876953,-3015.136718750,-2999.114990234,-2114.868164063,-2742.004394531,-4354.858398438,-2617.645263672,-2521.514892578
,-11302.947998047,-10997.772216797,-6290.435791016,-5372.619628906,-3798.675537109,-4109.191894531,-2914.428710938,-2935.791015625,-3755.187988281,-3617.858886719,-4589.843750000,-3844.451904297,-3882.598876953,-3217.315673828,-3612.518310547,-4739.379882813,-3832.244873047,-3701.019287109
,-13781.738281250,-11167.144775391,-7646.942138672,-6179.809570313,-4608.154296875,-4279.327392578,-3228.759765625,-3553.771972656,-3791.809082031,-4207.611083984,-4451.751708984,-4355.621337891,-4434.204101563,-3971.099853516,-4157.257080078,-4685.974121094,-4650.115966797,-4479.980468750
,-15118.408203125,-9946.441650391,-8180.999755859,-6089.782714844,-4993.438720703,-3615.570068359,-2893.829345703,-3810.882568359,-3121.185302734,-4072.570800781,-3673.553466797,-4057.312011719,-4218.292236328,-4342.651367188,-3973.388671875,-3882.598876953,-5039.215087891,-4753.112792969
,-14218.902587891,-7559.204101563,-7273.864746094,-5001.831054688,-4460.144042969,-2420.806884766,-2115.631103516,-3292.083740234,-1995.086669922,-3261.566162109,-2416.229248047,-3041.839599609,-3241.729736328,-3717.803955078,-3135.681152344,-2556.610107422,-4478.454589844,-3997.039794922
,8861.541748047,8821.868896484,8268.737792969,7482.910156250,4473.114013672,2602.386474609,229.644775391,1432.037353516,1701.354980469,3194.427490234,4187.774658203,1808.166503906,4931.640625000,4058.837890625,1743.316650391,2198.791503906,3299.713134766,2917.480468750
,8979.034423828,8936.309814453,8378.601074219,7587.432861328,4538.726806641,2626.800537109,228.118896484,1438.903808594,1712.799072266,3223.419189453,4221.343994141,1820.373535156,4989.624023438,4100.036621094,1750.946044922,2223.205566406,3339.385986328,2956.390380859
,9095.001220703,9051.513671875,8483.123779297,7685.852050781,4594.421386719,2645.874023438,226.593017578,1443.481445313,1721.191406250,3247.070312500,4249.572753906,1827.239990234,5041.503906250,4133.605957031,1754.760742188,2244.567871094,3373.718261719,2987.670898438
,9210.205078125,9165.954589844,8583.831787109,7776.641845703,4643.249511719,2661.132812500,224.304199219,1445.007324219,1727.294921875,3267.669677734,4276.275634766,1831.054687500,5089.569091797,4164.123535156,1754.760742188,2264.404296875,3402.709960938,3012.847900391
,9325.408935547,9280.395507813,8685.302734375,7863.616943359,4693.603515625,2674.865722656,222.778320313,1444.244384766,1731.109619141,3287.506103516,4301.452636719,1832.580566406,5135.345458984,4196.166992188,1753.997802734,2281.951904297,3428.649902344,3034.210205078
,9440.612792969,9394.836425781,8787.536621094,7946.777343750,4742.431640625,2685.546875000,221.252441406,1443.481445313,1731.872558594,3308.868408203,4324.340820313,1834.106445313,5178.070068359,4228.973388672,1753.234863281,2298.736572266,3452.301025391,3053.283691406
,9555.053710938,9510.040283203,8890.533447266,8030.700683594,4790.496826172,2696.228027344,219.726562500,1441.955566406,1732.635498047,3332.519531250,4347.991943359,1835.632324219,5217.742919922,4260.253906250,1753.234863281,2315.521240234,3472.900390625,3070.831298828
,9667.968750000,9625.244140625,8994.293212891,8115.386962891,4837.036132813,2707.672119141,218.963623047,1440.429687500,1733.398437500,3356.933593750,4372.406005859,1839.447021484,5257.415771484,4288.482666016,1752.471923828,2331.542968750,3492.736816406,3090.667724609
,9780.883789063,9741.210937500,9098.052978516,8200.836181641,4882.049560547,2721.405029297,218.200683594,1440.429687500,1734.161376953,3379.821777344,4396.820068359,1844.024658203,5296.325683594,4314.422607422,1751.708984375,2348.327636719,3514.862060547,3109.741210938
,9894.561767578,9857.940673828,9201.812744141,8285.522460938,4927.062988281,2736.663818359,217.437744141,1440.429687500,1735.687255859,3403.472900391,4421.234130859,1848.602294922,5334.472656250,4338.836669922,1749.420166016,2364.349365234,3536.224365234,3129.577636719
,10009.002685547,9979.248046875,9306.335449219,8367.156982422,4973.602294922,2753.448486328,217.437744141,1440.429687500,1739.501953125,3426.361083984,4445.648193359,1852.416992188,5371.856689453,4360.961914063,1747.131347656,2379.608154297,3559.112548828,3150.177001953
,10127.258300781,10107.421875000,9412.384033203,8448.028564453,5021.667480469,2770.233154297,216.674804688,1441.192626953,1744.842529297,3452.301025391,4467.773437500,1856.994628906,5406.951904297,4384.613037109,1745.605468750,2395.629882813,3582.763671875,3170.013427734
,10250.854492188,10242.462158203,9519.958496094,8530.426025391,5068.206787109,2786.254882813,215.911865234,1441.192626953,1750.183105469,3479.766845703,4487.609863281,1860.046386719,5440.521240234,4406.738281250,1743.316650391,2410.125732422,3607.940673828,3190.612792969
,10379.791259766,10386.657714844,9633.636474609,8617.401123047,5112.457275391,2803.039550781,215.148925781,1441.955566406,1757.049560547,3507.232666016,4506.683349609,1863.861083984,5474.090576172,4427.337646484,1742.553710938,2425.384521484,3633.117675781,3212.738037109
,10515.594482422,10539.245605469,9753.417968750,8712.768554688,5155.181884766,2818.298339844,214.385986328,1443.481445313,1762.390136719,3533.172607422,4525.756835938,1867.675781250,5509.185791016,4447.937011719,1741.790771484,2439.880371094,3662.109375000,3235.626220703
,10658.264160156,10700.225830078,9880.065917969,8815.765380859,5199.432373047,2833.557128906,213.623046875,1444.244384766,1765.441894531,3556.060791016,4547.119140625,1870.727539063,5545.806884766,4467.773437500,1740.264892578,2455.139160156,3691.101074219,3260.040283203
,10807.037353516,10868.072509766,10015.106201172,8924.102783203,5248.260498047,2848.815917969,212.097167969,1445.007324219,1768.493652344,3578.186035156,4570.007324219,1871.490478516,5583.953857422,4488.372802734,1738.739013672,2471.160888672,3722.381591797,3285.980224609
,10963.439941406,11045.074462891,10157.012939453,9039.306640625,5303.192138672,2863.311767578,211.334228516,1445.007324219,1770.782470703,3600.311279297,4592.895507813,1872.253417969,5621.337890625,4511.260986328,1738.739013672,2488.708496094,3755.950927734,3311.920166016
,11127.471923828,11230.468750000,10306.549072266,9158.325195313,5362.701416016,2877.044677734,210.571289063,1445.007324219,1773.834228516,3625.488281250,4618.072509766,1874.542236328,5658.721923828,4534.912109375,1740.264892578,2507.781982422,3789.520263672,3338.623046875
,11300.659179688,11422.729492188,10462.188720703,9281.158447266,5425.262451172,2891.540527344,209.045410156,1445.770263672,1779.174804688,3652.191162109,4641.723632813,1879.119873047,5693.817138672,4560.089111328,1743.316650391,2526.855468750,3823.089599609,3364.562988281
,11480.712890625,11622.619628906,10625.457763672,9412.384033203,5488.586425781,2905.273437500,209.808349609,1447.296142578,1785.278320313,3677.368164063,4663.848876953,1885.223388672,5728.149414063,4582.214355469,1746.368408203,2545.928955078,3855.133056641,3388.214111328
,11669.158935547,11826.324462891,10796.356201172,9546.661376953,5549.621582031,2917.480468750,209.045410156,1450.347900391,1791.381835938,3700.256347656,4682.922363281,1892.089843750,5760.192871094,4600.524902344,1747.894287109,2563.476562500,3885.650634766,3411.102294922
,11862.182617188,12031.555175781,10973.358154297,9685.516357422,5609.130859375,2929.687500000,207.519531250,1453.399658203,1795.959472656,3719.329833984,4697.418212891,1898.956298828,5787.658691406,4615.020751953,1749.420166016,2579.498291016,3912.353515625,3431.701660156
,12056.732177734,12236.785888672,11156.463623047,9825.897216797,5667.114257813,2938.079833984,206.756591797,1456.451416016,1799.774169922,3733.825683594,4708.099365234,1903.533935547,5809.783935547,4624.176025391,1749.420166016,2593.231201172,3937.530517578,3450.775146484
,12254.333496094,12442.779541016,11341.094970703,9963.989257813,5722.808837891,2946.472167969,204.467773438,1459.503173828,1802.825927734,3743.743896484,4714.202880859,1908.111572266,5824.279785156,4629.516601563,1749.420166016,2605.438232422,3961.944580078,3469.085693359
,12452.697753906,12650.299072266,11525.726318359,10098.266601563,5776.977539063,2952.575683594,202.941894531,1461.029052734,1804.351806641,3749.084472656,4716.491699219,1912.689208984,5834.197998047,4628.753662109,1748.657226563,2616.119384766,3982.543945313,3485.870361328
,12651.824951172,12856.292724609,11708.831787109,10230.255126953,5828.094482422,2954.864501953,202.941894531,1461.029052734,1805.114746094,3750.610351563,4715.728759766,1916.503906250,5842.590332031,4624.938964844,1747.131347656,2626.800537109,4002.380371094,3501.892089844
,12852.478027344,13054.656982422,11890.411376953,10356.903076172,5876.159667969,2956.390380859,203.704833984,1461.029052734,1803.588867188,3749.847412109,4712.677001953,1921.081542969,5850.982666016,4617.309570313,1744.842529297,2635.192871094,4019.165039063,3514.099121094
,13047.790527344,13237.762451172,12068.939208984,10480.499267578,5921.936035156,2954.864501953,203.704833984,1458.740234375,1800.537109375,3746.032714844,4706.573486328,1924.133300781,5860.137939453,4608.154296875,1740.264892578,2640.533447266,4032.897949219,3524.017333984
,13231.658935547,13398.742675781,12240.600585938,10597.229003906,5966.949462891,2949.523925781,203.704833984,1453.399658203,1794.433593750,3741.455078125,4696.655273438,1924.896240234,5867.767333984,4597.473144531,1732.635498047,2642.059326172,4043.579101563,3531.646728516
,13397.979736328,13534.545898438,12397.766113281,10700.988769531,6011.199951172,2942.657470703,202.178955078,1445.770263672,1786.804199219,3735.351562500,4682.922363281,1924.133300781,5870.819091797,4585.266113281,1723.480224609,2639.007568359,4049.682617188,3536.224365234
,13539.886474609,13642.883300781,12536.621093750,10789.489746094,6052.398681641,2932.739257813,199.890136719,1435.852050781,1775.360107422,3726.959228516,4664.611816406,1918.029785156,5868.530273438,4569.244384766,1710.510253906,2632.904052734,4051.208496094,3538.513183594
,13654.327392578,13723.754882813,12652.587890625,10856.628417969,6089.782714844,2919.769287109,199.127197266,1425.170898438,1759.338378906,3714.752197266,4641.723632813,1909.637451172,5857.849121094,4546.356201172,1695.251464844,2624.511718750,4047.393798828,3538.513183594
,13740.539550781,13774.871826172,12744.140625000,10902.404785156,6120.300292969,2902.984619141,196.838378906,1415.252685547,1740.264892578,3699.493408203,4614.257812500,1898.193359375,5840.301513672,4518.890380859,1676.177978516,2613.830566406,4039.001464844,3532.409667969
,13794.708251953,13796.234130859,12811.279296875,10926.055908203,6140.136718750,2883.911132813,194.549560547,1402.282714844,1718.902587891,3678.131103516,4582.214355469,1882.171630859,5815.887451172,4486.083984375,1654.815673828,2599.334716797,4026.031494141,3520.202636719
,13818.359375000,13787.841796875,12851.715087891,10926.055908203,6148.529052734,2860.260009766,190.734863281,1387.023925781,1693.725585938,3651.428222656,4546.356201172,1861.572265625,5783.081054688,4450.988769531,1628.875732422,2581.024169922,4006.958007813,3500.366210938
,13813.781738281,13751.220703125,12867.736816406,10905.456542969,6145.477294922,2832.031250000,186.157226563,1367.950439453,1670.837402344,3620.910644531,4507.446289063,1835.632324219,5742.645263672,4412.841796875,1602.935791016,2558.135986328,3983.306884766,3473.663330078
,13783.264160156,13688.659667969,12856.292724609,10866.546630859,6130.218505859,2801.513671875,182.342529297,1348.114013672,1646.423339844,3584.289550781,4467.010498047,1808.929443359,5696.868896484,4370.117187500,1577.758789063,2532.196044922,3953.552246094,3443.908691406
,13727.569580078,13597.869873047,12819.671630859,10807.800292969,6104.278564453,2769.470214844,179.290771484,1328.277587891,1623.535156250,3546.905517578,4426.574707031,1780.700683594,5645.751953125,4325.866699219,1554.107666016,2504.730224609,3917.694091797,3411.865234375
,13646.697998047,13479.614257813,12760.162353516,10733.795166016,6067.657470703,2736.663818359,177.764892578,1310.729980469,1602.935791016,3508.758544922,4386.138916016,1753.234863281,5593.109130859,4278.564453125,1533.508300781,2475.738525391,3876.495361328,3379.058837891
,13538.360595703,13336.181640625,12678.527832031,10643.768310547,6020.355224609,2704.620361328,175.476074219,1293.945312500,1582.336425781,3468.322753906,4344.940185547,1728.057861328,5538.940429688,4231.262207031,1512.908935547,2445.220947266,3832.244873047,3343.963623047
,13402.557373047,13167.572021484,12576.293945313,10536.956787109,5964.660644531,2671.813964844,173.187255859,1277.923583984,1562.500000000,3427.886962891,4301.452636719,1699.829101563,5481.719970703,4183.959960938,1492.309570313,2413.177490234,3784.179687500,3306.579589844
,13237.762451172,12973.785400391,12452.697753906,10414.886474609,5901.336669922,2637.481689453,169.372558594,1260.375976563,1542.663574219,3385.925292969,4254.150390625,1671.600341797,5419.921875000,4135.894775391,1470.184326172,2378.845214844,3729.248046875,3266.143798828
,13044.738769531,12754.058837891,12308.502197266,10276.031494141,5829.620361328,2601.623535156,165.557861328,1241.302490234,1521.301269531,3341.674804688,4201.507568359,1641.082763672,5352.783203125,4085.540771484,1447.296142578,2340.698242188,3668.975830078,3221.893310547
,12825.012207031,12507.629394531,12139.892578125,10123.443603516,5750.274658203,2562.713623047,160.980224609,1222.991943359,1499.176025391,3293.609619141,4141.998291016,1607.513427734,5279.541015625,4028.320312500,1423.645019531,2298.736572266,3600.311279297,3173.828125000
,12577.056884766,12233.734130859,11948.394775391,9957.122802734,5660.247802734,2522.277832031,155.639648438,1203.155517578,1476.287841797,3242.492675781,4074.096679688,1572.418212891,5199.432373047,3963.470458984,1396.942138672,2252.197265625,3524.780273438,3120.422363281
,12303.161621094,11936.187744141,11733.245849609,9779.357910156,5561.828613281,2477.264404297,151.062011719,1182.556152344,1451.110839844,3183.746337891,3997.039794922,1535.034179688,5114.746093750,3890.991210938,1366.424560547,2200.317382813,3445.434570313,3060.913085938
,12006.378173828,11617.279052734,11495.208740234,9587.860107422,5453.491210938,2429.962158203,144.958496094,1160.430908203,1420.593261719,3117.370605469,3910.064697266,1492.309570313,5020.904541016,3810.882568359,1329.040527344,2140.808105469,3358.459472656,2995.300292969
,11689.758300781,11283.111572266,11237.335205078,9382.629394531,5335.998535156,2375.030517578,136.566162109,1135.253906250,1383.209228516,3044.128417969,3814.697265625,1443.481445313,4918.670654297,3726.196289063,1285.552978516,2073.669433594,3263.854980469,2921.295166016
,11358.642578125,10937.500000000,10964.202880859,9162.902832031,5212.402343750,2314.758300781,128.173828125,1107.788085938,1340.484619141,2961.730957031,3710.174560547,1387.786865234,4806.518554688,3635.406494141,1236.724853516,2000.427246094,3161.621093750,2840.423583984
,11018.371582031,10579.681396484,10678.863525391,8932.495117188,5080.413818359,2246.856689453,119.781494141,1077.270507813,1293.182373047,2872.467041016,3596.496582031,1326.751708984,4683.685302734,3536.224365234,1182.556152344,1919.555664063,3050.231933594,2752.685546875
,10669.708251953,10210.418701172,10382.080078125,8692.169189453,4943.084716797,2170.562744141,110.626220703,1043.701171875,1242.828369141,2776.336669922,3475.189208984,1260.375976563,4553.222656250,3427.124023438,1124.572753906,1834.106445313,2931.976318359,2658.081054688
,10309.600830078,9829.711914063,10073.852539063,8444.213867188,4800.415039063,2087.402343750,104.522705078,1006.317138672,1189.422607422,2671.813964844,3346.252441406,1191.711425781,4416.656494141,3310.394287109,1062.011718750,1742.553710938,2808.380126953,2557.373046875
,9938.812255859,9434.509277344,9751.129150391,8191.680908203,4653.167724609,1998.138427734,98.419189453,965.881347656,1132.965087891,2560.424804688,3208.160400391,1119.232177734,4272.460937500,3185.272216797,993.347167969,1644.134521484,2678.680419922,2448.272705078
,9554.290771484,9028.625488281,9413.146972656,7933.807373047,4498.291015625,1904.296875000,92.315673828,920.104980469,1071.929931641,2442.169189453,3061.676025391,1044.464111328,4120.635986328,3055.572509766,920.104980469,1538.848876953,2542.877197266,2332.305908203
,9155.273437500,8612.823486328,9059.906005859,7671.356201172,4336.547851563,1805.114746094,86.975097656,868.988037109,1007.080078125,2318.572998047,2904.510498047,964.355468750,3957.366943359,2919.769287109,841.522216797,1426.696777344,2397.918701172,2208.709716797
,8745.574951172,8189.392089844,8692.932128906,7403.564453125,4163.360595703,1699.066162109,81.634521484,813.293457031,937.652587891,2188.110351563,2737.426757813,879.669189453,3781.890869141,2775.573730469,758.361816406,1309.967041016,2246.856689453,2077.484130859
,8326.721191406,7757.568359375,8317.565917969,7130.432128906,3980.255126953,1586.914062500,76.293945313,753.784179688,863.647460938,2050.781250000,2561.187744141,790.405273438,3594.207763672,2620.697021484,672.149658203,1188.659667969,2088.928222656,1939.392089844
,7897.949218750,7320.404052734,7933.807373047,6853.485107422,3787.994384766,1467.895507813,73.242187500,689.697265625,788.116455078,1906.585693359,2378.082275391,697.326660156,3395.080566406,2454.376220703,585.174560547,1065.826416016,1924.896240234,1795.959472656
,7462.310791016,6877.899169922,7543.182373047,6575.012207031,3588.104248047,1342.773437500,70.953369141,623.321533203,708.770751953,1752.471923828,2188.110351563,603.485107422,3189.086914063,2280.426025391,496.673583984,941.467285156,1758.575439453,1647.186279297
,7019.805908203,6430.053710938,7144.165039063,6294.250488281,3383.636474609,1215.362548828,68.664550781,553.894042969,627.136230469,1590.728759766,1992.797851563,508.117675781,2975.463867188,2099.609375000,408.172607422,815.582275391,1589.202880859,1494.598388672
,6573.486328125,5982.208251953,6735.992431641,6009.674072266,3175.354003906,1085.662841797,65.612792969,482.940673828,545.501708984,1424.407958984,1795.959472656,414.276123047,2756.500244141,1913.452148438,321.197509766,691.986083984,1419.830322266,1339.721679688
,6131.744384766,5537.414550781,6320.190429688,5722.808837891,2964.019775391,955.963134766,61.035156250,411.224365234,463.104248047,1255.035400391,1597.595214844,322.723388672,2536.773681641,1725.769042969,234.985351563,569.915771484,1252.746582031,1182.556152344
,5697.631835938,5102.539062500,5899.047851563,5431.365966797,2751.922607422,828.552246094,56.457519531,339.508056641,382.232666016,1085.662841797,1403.808593750,231.933593750,2316.284179688,1535.034179688,152.587890625,451.660156250,1088.714599609,1026.916503906
,5277.252197266,4682.159423828,5478.668212891,5138.397216797,2539.825439453,702.667236328,52.642822266,270.843505859,304.412841797,918.579101563,1214.599609375,144.958496094,2098.083496094,1342.010498047,74.005126953,340.270996094,927.734375000,872.802734375
,4873.657226563,4278.564453125,5065.917968750,4850.006103516,2329.254150391,580.596923828,48.828125000,205.230712891,230.407714844,753.784179688,1033.020019531,63.323974609,1883.697509766,1148.223876953,0.762939453,231.933593750,771.331787109,720.977783203
,4485.321044922,3894.805908203,4664.611816406,4566.955566406,2120.971679688,462.341308594,45.013427734,141.143798828,159.454345703,591.278076172,857.543945313,-12.207031250,1670.837402344,955.963134766,-67.901611328,128.936767578,619.506835938,574.493408203
,4113.769531250,3530.883789063,4279.327392578,4290.771484375,1917.266845703,347.137451172,40.435791016,80.108642578,91.552734375,433.349609375,686.645507813,-81.634521484,1462.554931641,768.280029297,-133.514404297,30.517578125,472.259521484,433.349609375
,3758.239746094,3189.849853516,3914.642333984,4023.742675781,1718.902587891,235.748291016,35.858154297,21.362304688,29.754638672,279.998779297,523.376464844,-146.484375000,1260.375976563,587.463378906,-193.786621094,-61.798095703,330.352783203,298.309326172
,3421.783447266,2873.229980469,3568.267822266,3765.869140625,1528.930664063,131.225585938,32.043457031,-34.332275391,-26.702880859,132.751464844,365.447998047,-206.756591797,1066.589355469,416.564941406,-251.007080078,-150.299072266,195.312500000,171.661376953
,3106.689453125,2580.261230469,3241.729736328,3518.676757813,1348.114013672,32.806396484,28.228759766,-86.212158203,-78.582763672,-3.051757813,212.860107422,-263.214111328,883.483886719,254.821777344,-303.649902344,-234.985351563,64.849853516,52.642822266
,2816.772460938,2316.284179688,2933.502197266,3285.217285156,1175.689697266,-57.983398438,25.177001953,-135.803222656,-123.596191406,-130.462646484,65.612792969,-314.331054688,709.533691406,101.470947266,-354.766845703,-316.619873047,-57.983398438,-57.220458984
,2556.610107422,2082.061767578,2640.533447266,3065.490722656,1011.657714844,-143.432617188,23.651123047,-180.816650391,-168.609619141,-249.481201172,-77.819824219,-364.685058594,543.975830078,-43.487548828,-406.646728516,-398.254394531,-175.476074219,-160.980224609
,2325.439453125,1879.119873047,2365.875244141,2857.971191406,852.966308594,-228.118896484,21.362304688,-225.067138672,-214.385986328,-362.396240234,-220.489501953,-414.276123047,382.232666016,-184.631347656,-459.289550781,-478.363037109,-289.916992188,-259.399414063
,2125.549316406,1706.695556641,2112.579345703,2663.421630859,702.667236328,-315.093994141,18.310546875,-270.080566406,-263.214111328,-473.022460938,-362.396240234,-465.393066406,220.489501953,-324.249267578,-514.221191406,-554.656982422,-400.543212891,-353.240966797
,1956.176757813,1560.211181641,1882.171630859,2480.316162109,558.471679688,-402.832031250,16.021728516,-315.093994141,-315.093994141,-584.411621094,-502.014160156,-518.798828125,59.509277344,-462.341308594,-569.152832031,-627.899169922,-508.117675781,-444.793701172
,1813.507080078,1432.800292969,1677.703857422,2308.654785156,421.142578125,-494.384765625,12.969970703,-360.870361328,-367.736816406,-694.274902344,-637.817382813,-572.967529297,-99.182128906,-601.196289063,-622.558593750,-696.563720703,-608.062744141,-532.531738281
,1695.251464844,1317.596435547,1496.887207031,2145.385742188,290.679931641,-585.174560547,10.681152344,-407.409667969,-419.616699219,-803.375244141,-768.280029297,-624.847412109,-253.295898438,-739.288330078,-674.438476563,-757.598876953,-697.326660156,-617.980957031
,1593.017578125,1207.733154297,1333.618164063,1990.509033203,167.083740234,-675.964355469,9.155273438,-452.423095703,-468.444824219,-911.712646484,-894.927978516,-675.201416016,-402.069091797,-874.328613281,-724.029541016,-814.056396484,-772.857666016,-698.852539063
,1498.413085938,1090.240478516,1184.844970703,1837.921142578,54.931640625,-765.991210938,7.629394531,-497.436523438,-517.272949219,-1016.998291016,-1020.050048828,-723.266601563,-547.790527344,-1004.791259766,-772.857666016,-866.699218750,-836.944580078,-775.909423828
,1397.705078125,951.385498047,1043.701171875,1684.570312500,-47.302246094,-854.492187500,4.577636719,-540.924072266,-565.338134766,-1119.232177734,-1145.935058594,-769.042968750,-693.511962891,-1131.439208984,-821.685791016,-914.764404297,-892.639160156,-849.914550781
,1277.160644531,775.909423828,899.505615234,1524.353027344,-138.854980469,-941.467285156,3.051757813,-584.411621094,-612.640380859,-1217.651367188,-1274.108886719,-813.293457031,-840.759277344,-1256.561279297,-869.750976563,-962.829589844,-942.230224609,-918.579101563
,1122.283935547,547.790527344,742.340087891,1349.639892578,-220.489501953,-1026.153564453,0.000000000,-627.136230469,-661.468505859,-1314.544677734,-1403.808593750,-854.492187500,-990.295410156,-1382.446289063,-917.816162109,-1009.368896484,-991.058349609,-984.954833984
,917.816162109,254.058837891,558.471679688,1154.327392578,-296.020507813,-1109.313964844,-4.577636719,-670.623779297,-708.770751953,-1408.386230469,-1531.982421875,-892.639160156,-1139.068603516,-1509.094238281,-964.355468750,-1054.382324219,-1038.360595703,-1052.093505859
,651.550292969,-113.677978516,333.404541016,929.260253906,-366.973876953,-1190.948486328,-8.392333984,-713.348388672,-754.547119141,-1502.990722656,-1658.630371094,-926.971435547,-1285.552978516,-1635.742187500,-1010.894775391,-1098.632812500,-1085.662841797,-1117.706298828
,313.568115234,-559.997558594,56.457519531,666.046142578,-438.690185547,-1270.294189453,-14.495849609,-755.310058594,-801.086425781,-1599.121093750,-1780.700683594,-958.251953125,-1427.459716797,-1758.575439453,-1055.908203125,-1142.883300781,-1134.490966797,-1184.844970703
,-99.182128906,-1082.611083984,-281.524658203,360.107421875,-516.510009766,-1350.402832031,-20.599365234,-797.271728516,-846.862792969,-1696.014404297,-1897.430419922,-987.243652344,-1565.551757813,-1878.356933594,-1100.158691406,-1186.370849609,-1184.844970703,-1252.746582031
,-586.700439453,-1673.889160156,-688.934326172,6.103515625,-605.773925781,-1429.748535156,-27.465820313,-837.707519531,-891.876220703,-1792.144775391,-2007.293701172,-1014.709472656,-1700.592041016,-1990.509033203,-1142.120361328,-1228.332519531,-1240.539550781,-1316.833496094
,-1146.697998047,-2326.202392578,-1164.245605469,-393.676757813,-714.111328125,-1509.857177734,-35.858154297,-875.854492188,-936.126708984,-1884.460449219,-2111.053466797,-1041.412353516,-1837.158203125,-2098.083496094,-1182.556152344,-1269.531250000,-1300.811767578,-1380.920410156
,-1771.545410156,-3029.632568359,-1706.695556641,-838.470458984,-843.048095703,-1591.491699219,-43.487548828,-912.475585938,-978.851318359,-1970.672607422,-2211.761474609,-1065.826416016,-1978.302001953,-2202.606201172,-1219.177246094,-1312.255859375,-1369.476318359,-1442.718505859
,-2453.613281250,-3775.024414063,-2308.654785156,-1322.937011719,-994.110107422,-1673.126220703,-50.354003906,-946.044921875,-1020.812988281,-2053.833007813,-2308.654785156,-1089.477539063,-2125.549316406,-2306.365966797,-1253.509521484,-1358.032226563,-1447.296142578,-1502.227783203
,-3184.509277344,-4550.933837891,-2960.205078125,-1839.447021484,-1163.482666016,-1752.471923828,-57.983398438,-977.325439453,-1063.537597656,-2139.282226563,-2409.362792969,-1110.076904297,-2280.426025391,-2411.651611328,-1284.790039063,-1409.912109375,-1536.560058594,-1565.551757813
,-3954.315185547,-5345.916748047,-3651.428222656,-2381.134033203,-1347.351074219,-1828.765869141,-66.375732422,-1008.605957031,-1108.551025391,-2230.834960938,-2513.122558594,-1130.676269531,-2442.169189453,-2520.751953125,-1313.781738281,-1470.184326172,-1643.371582031,-1634.979248047
,-4751.586914063,-6145.477294922,-4370.880126953,-2944.946289063,-1541.900634766,-1901.245117188,-75.531005859,-1039.123535156,-1155.090332031,-2328.491210938,-2621.459960938,-1152.801513672,-2609.252929688,-2633.666992188,-1342.010498047,-1538.848876953,-1766.204833984,-1713.562011719
,-5564.880371094,-6939.697265625,-5109.405517578,-3529.357910156,-1744.842529297,-1969.146728516,-85.449218750,-1068.115234375,-1201.629638672,-2432.250976563,-2735.900878906,-1177.215576172,-2777.099609375,-2748.107910156,-1368.713378906,-1614.379882813,-1905.822753906,-1802.825927734
,-6381.225585938,-7722.473144531,-5858.612060547,-4133.605957031,-1957.702636719,-2033.996582031,-93.841552734,-1096.343994141,-1245.880126953,-2537.536621094,-2851.867675781,-1206.207275391,-2946.472167969,-2862.548828125,-1393.890380859,-1694.488525391,-2059.936523438,-1900.482177734
,-7192.230224609,-8487.701416016,-6610.107421875,-4758.453369141,-2180.480957031,-2098.083496094,-99.945068359,-1122.283935547,-1288.604736328,-2639.770507813,-2970.886230469,-1239.776611328,-3118.133544922,-2974.700927734,-1417.541503906,-1778.411865234,-2223.205566406,-2004.241943359
,-7988.739013672,-9230.041503906,-7355.499267578,-5399.322509766,-2413.940429688,-2161.407470703,-103.759765625,-1145.172119141,-1329.040527344,-2738.189697266,-3092.956542969,-1276.397705078,-3292.846679688,-3083.801269531,-1439.666748047,-1864.624023438,-2395.629882813,-2111.816406250
,-8759.307861328,-9941.864013672,-8087.921142578,-6051.635742188,-2658.081054688,-2223.968505859,-106.811523438,-1167.297363281,-1367.187500000,-2832.031250000,-3217.315673828,-1314.544677734,-3475.189208984,-3190.612792969,-1461.791992188,-1950.073242188,-2574.920654297,-2222.442626953
,-9494.781494141,-10617.065429688,-8802.032470703,-6707.763671875,-2913.665771484,-2285.766601563,-108.337402344,-1187.896728516,-1403.808593750,-2922.821044922,-3343.963623047,-1354.980468750,-3664.398193359,-3293.609619141,-1482.391357422,-2036.285400391,-2759.552001953,-2336.883544922
,-10186.004638672,-11248.779296875,-9487.152099609,-7354.736328125,-3180.694580078,-2344.512939453,-109.100341797,-1207.733154297,-1438.140869141,-3009.796142578,-3470.611572266,-1396.179199219,-3858.947753906,-3395.080566406,-1499.938964844,-2117.919921875,-2947.235107422,-2450.561523438
,-10825.347900391,-11834.716796875,-10140.228271484,-7981.109619141,-3456.878662109,-2400.207519531,-109.100341797,-1227.569580078,-1468.658447266,-3092.193603516,-3595.733642578,-1437.377929688,-4056.549072266,-3494.262695313,-1512.908935547,-2193.450927734,-3131.866455078,-2561.187744141
