Test Name,M-max Lower Leg Ampl Lines
Test Item,Right TA
Patient Name,"post  s2718tdvg"
Patient ID,
Test Date,10/15/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 51 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 200 탎","Tr 5 : 100 mA : 300 탎","Tr 6 : 100 mA : 300 탎","Tr 7 : 100 mA : 300 탎","Tr 8 : 100 mA : 400 탎","Tr 9 : 100 mA : 400 탎","Tr 10 : 100 mA : 400 탎"
,23.651123047,24.414062500,12.207031250,12.969970703,39.672851563,37.384033203,32.806396484,11.444091797,29.754638672,9.155273438
,22.888183594,22.888183594,12.969970703,13.732910156,38.146972656,37.384033203,33.569335938,12.207031250,30.517578125,6.866455078
,22.125244141,20.599365234,13.732910156,14.495849609,36.621093750,37.384033203,34.332275391,14.495849609,30.517578125,4.577636719
,22.125244141,18.310546875,13.732910156,16.021728516,36.621093750,36.621093750,34.332275391,15.258789063,30.517578125,3.051757813
,23.651123047,18.310546875,12.969970703,16.784667969,36.621093750,36.621093750,34.332275391,15.258789063,30.517578125,2.288818359
,23.651123047,18.310546875,11.444091797,17.547607422,38.146972656,36.621093750,34.332275391,16.021728516,29.754638672,2.288818359
,24.414062500,19.836425781,10.681152344,17.547607422,38.909912109,36.621093750,35.095214844,16.021728516,29.754638672,3.051757813
,24.414062500,21.362304688,10.681152344,17.547607422,39.672851563,36.621093750,37.384033203,16.021728516,28.991699219,3.814697266
,22.888183594,21.362304688,11.444091797,17.547607422,38.909912109,35.858154297,39.672851563,15.258789063,29.754638672,5.340576172
,22.125244141,20.599365234,12.969970703,18.310546875,37.384033203,35.095214844,41.198730469,16.021728516,29.754638672,5.340576172
,22.125244141,19.073486328,15.258789063,18.310546875,35.858154297,35.858154297,44.250488281,16.021728516,30.517578125,6.103515625
,22.888183594,16.021728516,17.547607422,17.547607422,35.095214844,36.621093750,45.013427734,15.258789063,31.280517578,6.103515625
,25.177001953,12.207031250,19.836425781,17.547607422,35.095214844,36.621093750,46.539306641,14.495849609,30.517578125,5.340576172
