Test Name,M-max Lower Leg Ampl Lines
Test Item,Left Gastroc
Patient Name,"pre  s2712tdvg"
Patient ID,
Test Date,1/29/2019
Trace Label,"Tr 1 : 0 mA : 200 탎","Tr 2 : 34 mA : 200 탎","Tr 3 : 80 mA : 200 탎","Tr 4 : 100 mA : 200 탎","Tr 5 : 100 mA : 200 탎","Tr 6 : 100 mA : 200 탎","Tr 7 : 100 mA : 200 탎","Tr 8 : 100 mA : 200 탎","Tr 9 : 100 mA : 250 탎"
,-0.762939453,-497.436523438,-5122.375488281,-4837.799072266,-3918.457031250,-3707.122802734,-3889.465332031,-4186.248779297,-4595.184326172
,3.051757813,-507.354736328,-5544.281005859,-5117.034912109,-4180.145263672,-3975.677490234,-4090.118408203,-4406.738281250,-4869.079589844
,6.866455078,-528.717041016,-5940.246582031,-5345.916748047,-4393.005371094,-4212.188720703,-4280.853271484,-4603.576660156,-5101.776123047
,8.392333984,-553.894042969,-6282.043457031,-5515.289306641,-4548.645019531,-4402.923583984,-4451.751708984,-4766.845703125,-5283.355712891
,8.392333984,-582.122802734,-6553.649902344,-5625.915527344,-4650.115966797,-4538.726806641,-4592.132568359,-4892.730712891,-5411.529541016
,9.155273438,-609.588623047,-6748.199462891,-5683.135986328,-4709.625244141,-4627.227783203,-4708.099365234,-4989.624023438,-5494.689941406
,8.392333984,-631.713867188,-6864.166259766,-5700.683593750,-4753.112792969,-4685.211181641,-4805.755615234,-5073.547363281,-5549.621582031
,7.629394531,-646.209716797,-6907.653808594,-5697.631835938,-4805.755615234,-4736.328125000,-4896.545410156,-5160.522460938,-5599.975585938
,4.577636719,-648.498535156,-6882.476806641,-5680.084228516,-4892.730712891,-4805.755615234,-4993.438720703,-5268.859863281,-5670.166015625
,2.288818359,-637.817382813,-6790.161132813,-5651.092529297,-5030.822753906,-4911.804199219,-5104.827880859,-5402.374267578,-5780.029296875
,0.000000000,-617.980957031,-6631.469726563,-5614.471435547,-5224.609375000,-5062.103271484,-5236.816406250,-5567.169189453,-5939.483642578
,0.000000000,-588.989257813,-6411.743164063,-5563.354492188,-5477.905273438,-5258.178710938,-5397.033691406,-5774.688720703,-6152.343750000
,1.525878906,-559.234619141,-6140.136718750,-5500.793457031,-5784.606933594,-5500.030517578,-5599.212646484,-6031.799316406,-6422.424316406
,3.051757813,-538.635253906,-5830.383300781,-5426.788330078,-6125.640869141,-5786.895751953,-5854.034423828,-6343.078613281,-6737.518310547
,3.814697266,-534.057617188,-5496.215820313,-5335.235595703,-6479.644775391,-6111.907958984,-6161.499023438,-6700.134277344,-7081.604003906
,4.577636719,-559.234619141,-5147.552490234,-5214.691162109,-6811.523437500,-6456.756591797,-6503.295898438,-7073.211669922,-7427.215576172
,3.814697266,-617.980957031,-4783.630371094,-5048.370361328,-7090.759277344,-6790.924072266,-6845.855712891,-7430.267333984,-7736.968994141
,5.340576172,-709.533691406,-4390.716552734,-4810.333251953,-7307.434082031,-7085.418701172,-7159.423828125,-7744.598388672,-7987.213134766
,7.629394531,-830.078125000,-3945.922851563,-4476.928710938,-7451.629638672,-7319.641113281,-7419.586181641,-7997.131347656,-8168.792724609
,9.155273438,-970.458984375,-3426.361083984,-4029.083251953,-7521.820068359,-7481.384277344,-7612.609863281,-8177.185058594,-8275.604248047
,9.918212891,-1127.624511719,-2815.246582031,-3455.352783203,-7498.931884766,-7562.255859375,-7730.102539063,-8264.923095703,-8312.988281250
,11.444091797,-1297.760009766,-2122.497558594,-2763.366699219,-7332.611083984,-7537.841796875,-7734.680175781,-8208.465576172,-8258.056640625
,12.207031250,-1480.865478516,-1374.816894531,-1973.724365234,-6974.792480469,-7370.758056641,-7578.277587891,-7955.169677734,-8068.847656250
,13.732910156,-1679.229736328,-601.196289063,-1108.551025391,-6365.966796875,-7012.176513672,-7203.674316406,-7436.370849609,-7700.347900391
,16.021728516,-1882.171630859,177.001953125,-183.868408203,-5469.512939453,-6410.217285156,-6550.598144531,-6594.085693359,-7087.707519531
,18.310546875,-2075.195312500,967.407226563,796.508789063,-4296.112060547,-5533.599853516,-5594.635009766,-5416.870117188,-6204.223632813
,21.362304688,-2235.412597656,1782.226562500,1829.528808594,-2870.178222656,-4376.983642578,-4335.021972656,-3913.116455078,-5046.844482422
,23.651123047,-2331.542968750,2632.904052734,2893.829345703,-1266.479492188,-2965.545654297,-2805.328369141,-2153.778076172,-3635.406494141
,26.702880859,-2330.017089844,3510.284423828,3947.448730469,407.409667969,-1373.291015625,-1093.292236328,-254.821777344,-2056.121826172
,28.228759766,-2203.369140625,4376.220703125,4924.011230469,2049.255371094,295.257568359,703.430175781,1659.393310547,-389.099121094
,29.754638672,-1937.103271484,5175.018310547,5749.511718750,3540.802001953,1927.185058594,2471.923828125,3459.930419922,1265.716552734
,31.280517578,-1538.085937500,5841.064453125,6368.255615234,4808.044433594,3410.339355469,4113.769531250,5063.629150391,2819.824218750
,32.806396484,-1035.308837891,6330.108642578,6748.962402344,5824.279785156,4685.211181641,5576.324462891,6434.631347656,4224.395751953
,34.332275391,-476.074218750,6619.262695313,6887.817382813,6582.641601563,5728.149414063,6822.204589844,7553.100585938,5429.840087891
,35.095214844,91.552734375,6707.000732422,6809.234619141,7112.884521484,6536.102294922,7836.914062500,8422.851562500,6402.587890625
,35.095214844,621.032714844,6616.973876953,6546.783447266,7427.978515625,7125.091552734,8612.823486328,9041.595458984,7128.143310547
,33.569335938,1072.692871094,6368.255615234,6140.899658203,7543.945312500,7498.168945313,9136.199951172,9408.569335938,7591.247558594
,31.280517578,1424.407958984,5985.260009766,5638.122558594,7491.302490234,7665.252685547,9410.858154297,9545.898437500,7809.448242188
,28.228759766,1660.919189453,5508.422851563,5084.991455078,7295.227050781,7653.808593750,9455.108642578,9487.915039063,7826.995849609
,23.651123047,1786.041259766,4974.365234375,4520.416259766,7012.176513672,7503.509521484,9305.572509766,9284.210205078,7695.007324219
,19.836425781,1811.981201172,4422.760009766,3978.729248047,6690.979003906,7267.761230469,9017.181396484,8988.189697266,7478.332519531
,16.021728516,1756.286621094,3893.280029297,3480.529785156,6369.018554688,6998.443603516,8641.815185547,8634.948730469,7225.799560547
,12.207031250,1642.608642578,3405.761718750,3033.447265625,6066.894531250,6722.259521484,8217.620849609,8245.086669922,6963.348388672
,11.444091797,1491.546630859,2971.649169922,2637.481689453,5776.977539063,6449.127197266,7765.197753906,7819.366455078,6694.030761719
,11.444091797,1322.174072266,2593.231201172,2286.529541016,5480.194091797,6168.365478516,7279.968261719,7345.581054688,6399.536132813
,13.732910156,1148.223876953,2265.167236328,1972.198486328,5152.130126953,5853.271484375,6751.251220703,6808.471679688,6054.687500000
,16.784667969,980.377197266,1978.302001953,1690.673828125,4779.052734375,5484.771728516,6174.468994141,6208.801269531,5643.463134766
,19.836425781,823.211669922,1725.769042969,1441.955566406,4357.910156250,5056.762695313,5548.858642578,5550.384521484,5163.574218750
,23.651123047,678.253173828,1502.990722656,1221.466064453,3900.909423828,4570.007324219,4889.678955078,4856.872558594,4631.805419922
,28.228759766,549.316406250,1305.389404297,1028.442382813,3425.598144531,4045.867919922,4219.055175781,4154.205322266,4074.096679688
,32.806396484,432.586669922,1131.439208984,856.018066406,2947.235107422,3505.706787109,3555.297851563,3463.745117188,3512.573242188
,33.569335938,328.826904297,976.562500000,698.852539063,2483.367919922,2968.597412109,2915.954589844,2806.854248047,2969.360351563
,31.280517578,239.562988281,834.655761719,552.368164063,2046.203613281,2455.139160156,2315.521240234,2198.791503906,2458.190917969
,26.702880859,161.743164063,707.244873047,413.513183594,1644.134521484,1979.064941406,1764.678955078,1648.712158203,1986.694335938
,19.836425781,96.893310547,583.648681641,278.472900391,1284.027099609,1548.004150391,1271.820068359,1162.719726563,1564.025878906
,15.258789063,44.250488281,461.578369141,141.143798828,963.592529297,1167.297363281,838.470458984,736.999511719,1190.948486328
,10.681152344,0.000000000,333.404541016,2.288818359,680.541992188,831.604003906,461.578369141,366.973876953,864.410400391
,9.155273438,-36.621093750,195.312500000,-134.277343750,431.060791016,538.635253906,135.040283203,45.776367188,582.122802734
,7.629394531,-69.427490234,56.457519531,-270.080566406,214.385986328,284.576416016,-144.958496094,-230.407714844,339.508056641
,6.866455078,-97.656250000,-82.397460938,-396.728515625,27.465820313,63.323974609,-382.232666016,-464.630126953,128.936767578
,8.392333984,-121.307373047,-216.674804688,-516.510009766,-133.514404297,-123.596191406,-582.122802734,-662.231445313,-53.405761719
,9.155273438,-141.143798828,-340.270996094,-628.662109375,-273.895263672,-287.628173828,-749.969482422,-825.500488281,-215.148925781
,11.444091797,-158.691406250,-453.948974609,-731.658935547,-403.594970703,-431.060791016,-888.824462891,-959.014892578,-360.870361328
,13.732910156,-173.950195313,-553.894042969,-824.737548828,-523.376464844,-556.182861328,-1005.554199219,-1069.641113281,-492.858886719
,15.258789063,-188.446044922,-636.291503906,-904.083251953,-634.002685547,-669.097900391,-1100.921630859,-1159.667968750,-610.351562500
,16.021728516,-201.416015625,-704.193115234,-971.221923828,-733.947753906,-761.413574219,-1174.926757813,-1231.384277344,-714.111328125
,17.547607422,-211.334228516,-757.598876953,-1022.338867188,-820.922851563,-839.233398438,-1229.858398438,-1288.604736328,-802.612304688
,19.073486328,-219.726562500,-798.797607422,-1059.722900391,-894.927978516,-904.083251953,-1267.242431641,-1329.803466797,-873.565673828
,22.125244141,-225.830078125,-829.315185547,-1086.425781250,-952.911376953,-954.437255859,-1285.552978516,-1354.217529297,-926.208496094
,25.177001953,-228.881835938,-849.914550781,-1100.158691406,-994.873046875,-992.584228516,-1288.604736328,-1362.609863281,-962.829589844
,29.754638672,-228.881835938,-862.121582031,-1103.210449219,-1021.575927734,-1018.524169922,-1277.923583984,-1356.506347656,-982.666015625
,34.332275391,-227.355957031,-865.936279297,-1097.106933594,-1027.679443359,-1029.205322266,-1252.746582031,-1334.381103516,-991.058349609
,37.384033203,-225.067138672,-862.884521484,-1079.559326172,-1019.287109375,-1025.390625000,-1217.651367188,-1299.285888672,-988.769531250
,41.961669922,-222.015380859,-851.440429688,-1055.145263672,-995.635986328,-1010.131835938,-1168.060302734,-1252.746582031,-974.273681641
,44.250488281,-220.489501953,-832.366943359,-1025.390625000,-958.251953125,-982.666015625,-1107.025146484,-1194.763183594,-949.096679688
,45.776367188,-218.963623047,-809.478759766,-991.058349609,-916.290283203,-945.281982422,-1038.360595703,-1131.439208984,-913.238525391
,48.828125000,-215.148925781,-781.250000000,-955.963134766,-867.462158203,-900.268554688,-965.881347656,-1066.589355469,-868.988037109
,50.354003906,-212.860107422,-751.495361328,-920.104980469,-817.108154297,-851.440429688,-903.320312500,-1002.502441406,-822.448730469
,53.405761719,-208.282470703,-720.977783203,-883.483886719,-770.568847656,-801.849365234,-850.677490234,-944.519042969,-778.198242188
,57.983398438,-205.230712891,-691.223144531,-849.914550781,-727.844238281,-756.835937500,-811.004638672,-894.165039063,-740.051269531
,61.035156250,-202.178955078,-664.520263672,-815.582275391,-694.274902344,-719.451904297,-782.775878906,-851.440429688,-708.770751953
,62.561035156,-200.653076172,-641.632080078,-783.538818359,-668.334960938,-688.171386719,-759.124755859,-814.819335938,-683.593750000
,63.323974609,-199.127197266,-621.795654297,-753.021240234,-648.498535156,-662.994384766,-740.051269531,-782.775878906,-664.520263672
,62.561035156,-198.364257813,-600.433349609,-722.503662109,-632.476806641,-640.106201172,-724.792480469,-753.021240234,-646.209716797
,61.798095703,-196.838378906,-576.019287109,-693.511962891,-617.980957031,-619.506835938,-710.296630859,-723.266601563,-629.425048828
,61.798095703,-195.312500000,-548.553466797,-665.283203125,-604.248046875,-601.959228516,-695.800781250,-694.274902344,-613.403320313
,61.798095703,-191.497802734,-519.561767578,-637.817382813,-588.989257813,-586.700439453,-679.779052734,-664.520263672,-592.803955078
,61.798095703,-188.446044922,-493.621826172,-611.114501953,-573.730468750,-572.204589844,-656.890869141,-634.765625000,-570.678710938
,59.509277344,-186.920166016,-470.733642578,-584.411621094,-557.708740234,-556.945800781,-630.950927734,-606.536865234,-545.501708984
,57.220458984,-185.394287109,-451.660156250,-559.234619141,-543.212890625,-540.161132813,-601.196289063,-579.071044922,-518.798828125
,56.457519531,-186.920166016,-435.638427734,-532.531738281,-527.954101563,-520.324707031,-569.915771484,-552.368164063,-492.858886719
,55.694580078,-187.683105469,-421.905517578,-508.117675781,-511.932373047,-498.199462891,-540.924072266,-524.902343750,-467.681884766
,55.694580078,-187.683105469,-408.935546875,-485.992431641,-494.384765625,-476.074218750,-513.458251953,-498.199462891,-443.267822266
,54.931640625,-186.157226563,-397.491455078,-465.393066406,-473.022460938,-453.948974609,-488.281250000,-472.259521484,-420.379638672
,52.642822266,-185.394287109,-386.047363281,-447.082519531,-451.660156250,-433.349609375,-466.156005859,-447.845458984,-398.254394531
,50.354003906,-186.157226563,-374.603271484,-429.534912109,-431.060791016,-415.039062500,-446.319580078,-426.483154297,-378.417968750
,45.776367188,-187.683105469,-362.396240234,-409.698486328,-409.698486328,-398.254394531,-429.534912109,-406.646728516,-360.107421875
,41.198730469,-189.208984375,-350.189208984,-390.625000000,-389.099121094,-380.706787109,-413.513183594,-387.573242188,-341.796875000
,35.095214844,-190.734863281,-337.219238281,-371.551513672,-366.973876953,-362.396240234,-398.254394531,-370.788574219,-324.249267578
,28.991699219,-189.208984375,-322.723388672,-355.529785156,-344.848632813,-344.085693359,-383.758544922,-355.529785156,-305.938720703
,23.651123047,-187.683105469,-308.990478516,-341.796875000,-323.486328125,-325.775146484,-369.262695313,-342.559814453,-288.391113281
,16.021728516,-183.868408203,-296.783447266,-331.115722656,-303.649902344,-309.753417969,-355.529785156,-331.878662109,-273.132324219
,8.392333984,-177.764892578,-286.102294922,-320.434570313,-286.865234375,-295.257568359,-343.322753906,-322.723388672,-258.636474609
,0.762939453,-171.661376953,-276.947021484,-310.516357422,-271.606445313,-283.050537109,-331.878662109,-315.093994141,-247.192382813
,-5.340576172,-165.557861328,-269.317626953,-299.835205078,-257.873535156,-271.606445313,-322.723388672,-308.227539063,-238.800048828
,-7.629394531,-160.980224609,-260.925292969,-292.205810547,-247.192382813,-262.451171875,-314.331054688,-301.361083984,-231.933593750
,-5.340576172,-160.217285156,-254.058837891,-286.102294922,-236.511230469,-254.821777344,-308.227539063,-296.020507813,-229.644775391
,-1.525878906,-160.980224609,-248.718261719,-283.050537109,-228.118896484,-248.718261719,-303.649902344,-289.916992188,-227.355957031
,3.051757813,-161.743164063,-245.666503906,-282.287597656,-222.778320313,-243.377685547,-300.598144531,-285.339355469,-225.067138672
,6.103515625,-163.269042969,-244.140625000,-282.287597656,-217.437744141,-238.037109375,-298.309326172,-282.287597656,-223.541259766
,6.866455078,-163.269042969,-241.851806641,-283.813476563,-214.385986328,-232.696533203,-296.020507813,-278.472900391,-222.778320313
