Test Name,M-max Lower Leg Ampl Lines
Test Item,Right Gastroc
Patient Name,"pre  s2712tdvg"
Patient ID,
Test Date,1/29/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 19 mA : 100 탎","Tr 3 : 19 mA : 100 탎","Tr 4 : 19 mA : 100 탎","Tr 5 : 19 mA : 100 탎","Tr 6 : 94 mA : 100 탎","Tr 7 : 94 mA : 100 탎","Tr 8 : 100 mA : 100 탎","Tr 9 : 100 mA : 150 탎","Tr 10 : 100 mA : 200 탎","Tr 11 : 100 mA : 200 탎"
,-3.051757813,-48.828125000,10.681152344,-13.732910156,-25.939941406,-1139.831542969,-534.820556641,-721.740722656,-556.182861328,-564.575195313,-701.904296875
,-6.103515625,-50.354003906,9.155273438,-12.207031250,-25.177001953,-1127.624511719,-594.329833984,-805.664062500,-631.713867188,-669.097900391,-793.457031250
,-7.629394531,-52.642822266,6.103515625,-11.444091797,-22.888183594,-1100.921630859,-630.187988281,-855.255126953,-679.016113281,-742.340087891,-856.781005859
,-9.155273438,-53.405761719,5.340576172,-9.155273438,-21.362304688,-1059.722900391,-646.209716797,-876.617431641,-704.193115234,-788.879394531,-896.453857422
,-9.155273438,-56.457519531,3.051757813,-6.866455078,-19.836425781,-1004.028320313,-642.395019531,-875.091552734,-709.533691406,-812.530517578,-913.238525391
,-8.392333984,-59.509277344,2.288818359,-5.340576172,-19.836425781,-934.600830078,-621.032714844,-856.018066406,-698.852539063,-813.293457031,-910.186767578
,-9.155273438,-60.272216797,1.525878906,-3.051757813,-20.599365234,-855.255126953,-582.122802734,-823.211669922,-675.964355469,-798.034667969,-891.876220703
,-10.681152344,-60.272216797,0.762939453,-2.288818359,-22.125244141,-768.280029297,-527.191162109,-777.435302734,-641.632080078,-767.517089844,-857.543945313
,-11.444091797,-60.272216797,0.000000000,-0.762939453,-22.125244141,-675.964355469,-460.052490234,-721.740722656,-598.144531250,-726.318359375,-811.767578125
,-12.969970703,-58.746337891,0.000000000,0.762939453,-22.125244141,-580.596923828,-387.573242188,-657.653808594,-547.027587891,-675.201416016,-755.310058594
,-14.495849609,-59.509277344,0.000000000,2.288818359,-19.836425781,-483.703613281,-312.042236328,-583.648681641,-486.755371094,-615.692138672,-685.882568359
,-14.495849609,-59.509277344,0.000000000,3.814697266,-16.784667969,-385.284423828,-231.933593750,-503.540039063,-414.276123047,-546.264648438,-605.773925781
,-15.258789063,-60.272216797,0.000000000,5.340576172,-14.495849609,-285.339355469,-146.484375000,-418.090820313,-334.930419922,-466.156005859,-517.272949219
,-15.258789063,-60.272216797,0.000000000,6.866455078,-11.444091797,-186.157226563,-57.983398438,-328.063964844,-247.192382813,-378.417968750,-422.668457031
,-14.495849609,-58.746337891,0.000000000,8.392333984,-8.392333984,-89.263916016,34.332275391,-235.748291016,-157.928466797,-284.576416016,-326.538085938
,-13.732910156,-57.983398438,1.525878906,10.681152344,-5.340576172,0.762939453,123.596191406,-143.432617188,-70.953369141,-189.971923828,-231.933593750
,-12.969970703,-55.694580078,0.762939453,12.969970703,-2.288818359,83.923339844,205.993652344,-53.405761719,11.444091797,-97.656250000,-142.669677734
,-12.207031250,-54.931640625,2.288818359,15.258789063,0.000000000,157.165527344,280.761718750,29.754638672,84.686279297,-12.207031250,-61.798095703
,-10.681152344,-53.405761719,3.051757813,17.547607422,0.762939453,221.252441406,345.611572266,105.285644531,149.536132813,63.323974609,9.918212891
,-9.155273438,-51.879882813,3.051757813,19.073486328,3.051757813,275.421142578,401.306152344,169.372558594,202.941894531,128.173828125,70.953369141
,-6.866455078,-49.591064453,4.577636719,19.836425781,4.577636719,320.434570313,447.082519531,221.252441406,244.903564453,181.579589844,122.070312500
,-3.051757813,-46.539306641,4.577636719,19.836425781,6.103515625,355.529785156,482.940673828,262.451171875,277.709960938,224.304199219,164.031982422
,0.000000000,-41.198730469,3.814697266,19.073486328,6.866455078,382.232666016,509.643554688,292.205810547,300.598144531,258.636474609,196.075439453
,2.288818359,-38.146972656,3.051757813,18.310546875,7.629394531,401.306152344,527.191162109,312.042236328,315.856933594,285.339355469,222.015380859
,5.340576172,-34.332275391,2.288818359,19.073486328,7.629394531,412.750244141,537.872314453,324.249267578,324.249267578,305.175781250,239.562988281
,7.629394531,-32.043457031,0.762939453,19.836425781,7.629394531,419.616699219,542.449951172,327.301025391,326.538085938,318.145751953,248.718261719
,9.918212891,-31.280517578,0.000000000,22.888183594,9.918212891,420.379638672,540.161132813,325.775146484,324.249267578,323.486328125,253.295898438
,11.444091797,-30.517578125,-1.525878906,25.939941406,12.207031250,416.564941406,534.820556641,321.197509766,318.145751953,322.723388672,251.770019531
,12.969970703,-29.754638672,-3.814697266,29.754638672,13.732910156,408.172607422,524.902343750,312.805175781,308.227539063,317.382812500,246.429443359
,14.495849609,-28.991699219,-5.340576172,33.569335938,16.021728516,395.202636719,511.932373047,299.835205078,296.020507813,309.753417969,238.800048828
,15.258789063,-28.228759766,-8.392333984,35.858154297,17.547607422,379.180908203,498.962402344,284.576416016,282.287597656,300.598144531,227.355957031
,15.258789063,-28.228759766,-9.918212891,38.146972656,19.073486328,359.344482422,481.414794922,266.265869141,266.265869141,289.154052734,213.623046875
,15.258789063,-27.465820313,-11.444091797,39.672851563,22.125244141,337.982177734,462.341308594,247.192382813,250.244140625,275.421142578,197.601318359
,15.258789063,-25.939941406,-12.969970703,40.435791016,25.177001953,315.856933594,442.504882813,227.355957031,232.696533203,260.162353516,179.290771484
,16.021728516,-25.177001953,-12.207031250,41.198730469,28.228759766,293.731689453,420.379638672,206.756591797,212.860107422,241.851806641,160.980224609
,17.547607422,-22.888183594,-12.207031250,41.198730469,31.280517578,273.132324219,398.254394531,184.631347656,192.260742188,222.015380859,141.143798828
,17.547607422,-21.362304688,-10.681152344,41.961669922,33.569335938,253.295898438,373.840332031,161.743164063,170.135498047,198.364257813,119.018554688
,18.310546875,-19.073486328,-8.392333984,43.487548828,35.095214844,234.985351563,347.900390625,138.854980469,148.010253906,172.424316406,96.130371094
,18.310546875,-16.021728516,-8.392333984,45.013427734,35.858154297,216.674804688,321.960449219,115.203857422,125.122070313,143.432617188,71.716308594
,19.073486328,-13.732910156,-8.392333984,45.013427734,36.621093750,199.127197266,295.257568359,92.315673828,102.233886719,112.152099609,48.065185547
,22.888183594,-10.681152344,-8.392333984,45.776367188,38.146972656,184.631347656,270.080566406,70.190429688,80.108642578,83.923339844,25.939941406
,27.465820313,-7.629394531,-7.629394531,45.013427734,38.909912109,172.424316406,246.429443359,49.591064453,59.509277344,58.746337891,4.577636719
,32.043457031,-3.814697266,-6.866455078,45.013427734,41.198730469,160.980224609,224.304199219,30.517578125,38.909912109,37.384033203,-13.732910156
,36.621093750,-0.762939453,-6.866455078,45.776367188,41.961669922,151.824951172,203.704833984,12.207031250,19.073486328,23.651123047,-30.517578125
,39.672851563,0.762939453,-6.103515625,45.776367188,41.961669922,142.669677734,183.868408203,-4.577636719,-1.525878906,13.732910156,-48.828125000
,41.198730469,3.051757813,-6.866455078,45.776367188,42.724609375,131.988525391,162.506103516,-22.125244141,-22.125244141,7.629394531,-66.375732422
,43.487548828,4.577636719,-6.103515625,45.013427734,42.724609375,121.307373047,141.143798828,-40.435791016,-42.724609375,3.051757813,-83.160400391
,45.013427734,6.103515625,-4.577636719,43.487548828,44.250488281,108.337402344,119.781494141,-56.457519531,-63.323974609,-2.288818359,-101.470947266
,45.776367188,7.629394531,-1.525878906,41.198730469,45.013427734,96.130371094,98.419189453,-72.479248047,-81.634521484,-10.681152344,-117.492675781
,47.302246094,9.918212891,0.000000000,39.672851563,45.013427734,83.923339844,79.345703125,-86.975097656,-98.419189453,-23.651123047,-134.277343750
,47.302246094,10.681152344,3.051757813,38.146972656,45.013427734,73.242187500,60.272216797,-100.708007813,-112.152099609,-39.672851563,-149.536132813
,48.828125000,12.969970703,4.577636719,36.621093750,43.487548828,64.849853516,41.961669922,-112.915039063,-124.359130859,-57.983398438,-162.506103516
,49.591064453,13.732910156,6.103515625,35.858154297,41.198730469,55.694580078,25.939941406,-124.359130859,-136.566162109,-76.293945313,-175.476074219
,51.116943359,13.732910156,9.155273438,35.858154297,39.672851563,48.065185547,9.155273438,-133.514404297,-146.484375000,-93.078613281,-186.920166016
,52.642822266,14.495849609,10.681152344,36.621093750,38.909912109,40.435791016,-5.340576172,-143.432617188,-157.165527344,-109.100341797,-196.838378906
,52.642822266,12.969970703,13.732910156,35.858154297,38.909912109,32.806396484,-19.836425781,-154.113769531,-168.609619141,-124.359130859,-205.993652344
,51.879882813,13.732910156,16.021728516,35.858154297,38.909912109,27.465820313,-33.569335938,-164.794921875,-177.764892578,-138.092041016,-215.148925781
,50.354003906,13.732910156,16.784667969,34.332275391,38.146972656,20.599365234,-45.013427734,-176.239013672,-186.920166016,-151.824951172,-222.778320313
,49.591064453,13.732910156,17.547607422,32.806396484,37.384033203,15.258789063,-54.931640625,-187.683105469,-196.075439453,-163.269042969,-228.881835938
,48.828125000,14.495849609,17.547607422,31.280517578,36.621093750,9.918212891,-63.323974609,-196.075439453,-203.704833984,-173.187255859,-234.985351563
,48.828125000,13.732910156,17.547607422,30.517578125,36.621093750,4.577636719,-71.716308594,-203.704833984,-211.334228516,-181.579589844,-240.325927734
,48.828125000,12.969970703,18.310546875,28.991699219,37.384033203,0.000000000,-80.108642578,-209.808349609,-216.674804688,-188.446044922,-246.429443359
,48.065185547,11.444091797,19.836425781,27.465820313,37.384033203,-5.340576172,-88.500976563,-213.623046875,-222.778320313,-195.312500000,-253.295898438
,47.302246094,9.918212891,20.599365234,25.939941406,38.146972656,-10.681152344,-96.130371094,-216.674804688,-228.118896484,-202.941894531,-260.162353516
,45.013427734,9.155273438,22.888183594,23.651123047,38.146972656,-16.021728516,-103.759765625,-218.200683594,-234.222412109,-211.334228516,-266.265869141
,42.724609375,8.392333984,23.651123047,21.362304688,37.384033203,-20.599365234,-110.626220703,-218.963623047,-239.562988281,-220.489501953,-272.369384766
,40.435791016,7.629394531,25.177001953,18.310546875,36.621093750,-22.888183594,-117.492675781,-220.489501953,-242.614746094,-228.881835938,-276.184082031
,38.146972656,8.392333984,27.465820313,15.258789063,32.806396484,-25.177001953,-124.359130859,-220.489501953,-245.666503906,-237.274169922,-280.761718750
,37.384033203,7.629394531,28.991699219,12.207031250,28.991699219,-28.228759766,-130.462646484,-222.015380859,-246.429443359,-244.140625000,-284.576416016
,37.384033203,6.866455078,32.043457031,10.681152344,24.414062500,-29.754638672,-136.566162109,-222.778320313,-247.192382813,-249.481201172,-288.391113281
,37.384033203,6.103515625,34.332275391,9.918212891,21.362304688,-31.280517578,-141.906738281,-222.778320313,-246.429443359,-254.058837891,-292.205810547
,37.384033203,3.814697266,35.858154297,9.918212891,20.599365234,-34.332275391,-146.484375000,-223.541259766,-244.140625000,-257.873535156,-294.494628906
,35.858154297,1.525878906,39.672851563,10.681152344,19.836425781,-36.621093750,-151.062011719,-223.541259766,-242.614746094,-260.162353516,-298.309326172
,34.332275391,0.000000000,41.198730469,9.918212891,19.836425781,-40.435791016,-154.113769531,-225.067138672,-238.800048828,-261.688232422,-301.361083984
,32.806396484,-0.762939453,43.487548828,8.392333984,19.073486328,-45.013427734,-158.691406250,-227.355957031,-235.748291016,-262.451171875,-305.938720703
,30.517578125,-2.288818359,44.250488281,7.629394531,17.547607422,-48.065185547,-162.506103516,-228.881835938,-233.459472656,-261.688232422,-310.516357422
,28.228759766,-5.340576172,45.013427734,7.629394531,16.784667969,-51.879882813,-167.083740234,-230.407714844,-230.407714844,-262.451171875,-315.093994141
,25.177001953,-9.918212891,45.776367188,7.629394531,16.021728516,-55.694580078,-171.661376953,-231.170654297,-228.881835938,-262.451171875,-318.908691406
,22.125244141,-14.495849609,45.776367188,8.392333984,14.495849609,-60.272216797,-174.713134766,-231.933593750,-227.355957031,-263.214111328,-321.960449219
,18.310546875,-19.836425781,46.539306641,9.155273438,12.969970703,-65.612792969,-178.527832031,-231.933593750,-227.355957031,-263.214111328,-325.012207031
,14.495849609,-22.888183594,47.302246094,9.918212891,12.207031250,-71.716308594,-178.527832031,-230.407714844,-225.067138672,-262.451171875,-328.063964844
,9.918212891,-25.177001953,47.302246094,9.155273438,11.444091797,-77.056884766,-176.239013672,-228.118896484,-222.778320313,-261.688232422,-329.589843750
,6.103515625,-26.702880859,48.065185547,9.155273438,11.444091797,-80.108642578,-171.661376953,-225.067138672,-217.437744141,-260.925292969,-330.352783203
,3.051757813,-28.228759766,48.065185547,9.155273438,9.918212891,-81.634521484,-165.557861328,-222.778320313,-211.334228516,-260.925292969,-328.826904297
,0.762939453,-28.991699219,47.302246094,9.155273438,9.918212891,-81.634521484,-161.743164063,-220.489501953,-205.993652344,-260.925292969,-325.012207031
,-0.762939453,-30.517578125,48.065185547,9.918212891,10.681152344,-80.871582031,-158.691406250,-218.963623047,-200.653076172,-260.162353516,-321.197509766
,-1.525878906,-30.517578125,47.302246094,11.444091797,11.444091797,-80.871582031,-158.691406250,-217.437744141,-199.890136719,-258.636474609,-317.382812500
,-3.814697266,-32.806396484,47.302246094,10.681152344,12.969970703,-81.634521484,-162.506103516,-212.860107422,-202.941894531,-257.110595703,-312.042236328
,-4.577636719,-33.569335938,46.539306641,10.681152344,13.732910156,-83.160400391,-168.609619141,-205.993652344,-209.045410156,-255.584716797,-307.464599609
,-4.577636719,-34.332275391,45.013427734,9.918212891,14.495849609,-85.449218750,-177.764892578,-193.023681641,-220.489501953,-254.058837891,-300.598144531
,-3.814697266,-35.095214844,44.250488281,8.392333984,14.495849609,-86.975097656,-187.683105469,-176.239013672,-234.985351563,-253.295898438,-294.494628906
,-3.814697266,-34.332275391,44.250488281,7.629394531,12.969970703,-87.738037109,-196.838378906,-157.165527344,-254.058837891,-252.532958984,-287.628173828
,-3.814697266,-33.569335938,44.250488281,7.629394531,12.207031250,-88.500976563,-205.230712891,-137.329101563,-279.998779297,-251.007080078,-280.761718750
,-3.814697266,-32.806396484,44.250488281,6.866455078,10.681152344,-88.500976563,-210.571289063,-120.544433594,-312.805175781,-249.481201172,-273.132324219
,-3.051757813,-32.043457031,44.250488281,6.103515625,9.918212891,-90.026855469,-213.623046875,-105.285644531,-354.766845703,-246.429443359,-263.214111328
,-1.525878906,-31.280517578,43.487548828,4.577636719,8.392333984,-93.078613281,-215.148925781,-92.315673828,-401.306152344,-242.614746094,-254.058837891
,0.000000000,-31.280517578,42.724609375,2.288818359,7.629394531,-97.656250000,-212.860107422,-80.871582031,-447.845458984,-237.274169922,-246.429443359
,0.000000000,-30.517578125,41.198730469,0.000000000,6.866455078,-105.285644531,-211.334228516,-68.664550781,-487.518310547,-231.170654297,-239.562988281
,0.762939453,-30.517578125,40.435791016,-2.288818359,5.340576172,-111.389160156,-211.334228516,-57.983398438,-514.221191406,-225.830078125,-236.511230469
,0.000000000,-29.754638672,40.435791016,-5.340576172,3.814697266,-113.677978516,-218.200683594,-50.354003906,-521.850585938,-219.726562500,-236.511230469
,-0.762939453,-29.754638672,40.435791016,-7.629394531,1.525878906,-112.152099609,-233.459472656,-45.776367188,-511.169433594,-214.385986328,-237.274169922
,-1.525878906,-28.991699219,40.435791016,-8.392333984,0.000000000,-105.285644531,-260.162353516,-44.250488281,-480.651855469,-208.282470703,-238.037109375
,-3.051757813,-28.991699219,38.909912109,-7.629394531,0.000000000,-94.604492188,-295.257568359,-43.487548828,-436.401367188,-202.178955078,-236.511230469
,-4.577636719,-28.991699219,36.621093750,-6.103515625,-1.525878906,-82.397460938,-332.641601563,-40.435791016,-382.232666016,-198.364257813,-230.407714844
,-6.103515625,-29.754638672,34.332275391,-3.051757813,-2.288818359,-70.190429688,-368.499755859,-34.332275391,-321.197509766,-194.549560547,-221.252441406
,-6.866455078,-30.517578125,30.517578125,-1.525878906,-3.814697266,-60.272216797,-397.491455078,-25.939941406,-258.636474609,-192.260742188,-206.756591797
,-7.629394531,-32.806396484,27.465820313,-0.762939453,-5.340576172,-53.405761719,-421.142578125,-15.258789063,-196.838378906,-190.734863281,-188.446044922
,-8.392333984,-34.332275391,25.177001953,0.000000000,-6.103515625,-49.591064453,-439.453125000,-7.629394531,-137.329101563,-189.208984375,-169.372558594
,-9.155273438,-36.621093750,22.888183594,0.000000000,-4.577636719,-49.591064453,-459.289550781,-3.051757813,-85.449218750,-188.446044922,-149.536132813
,-9.155273438,-38.146972656,20.599365234,0.000000000,-3.051757813,-52.642822266,-484.466552734,-3.051757813,-39.672851563,-186.920166016,-131.225585938
,-9.155273438,-40.435791016,18.310546875,0.762939453,-1.525878906,-57.220458984,-517.272949219,-8.392333984,-1.525878906,-186.920166016,-115.203857422
,-10.681152344,-42.724609375,16.021728516,0.762939453,0.000000000,-61.798095703,-560.760498047,-18.310546875,27.465820313,-188.446044922,-102.996826172
,-12.969970703,-45.013427734,13.732910156,2.288818359,-1.525878906,-66.375732422,-607.299804688,-31.280517578,52.642822266,-190.734863281,-93.078613281
,-16.021728516,-46.539306641,12.969970703,3.814697266,-3.051757813,-70.190429688,-653.076171875,-45.776367188,73.242187500,-193.786621094,-85.449218750
,-19.836425781,-46.539306641,12.969970703,6.103515625,-4.577636719,-74.768066406,-685.119628906,-56.457519531,89.263916016,-196.838378906,-79.345703125
,-21.362304688,-45.776367188,13.732910156,7.629394531,-5.340576172,-80.108642578,-695.800781250,-62.561035156,103.759765625,-199.127197266,-74.768066406
,-21.362304688,-45.013427734,14.495849609,8.392333984,-3.814697266,-85.449218750,-683.593750000,-64.086914063,115.966796875,-199.890136719,-71.716308594
,-20.599365234,-43.487548828,14.495849609,9.918212891,-0.762939453,-88.500976563,-646.209716797,-61.035156250,126.647949219,-197.601318359,-70.953369141
,-19.836425781,-42.724609375,14.495849609,11.444091797,0.000000000,-88.500976563,-594.329833984,-57.220458984,135.803222656,-193.023681641,-73.242187500
,-19.073486328,-41.961669922,15.258789063,13.732910156,1.525878906,-84.686279297,-532.531738281,-54.931640625,140.380859375,-187.683105469,-75.531005859
,-19.073486328,-41.198730469,15.258789063,16.021728516,3.051757813,-75.531005859,-462.341308594,-54.931640625,141.143798828,-180.053710938,-80.108642578
,-19.836425781,-39.672851563,16.021728516,18.310546875,3.814697266,-62.561035156,-387.573242188,-60.272216797,136.566162109,-171.661376953,-86.212158203
,-19.836425781,-40.435791016,15.258789063,20.599365234,6.103515625,-48.065185547,-308.990478516,-69.427490234,126.647949219,-162.506103516,-91.552734375
,-19.073486328,-39.672851563,14.495849609,21.362304688,9.155273438,-31.280517578,-223.541259766,-80.871582031,112.152099609,-154.113769531,-98.419189453
,-16.784667969,-39.672851563,13.732910156,21.362304688,11.444091797,-15.258789063,-133.514404297,-94.604492188,93.841552734,-144.958496094,-106.811523438
,-15.258789063,-39.672851563,13.732910156,21.362304688,13.732910156,-0.762939453,-43.487548828,-104.522705078,72.479248047,-137.329101563,-116.729736328
,-13.732910156,-38.146972656,13.732910156,22.125244141,14.495849609,12.207031250,46.539306641,-112.915039063,51.116943359,-130.462646484,-128.936767578
,-11.444091797,-36.621093750,13.732910156,22.125244141,15.258789063,22.888183594,125.122070313,-119.018554688,28.991699219,-122.833251953,-139.617919922
,-9.155273438,-33.569335938,12.207031250,22.888183594,15.258789063,32.043457031,183.105468750,-123.596191406,10.681152344,-115.203857422,-149.536132813
,-7.629394531,-32.043457031,10.681152344,23.651123047,15.258789063,38.909912109,213.623046875,-129.699707031,-2.288818359,-105.285644531,-156.402587891
,-4.577636719,-28.991699219,8.392333984,24.414062500,17.547607422,44.250488281,213.623046875,-137.329101563,-12.207031250,-95.367431641,-161.743164063
,-2.288818359,-26.702880859,6.866455078,26.702880859,19.073486328,49.591064453,184.631347656,-147.247314453,-16.021728516,-84.686279297,-165.557861328
,-0.762939453,-25.939941406,6.866455078,28.228759766,20.599365234,52.642822266,132.751464844,-160.217285156,-17.547607422,-72.479248047,-167.083740234
,0.000000000,-25.177001953,6.866455078,30.517578125,22.125244141,54.931640625,63.323974609,-172.424316406,-16.021728516,-59.509277344,-166.320800781
,0.762939453,-25.939941406,6.103515625,32.043457031,21.362304688,57.220458984,-17.547607422,-181.579589844,-14.495849609,-46.539306641,-161.743164063
,1.525878906,-28.228759766,4.577636719,34.332275391,22.125244141,59.509277344,-102.233886719,-181.579589844,-12.969970703,-34.332275391,-151.062011719
,3.814697266,-28.991699219,3.051757813,37.384033203,22.888183594,62.561035156,-179.290771484,-169.372558594,-10.681152344,-22.125244141,-135.040283203
,5.340576172,-28.991699219,0.000000000,41.198730469,23.651123047,64.086914063,-233.459472656,-147.247314453,-11.444091797,-11.444091797,-114.440917969
,7.629394531,-28.228759766,-2.288818359,44.250488281,26.702880859,66.375732422,-254.058837891,-116.729736328,-11.444091797,0.000000000,-89.263916016
,8.392333984,-26.702880859,-5.340576172,46.539306641,28.991699219,67.901611328,-231.170654297,-85.449218750,-12.969970703,12.207031250,-64.849853516
,8.392333984,-25.939941406,-6.866455078,46.539306641,32.806396484,70.190429688,-164.031982422,-60.272216797,-16.021728516,25.177001953,-41.198730469
,9.155273438,-25.177001953,-8.392333984,46.539306641,35.858154297,72.479248047,-54.931640625,-45.013427734,-19.073486328,37.384033203,-19.836425781
,9.918212891,-25.177001953,-9.155273438,47.302246094,38.146972656,73.242187500,87.738037109,-40.435791016,-25.177001953,46.539306641,-3.051757813
,11.444091797,-23.651123047,-9.155273438,48.065185547,41.198730469,73.242187500,249.481201172,-44.250488281,-33.569335938,52.642822266,8.392333984
,12.207031250,-22.125244141,-9.155273438,48.065185547,43.487548828,71.716308594,409.698486328,-54.168701172,-41.961669922,55.694580078,17.547607422
,12.207031250,-20.599365234,-8.392333984,48.065185547,45.013427734,70.190429688,549.316406250,-67.901611328,-51.116943359,53.405761719,22.888183594
,12.969970703,-17.547607422,-6.866455078,46.539306641,45.776367188,67.901611328,650.024414063,-81.634521484,-59.509277344,50.354003906,25.177001953
,14.495849609,-12.969970703,-6.103515625,45.013427734,45.776367188,65.612792969,704.956054688,-93.078613281,-64.086914063,44.250488281,25.177001953
,16.784667969,-8.392333984,-5.340576172,43.487548828,45.013427734,61.798095703,713.348388672,-101.470947266,-67.138671875,36.621093750,24.414062500
,21.362304688,-3.051757813,-3.814697266,43.487548828,45.013427734,58.746337891,682.830810547,-102.996826172,-72.479248047,29.754638672,22.888183594
,25.177001953,1.525878906,-2.288818359,43.487548828,43.487548828,54.931640625,624.084472656,-99.945068359,-78.582763672,21.362304688,21.362304688
,29.754638672,5.340576172,-0.762939453,42.724609375,43.487548828,50.354003906,552.368164063,-95.367431641,-89.263916016,13.732910156,19.073486328
,34.332275391,8.392333984,0.000000000,42.724609375,42.724609375,45.013427734,478.363037109,-89.263916016,-102.233886719,8.392333984,15.258789063
,37.384033203,10.681152344,0.762939453,42.724609375,41.961669922,37.384033203,408.935546875,-83.160400391,-115.966796875,3.051757813,10.681152344
,40.435791016,11.444091797,2.288818359,43.487548828,41.961669922,30.517578125,347.137451172,-76.293945313,-127.410888672,0.000000000,5.340576172
,42.724609375,13.732910156,2.288818359,45.776367188,41.198730469,22.888183594,296.783447266,-65.612792969,-136.566162109,-3.051757813,0.000000000
,45.013427734,15.258789063,3.814697266,47.302246094,41.961669922,15.258789063,254.058837891,-52.642822266,-143.432617188,-7.629394531,-3.051757813
,45.776367188,16.784667969,5.340576172,47.302246094,43.487548828,7.629394531,218.963623047,-36.621093750,-145.721435547,-10.681152344,-5.340576172
,46.539306641,18.310546875,6.866455078,46.539306641,44.250488281,0.000000000,191.497802734,-19.836425781,-144.958496094,-13.732910156,-6.866455078
,46.539306641,19.073486328,9.155273438,44.250488281,45.013427734,-6.866455078,168.609619141,-5.340576172,-140.380859375,-15.258789063,-6.866455078
,46.539306641,19.836425781,9.918212891,41.198730469,45.776367188,-10.681152344,148.010253906,3.814697266,-131.988525391,-15.258789063,-5.340576172
,46.539306641,19.836425781,12.207031250,37.384033203,45.013427734,-12.969970703,127.410888672,6.103515625,-123.596191406,-14.495849609,-3.814697266
,46.539306641,18.310546875,14.495849609,35.095214844,44.250488281,-12.969970703,107.574462891,3.051757813,-114.440917969,-12.207031250,-2.288818359
,46.539306641,19.073486328,16.021728516,33.569335938,42.724609375,-10.681152344,87.738037109,-1.525878906,-105.285644531,-11.444091797,-1.525878906
,45.776367188,17.547607422,16.784667969,31.280517578,41.961669922,-8.392333984,70.190429688,-9.155273438,-96.893310547,-10.681152344,-2.288818359
,45.776367188,17.547607422,18.310546875,30.517578125,40.435791016,-4.577636719,55.694580078,-14.495849609,-90.026855469,-10.681152344,-3.051757813
,45.776367188,18.310546875,19.073486328,28.991699219,38.909912109,-0.762939453,43.487548828,-18.310546875,-83.923339844,-10.681152344,-4.577636719
,45.776367188,18.310546875,20.599365234,27.465820313,38.146972656,1.525878906,33.569335938,-22.888183594,-78.582763672,-10.681152344,-4.577636719
,46.539306641,19.073486328,22.888183594,26.702880859,38.146972656,6.103515625,25.939941406,-24.414062500,-74.005126953,-8.392333984,-3.814697266
,47.302246094,19.073486328,23.651123047,25.939941406,37.384033203,9.918212891,19.836425781,-24.414062500,-68.664550781,-5.340576172,-3.051757813
,46.539306641,19.073486328,24.414062500,24.414062500,36.621093750,13.732910156,12.969970703,-22.888183594,-64.849853516,-2.288818359,-2.288818359
,45.013427734,19.836425781,22.888183594,23.651123047,35.095214844,17.547607422,8.392333984,-18.310546875,-60.272216797,0.000000000,-2.288818359
,42.724609375,19.073486328,22.125244141,22.125244141,33.569335938,19.836425781,3.051757813,-13.732910156,-55.694580078,0.762939453,-3.814697266
,40.435791016,19.073486328,22.125244141,21.362304688,32.806396484,22.888183594,-0.762939453,-9.918212891,-52.642822266,1.525878906,-6.103515625
,38.909912109,18.310546875,22.888183594,19.073486328,32.043457031,24.414062500,-3.814697266,-5.340576172,-48.828125000,1.525878906,-9.918212891
,38.146972656,16.784667969,25.939941406,17.547607422,31.280517578,26.702880859,-7.629394531,-1.525878906,-47.302246094,1.525878906,-13.732910156
,38.146972656,16.021728516,28.228759766,15.258789063,30.517578125,27.465820313,-11.444091797,2.288818359,-44.250488281,2.288818359,-18.310546875
,36.621093750,14.495849609,30.517578125,12.207031250,28.991699219,27.465820313,-13.732910156,6.103515625,-40.435791016,2.288818359,-22.888183594
,35.858154297,11.444091797,32.806396484,9.155273438,26.702880859,28.228759766,-16.021728516,11.444091797,-35.858154297,3.814697266,-25.177001953
,35.095214844,9.155273438,35.095214844,7.629394531,24.414062500,28.991699219,-17.547607422,16.784667969,-29.754638672,5.340576172,-28.228759766
,32.806396484,6.103515625,37.384033203,4.577636719,22.125244141,28.228759766,-18.310546875,22.125244141,-23.651123047,4.577636719,-28.991699219
,30.517578125,3.051757813,40.435791016,4.577636719,19.836425781,28.228759766,-19.836425781,27.465820313,-18.310546875,5.340576172,-29.754638672
,27.465820313,0.000000000,43.487548828,4.577636719,17.547607422,27.465820313,-20.599365234,32.043457031,-12.207031250,4.577636719,-29.754638672
,23.651123047,-2.288818359,45.776367188,4.577636719,16.784667969,24.414062500,-20.599365234,34.332275391,-6.866455078,3.814697266,-29.754638672
,22.125244141,-6.103515625,47.302246094,8.392333984,15.258789063,22.888183594,-19.073486328,36.621093750,-1.525878906,5.340576172,-30.517578125
,20.599365234,-7.629394531,47.302246094,9.918212891,13.732910156,19.073486328,-14.495849609,38.146972656,1.525878906,6.103515625,-31.280517578
,19.073486328,-9.918212891,46.539306641,12.207031250,12.969970703,16.021728516,-11.444091797,38.909912109,3.814697266,7.629394531,-32.043457031
,17.547607422,-11.444091797,46.539306641,13.732910156,12.207031250,14.495849609,-7.629394531,40.435791016,5.340576172,8.392333984,-32.806396484
,14.495849609,-12.969970703,45.013427734,12.207031250,12.207031250,12.207031250,-3.814697266,39.672851563,6.866455078,8.392333984,-32.043457031
