Test Name,M-max Lower Leg Ampl Lines
Test Item,Right Gastroc
Patient Name,"pre  s2712tdvg"
Patient ID,
Test Date,1/29/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 19 mA : 100 탎","Tr 3 : 19 mA : 100 탎","Tr 4 : 19 mA : 100 탎","Tr 5 : 19 mA : 100 탎","Tr 6 : 94 mA : 100 탎","Tr 7 : 94 mA : 100 탎","Tr 8 : 100 mA : 100 탎","Tr 9 : 100 mA : 150 탎","Tr 10 : 100 mA : 200 탎","Tr 11 : 100 mA : 200 탎"
,-7.629394531,-19.073486328,33.569335938,9.918212891,17.547607422,22.125244141,19.836425781,43.487548828,47.302246094,11.444091797,16.784667969
,-9.155273438,-18.310546875,33.569335938,9.155273438,16.784667969,22.888183594,18.310546875,43.487548828,48.065185547,9.918212891,18.310546875
,-9.155273438,-17.547607422,34.332275391,8.392333984,16.021728516,23.651123047,14.495849609,43.487548828,48.828125000,9.155273438,19.836425781
,-7.629394531,-15.258789063,35.095214844,8.392333984,15.258789063,23.651123047,12.207031250,44.250488281,49.591064453,9.155273438,20.599365234
,-6.103515625,-13.732910156,35.095214844,6.866455078,13.732910156,25.177001953,9.918212891,45.013427734,50.354003906,9.155273438,21.362304688
,-3.051757813,-12.969970703,34.332275391,5.340576172,12.207031250,24.414062500,7.629394531,45.013427734,50.354003906,7.629394531,22.125244141
,-1.525878906,-11.444091797,32.806396484,4.577636719,10.681152344,24.414062500,7.629394531,45.013427734,51.116943359,6.866455078,23.651123047
,0.000000000,-11.444091797,29.754638672,3.814697266,9.155273438,24.414062500,6.866455078,44.250488281,50.354003906,6.103515625,25.939941406
,0.000000000,-12.207031250,27.465820313,3.051757813,9.155273438,23.651123047,6.103515625,43.487548828,49.591064453,3.814697266,27.465820313
,0.000000000,-12.207031250,25.939941406,3.814697266,8.392333984,22.888183594,6.103515625,41.961669922,48.828125000,2.288818359,28.228759766
,-1.525878906,-13.732910156,24.414062500,3.814697266,6.866455078,22.125244141,5.340576172,41.198730469,48.828125000,1.525878906,28.228759766
,-2.288818359,-14.495849609,23.651123047,3.814697266,4.577636719,21.362304688,4.577636719,38.909912109,48.828125000,0.000000000,27.465820313
,-3.814697266,-15.258789063,21.362304688,3.051757813,3.051757813,19.836425781,3.814697266,36.621093750,48.065185547,-0.762939453,27.465820313
,-4.577636719,-16.784667969,19.836425781,1.525878906,0.762939453,18.310546875,3.051757813,35.095214844,47.302246094,-0.762939453,28.228759766
,-5.340576172,-17.547607422,17.547607422,0.000000000,0.000000000,18.310546875,2.288818359,32.806396484,46.539306641,-1.525878906,30.517578125
,-6.866455078,-19.073486328,15.258789063,-1.525878906,0.000000000,17.547607422,2.288818359,30.517578125,45.013427734,-1.525878906,32.043457031
,-8.392333984,-20.599365234,13.732910156,-2.288818359,0.000000000,17.547607422,2.288818359,28.228759766,44.250488281,-1.525878906,34.332275391
,-9.918212891,-20.599365234,12.969970703,-2.288818359,0.000000000,17.547607422,2.288818359,25.939941406,44.250488281,-1.525878906,36.621093750
,-11.444091797,-22.125244141,12.207031250,-2.288818359,0.000000000,16.021728516,0.762939453,23.651123047,44.250488281,-1.525878906,38.909912109
,-12.207031250,-23.651123047,12.969970703,-0.762939453,0.000000000,13.732910156,0.762939453,22.888183594,44.250488281,0.000000000,41.961669922
,-13.732910156,-24.414062500,12.969970703,0.000000000,0.000000000,12.207031250,0.762939453,21.362304688,44.250488281,0.000000000,44.250488281
,-14.495849609,-26.702880859,12.969970703,1.525878906,0.000000000,10.681152344,0.000000000,19.836425781,44.250488281,1.525878906,47.302246094
,-16.021728516,-28.228759766,13.732910156,3.814697266,0.000000000,9.918212891,1.525878906,19.073486328,43.487548828,2.288818359,49.591064453
,-17.547607422,64.086914063,12.207031250,51.116943359,0.762939453,10.681152344,3.814697266,1021.575927734,1602.935791016,3.814697266,116.729736328
,-19.073486328,28.228759766,299.072265625,62.561035156,96.130371094,1572.418212891,1332.855224609,2013.397216797,3520.202636719,1541.137695313,1732.635498047
,-19.836425781,-11.444091797,594.329833984,74.005126953,192.260742188,3099.060058594,2654.266357422,2982.330322266,5376.434326172,4629.516601563,3249.359130859
,-20.599365234,-55.694580078,894.927978516,84.686279297,287.628173828,4608.917236328,3941.345214844,3915.405273438,7149.505615234,7664.489746094,4653.930664063
,-20.599365234,-288.391113281,1201.629638672,5.340576172,380.706787109,6098.937988281,5187.225341797,2799.987792969,5712.890625000,10591.125488281,5792.999267578
,-20.599365234,-270.080566406,933.837890625,-1.525878906,283.813476563,4441.070556641,3739.166259766,1665.496826172,3469.848632813,10327.148437500,3694.152832031
,-19.836425781,-244.140625000,652.313232422,-9.918212891,187.683105469,2831.268310547,2265.930175781,537.109375000,1256.561279297,6836.700439453,1651.000976563
,-19.073486328,-213.623046875,360.870361328,-19.836425781,90.026855469,1229.858398438,818.634033203,-559.234619141,-878.143310547,3329.467773438,-305.938720703
,-19.836425781,-87.738037109,61.798095703,12.207031250,-5.340576172,-352.478027344,-588.226318359,-612.640380859,-1363.372802734,-83.923339844,-2067.565917969
,-18.310546875,-86.212158203,48.065185547,9.155273438,-7.629394531,-350.952148438,-627.899169922,-635.528564453,-1394.653320313,-1842.498779297,-2136.230468750
,-17.547607422,-85.449218750,37.384033203,5.340576172,-10.681152344,-360.870361328,-631.713867188,-638.580322266,-1390.075683594,-1919.555664063,-2154.541015625
,-16.021728516,-84.686279297,28.991699219,2.288818359,-11.444091797,-363.159179688,-627.899169922,-634.765625000,-1372.528076172,-1918.792724609,-2136.230468750
,-12.969970703,-83.923339844,22.125244141,0.000000000,-12.207031250,-361.633300781,-619.506835938,-627.899169922,-1350.402832031,-1892.852783203,-2104.949951172
,-11.444091797,-81.634521484,14.495849609,-1.525878906,-12.969970703,-357.818603516,-608.825683594,-618.743896484,-1324.462890625,-1858.520507813,-2067.565917969
,-9.155273438,-80.108642578,8.392333984,-3.051757813,-12.969970703,-354.003906250,-597.381591797,-610.351562500,-1296.997070313,-1818.847656250,-2028.656005859
,-6.103515625,-77.056884766,1.525878906,-3.814697266,-13.732910156,-347.137451172,-583.648681641,-598.907470703,-1268.768310547,-1776.123046875,-1990.509033203
,-3.814697266,-74.768066406,-3.814697266,-4.577636719,-15.258789063,-339.508056641,-569.152832031,-587.463378906,-1239.013671875,-1734.161376953,-1954.650878906
,0.000000000,-73.242187500,-9.918212891,-4.577636719,-14.495849609,-331.878662109,-552.368164063,-572.204589844,-1208.496093750,-1689.910888672,-1921.081542969
,1.525878906,-70.953369141,-16.021728516,-3.814697266,-14.495849609,-323.486328125,-532.531738281,-552.368164063,-1174.926757813,-1647.186279297,-1890.563964844
,3.051757813,-70.953369141,-20.599365234,-3.051757813,-13.732910156,-314.331054688,-510.406494141,-530.242919922,-1136.779785156,-1602.172851563,-1861.572265625
,4.577636719,-70.953369141,-25.177001953,-0.762939453,-12.207031250,-303.649902344,-482.940673828,-504.302978516,-1094.818115234,-1552.581787109,-1832.580566406
,5.340576172,-70.190429688,-28.991699219,0.000000000,-12.207031250,-293.731689453,-451.660156250,-474.548339844,-1045.989990234,-1494.598388672,-1800.537109375
,6.866455078,-70.190429688,-32.043457031,0.762939453,-10.681152344,-283.050537109,-413.513183594,-440.216064453,-989.532470703,-1425.933837891,-1760.101318359
,8.392333984,-68.664550781,-35.858154297,1.525878906,-10.681152344,-270.080566406,-371.551513672,-398.254394531,-927.734375000,-1344.299316406,-1709.747314453
,9.918212891,-67.138671875,-38.909912109,2.288818359,-9.918212891,-254.821777344,-327.301025391,-350.952148438,-862.884521484,-1252.746582031,-1649.475097656
,11.444091797,-66.375732422,-41.198730469,3.051757813,-7.629394531,-233.459472656,-283.050537109,-299.072265625,-802.612304688,-1155.090332031,-1586.151123047
,12.207031250,-64.086914063,-42.724609375,4.577636719,-6.103515625,-205.993652344,-247.955322266,-254.058837891,-757.598876953,-1061.248779297,-1531.982421875
,13.732910156,-61.798095703,-42.724609375,5.340576172,-3.051757813,-172.424316406,-231.170654297,-228.118896484,-744.628906250,-984.954833984,-1499.176025391
,16.784667969,-60.272216797,-41.198730469,8.392333984,-0.762939453,-133.514404297,-242.614746094,-233.459472656,-774.383544922,-942.230224609,-1498.413085938
,18.310546875,-57.983398438,-40.435791016,9.918212891,0.762939453,-96.130371094,-292.968750000,-277.709960938,-851.440429688,-947.570800781,-1530.456542969
,20.599365234,-56.457519531,-39.672851563,12.207031250,3.051757813,-63.323974609,-380.706787109,-356.292724609,-971.221923828,-1006.317138672,-1589.965820313
,22.125244141,-54.931640625,-39.672851563,12.969970703,4.577636719,-38.909912109,-498.199462891,-456.237792969,-1118.469238281,-1115.417480469,-1668.548583984
