Trace Label,"Tr 1 : 100 mA","Tr 2 : 84 mA","Tr 3 : 28 mA","Tr 4 : 28 mA","Tr 5 : 41 mA","Tr 6 : 43 mA","Tr 7 : 45 mA","Tr 8 : 47 mA","Tr 9 : 48 mA","Tr 10 : 49 mA","Tr 11 : 51 mA","Tr 12 : 53 mA","Tr 13 : 55 mA","Tr 14 : 57 mA","Tr 15 : 58 mA","Tr 16 : 59 mA","Tr 17 : 60 mA","Tr 18 : 61 mA","Tr 19 : 62 mA","Tr 20 : 63 mA","Tr 21 : 66 mA","Tr 22 : 68 mA","Tr 23 : 48 mA","Tr 24 : 46 mA","Tr 25 : 43 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),13236.999511719,11931.610107422,4713.439941406,17989.349365234,11761.474609375,10137.939453125,16707.611083984,11557.769775391,6657.409667969,4438.781738281,8395.385742188,4326.629638672,4286.956787109,8673.095703125,6317.901611328,19699.096679688,4489.898681641,11423.492431641,11602.783203125,21828.460693359,17647.552490234,12136.077880859,8630.371093750,11967.468261719,17997.741699219
,-7279.968261719,-6311.798095703,-833.892822266,-788.116455078,-1970.672607422,-2300.262451172,-2304.077148438,-2705.383300781,-2881.622314453,-2983.856201172,-3063.201904297,-3344.726562500,-3483.581542969,-3667.449951172,-3631.591796875,-3713.226318359,-4067.993164063,-4156.494140625,-4052.734375000,-4292.297363281,-4692.840576172,-5104.064941406,-2809.906005859,-2285.003662109,-1795.959472656
,-6948.089599609,-6069.183349609,-821.685791016,-779.724121094,-1905.059814453,-2219.390869141,-2232.360839844,-2620.697021484,-2793.121337891,-2892.303466797,-2973.937988281,-3242.492675781,-3378.295898438,-3553.771972656,-3517.150878906,-3599.548339844,-3942.871093750,-4002.380371094,-3916.931152344,-4146.575927734,-4531.097412109,-4924.011230469,-2729.034423828,-2214.813232422,-1745.605468750
,-6614.685058594,-5823.516845703,-809.478759766,-771.331787109,-1840.209960938,-2137.756347656,-2160.644531250,-2536.010742188,-2704.620361328,-2799.224853516,-2882.385253906,-3139.495849609,-3273.773193359,-3440.856933594,-3404.998779297,-3485.107421875,-3820.037841797,-3850.555419922,-3780.364990234,-4000.091552734,-4367.065429688,-4738.616943359,-2647.399902344,-2145.385742188,-1693.725585938
,-6282.043457031,-5577.850341797,-797.271728516,-762.939453125,-1776.123046875,-2059.173583984,-2086.639404297,-2450.561523438,-2614.593505859,-2705.383300781,-2789.306640625,-3035.736083984,-3168.487548828,-3327.941894531,-3295.135498047,-3371.429443359,-3699.493408203,-3700.256347656,-3643.798828125,-3852.844238281,-4199.981689453,-4550.170898438,-2566.528320313,-2076.721191406,-1641.845703125
,-5949.401855469,-5329.132080078,-785.064697266,-754.547119141,-1712.799072266,-1979.827880859,-2010.345458984,-2363.586425781,-2523.040771484,-2609.252929688,-2692.413330078,-2931.213378906,-3063.964843750,-3215.789794922,-3188.323974609,-3258.514404297,-3580.474853516,-3551.483154297,-3507.232666016,-3704.833984375,-4032.135009766,-4363.250732422,-2485.656738281,-2008.056640625,-1590.728759766
,-5612.945556641,-5078.887939453,-772.857666016,-745.391845703,-1647.949218750,-1901.245117188,-1932.525634766,-2276.611328125,-2429.199218750,-2512.359619141,-2597.808837891,-2827.453613281,-2961.730957031,-3105.926513672,-3084.564208984,-3145.599365234,-3463.745117188,-3403.472900391,-3369.140625000,-3553.771972656,-3861.999511719,-4175.567626953,-2402.496337891,-1940.155029297,-1538.848876953
,-5274.963378906,-4823.303222656,-761.413574219,-735.473632813,-1580.810546875,-1822.662353516,-1853.179931641,-2188.873291016,-2335.357666016,-2415.466308594,-2503.967285156,-2726.745605469,-2861.785888672,-2999.114990234,-2982.330322266,-3033.447265625,-3346.252441406,-3256.225585938,-3231.048583984,-3399.658203125,-3688.812255859,-3989.410400391,-2317.810058594,-1871.490478516,-1487.731933594
,-4933.166503906,-4558.563232422,-750.732421875,-724.792480469,-1511.383056641,-1744.079589844,-1773.834228516,-2101.135253906,-2242.279052734,-2320.098876953,-2410.888671875,-2629.089355469,-2764.129638672,-2893.829345703,-2881.622314453,-2922.821044922,-3227.233886719,-3108.215332031,-3091.430664063,-3240.966796875,-3511.810302734,-3801.727294922,-2231.597900391,-1800.537109375,-1434.326171875
,-4590.606689453,-4286.956787109,-740.814208984,-712.585449219,-1440.429687500,-1666.259765625,-1695.251464844,-2013.397216797,-2149.963378906,-2225.494384766,-2319.335937500,-2533.721923828,-2667.999267578,-2789.306640625,-2779.388427734,-2811.431884766,-3107.452392578,-2960.205078125,-2950.286865234,-3076.171875000,-3330.993652344,-3609.466552734,-2143.096923828,-1728.820800781,-1378.631591797
,-4250.335693359,-4010.009765625,-728.607177734,-701.141357422,-1370.239257813,-1591.491699219,-1618.957519531,-1926.422119141,-2059.936523438,-2131.652832031,-2228.546142578,-2439.880371094,-2571.868896484,-2684.783935547,-2675.628662109,-2700.805664063,-2986.145019531,-2812.194824219,-2809.143066406,-2905.273437500,-3144.836425781,-3412.628173828,-2055.358886719,-1655.578613281,-1322.174072266
,-3915.405273438,-3729.248046875,-717.163085938,-688.934326172,-1301.574707031,-1518.249511719,-1544.189453125,-1839.447021484,-1969.909667969,-2039.337158203,-2136.230468750,-2346.801757813,-2476.501464844,-2581.024169922,-2571.868896484,-2588.653564453,-2861.785888672,-2660.369873047,-2663.421630859,-2729.034423828,-2954.864501953,-3212.738037109,-1969.146728516,-1582.336425781,-1266.479492188
,-3587.341308594,-3451.538085938,-704.193115234,-675.964355469,-1233.673095703,-1446.533203125,-1470.947265625,-1750.946044922,-1879.119873047,-1945.495605469,-2043.914794922,-2252.960205078,-2378.845214844,-2476.501464844,-2467.346191406,-2471.923828125,-2734.375000000,-2503.204345703,-2515.411376953,-2546.691894531,-2763.366699219,-3012.084960938,-1883.697509766,-1509.094238281,-1210.784912109
,-3266.906738281,-3178.405761719,-691.223144531,-662.231445313,-1165.008544922,-1373.291015625,-1397.705078125,-1663.208007813,-1786.804199219,-1853.179931641,-1951.599121094,-2159.881591797,-2281.188964844,-2371.978759766,-2361.297607422,-2352.142333984,-2602.386474609,-2339.172363281,-2364.349365234,-2363.586425781,-2573.394775391,-2814.483642578,-1798.248291016,-1435.852050781,-1155.853271484
,-2956.390380859,-2908.325195313,-679.779052734,-646.972656250,-1095.581054688,-1298.522949219,-1324.462890625,-1574.707031250,-1694.488525391,-1761.627197266,-1859.283447266,-2069.091796875,-2182.769775391,-2266.693115234,-2254.486083984,-2227.783203125,-2467.346191406,-2172.088623047,-2210.235595703,-2180.480957031,-2386.474609375,-2620.697021484,-1710.510253906,-1362.609863281,-1100.158691406
,-2655.792236328,-2642.822265625,-668.334960938,-630.187988281,-1026.153564453,-1222.229003906,-1249.694824219,-1486.968994141,-1602.935791016,-1671.600341797,-1766.204833984,-1977.539062500,-2084.350585938,-2160.644531250,-2146.911621094,-2102.661132813,-2329.254150391,-2004.241943359,-2057.647705078,-1997.375488281,-2202.606201172,-2432.250976563,-1621.246337891,-1287.841796875,-1042.938232422
,-2369.689941406,-2379.608154297,-656.890869141,-612.640380859,-955.200195313,-1145.172119141,-1173.400878906,-1400.756835938,-1512.145996094,-1581.573486328,-1674.652099609,-1884.460449219,-1985.168457031,-2053.070068359,-2038.574218750,-1977.539062500,-2191.162109375,-1837.921142578,-1905.059814453,-1814.270019531,-2019.500732422,-2245.330810547,-1531.982421875,-1213.073730469,-985.717773438
,-2097.320556641,-2118.682861328,-645.446777344,-595.855712891,-885.009765625,-1068.115234375,-1096.343994141,-1315.307617188,-1421.356201172,-1492.309570313,-1581.573486328,-1789.093017578,-1885.223388672,-1943.969726563,-1931.762695313,-1853.179931641,-2053.833007813,-1669.311523438,-1751.708984375,-1630.401611328,-1835.632324219,-2059.936523438,-1442.718505859,-1136.779785156,-927.734375000
,-1841.735839844,-1863.861083984,-632.476806641,-578.308105469,-814.056396484,-994.110107422,-1019.287109375,-1230.621337891,-1330.566406250,-1403.045654297,-1488.494873047,-1688.385009766,-1782.226562500,-1832.580566406,-1822.662353516,-1726.531982422,-1914.978027344,-1497.650146484,-1597.595214844,-1446.533203125,-1649.475097656,-1873.779296875,-1355.743408203,-1058.197021484,-868.988037109
,-1601.409912109,-1618.194580078,-621.032714844,-563.049316406,-743.865966797,-920.867919922,-942.993164063,-1146.697998047,-1238.250732422,-1313.781738281,-1394.653320313,-1584.625244141,-1677.703857422,-1716.613769531,-1712.036132813,-1596.069335938,-1773.071289063,-1319.122314453,-1441.192626953,-1262.664794922,-1459.503173828,-1686.859130859,-1268.768310547,-978.851318359,-809.478759766
,-1375.579833984,-1383.209228516,-609.588623047,-548.553466797,-672.912597656,-849.914550781,-867.462158203,-1062.011718750,-1145.935058594,-1226.043701172,-1299.285888672,-1479.339599609,-1570.892333984,-1594.543457031,-1596.069335938,-1459.503173828,-1625.061035156,-1135.253906250,-1281.738281250,-1080.322265625,-1268.005371094,-1496.887207031,-1179.504394531,-896.453857422,-747.680664063
,-1159.667968750,-1159.667968750,-600.433349609,-534.057617188,-603.485107422,-778.961181641,-792.694091797,-975.036621094,-1050.567626953,-1137.542724609,-1200.103759766,-1371.002197266,-1461.029052734,-1466.369628906,-1473.236083984,-1314.544677734,-1471.710205078,-949.096679688,-1120.758056641,-901.031494141,-1074.981689453,-1304.626464844,-1087.188720703,-811.767578125,-683.593750000
,-950.622558594,-943.756103516,-592.041015625,-519.561767578,-534.820556641,-707.244873047,-716.400146484,-885.772705078,-951.385498047,-1048.278808594,-1095.581054688,-1259.613037109,-1348.114013672,-1330.566406250,-1344.299316406,-1165.771484375,-1315.307617188,-764.465332031,-957.489013672,-722.503662109,-881.195068359,-1112.365722656,-988.769531250,-724.029541016,-617.218017578
,-746.154785156,-732.421875000,-583.648681641,-508.117675781,-468.444824219,-633.239746094,-637.817382813,-793.457031250,-848.388671875,-953.674316406,-985.717773438,-1142.883300781,-1228.332519531,-1189.422607422,-1209.259033203,-1013.946533203,-1155.853271484,-585.174560547,-794.982910156,-549.316406250,-691.223144531,-919.342041016,-888.824462891,-634.002685547,-547.790527344
,-545.501708984,-522.613525391,-574.493408203,-498.199462891,-404.357910156,-556.945800781,-556.945800781,-697.326660156,-740.051269531,-854.492187500,-870.513916016,-1023.101806641,-1103.210449219,-1046.752929688,-1068.115234375,-863.647460938,-997.161865234,-412.750244141,-635.528564453,-382.232666016,-504.302978516,-732.421875000,-787.353515625,-544.738769531,-478.363037109
,-351.715087891,-316.619873047,-563.812255859,-489.807128906,-341.033935547,-477.600097656,-473.785400391,-601.959228516,-630.187988281,-750.732421875,-753.021240234,-898.742675781,-974.273681641,-901.794433594,-926.208496094,-717.926025391,-839.233398438,-247.955322266,-481.414794922,-221.252441406,-325.012207031,-551.605224609,-686.645507813,-457.763671875,-409.698486328
,-163.269042969,-113.677978516,-553.131103516,-483.703613281,-276.184082031,-395.965576172,-390.625000000,-507.354736328,-520.324707031,-643.920898438,-634.002685547,-771.331787109,-842.285156250,-759.124755859,-787.353515625,-577.545166016,-685.119628906,-90.789794922,-333.404541016,-70.190429688,-154.113769531,-376.892089844,-588.989257813,-371.551513672,-342.559814453
,21.362304688,80.108642578,-543.212890625,-476.837158203,-209.045410156,-312.805175781,-308.227539063,-414.276123047,-411.224365234,-536.346435547,-515.747070313,-643.157958984,-710.296630859,-619.506835938,-650.787353516,-440.979003906,-535.583496094,57.983398438,-191.497802734,74.005126953,8.392333984,-209.045410156,-491.333007813,-288.391113281,-277.709960938
,204.467773438,266.265869141,-532.531738281,-469.207763672,-138.854980469,-229.644775391,-228.118896484,-322.723388672,-305.175781250,-430.297851563,-398.254394531,-514.984130859,-580.596923828,-484.466552734,-520.324707031,-308.227539063,-389.862060547,200.653076172,-53.405761719,215.148925781,164.031982422,-44.250488281,-395.965576172,-205.993652344,-215.148925781
,392.913818359,445.556640625,-522.613525391,-460.815429688,-67.901611328,-147.247314453,-149.536132813,-230.407714844,-199.890136719,-324.249267578,-282.287597656,-389.099121094,-454.711914063,-352.478027344,-394.439697266,-176.239013672,-249.481201172,337.219238281,80.108642578,352.478027344,315.093994141,116.729736328,-301.361083984,-125.885009766,-154.113769531
,585.937500000,619.506835938,-511.169433594,-453.186035156,0.762939453,-65.612792969,-72.479248047,-138.092041016,-96.893310547,-219.726562500,-169.372558594,-267.028808594,-334.930419922,-224.304199219,-270.080566406,-47.302246094,-111.389160156,467.681884766,212.097167969,488.281250000,461.578369141,275.421142578,-208.282470703,-47.302246094,-95.367431641
,783.538818359,793.457031250,-499.725341797,-445.556640625,66.375732422,12.207031250,3.051757813,-46.539306641,3.051757813,-117.492675781,-60.272216797,-149.536132813,-219.726562500,-97.656250000,-148.010253906,77.819824219,25.177001953,594.329833984,341.033935547,621.795654297,601.959228516,430.297851563,-115.966796875,28.991699219,-38.146972656
,983.428955078,968.933105469,-488.281250000,-437.927246094,128.936767578,88.500976563,77.819824219,41.961669922,102.233886719,-17.547607422,43.487548828,-37.384033203,-109.863281250,25.939941406,-30.517578125,200.653076172,158.691406250,714.874267578,464.630126953,750.732421875,735.473632813,579.071044922,-24.414062500,103.759765625,14.495849609
,1182.556152344,1146.697998047,-477.600097656,-428.771972656,189.971923828,162.506103516,151.062011719,128.936767578,198.364257813,78.582763672,143.432617188,69.427490234,-3.814697266,147.247314453,83.160400391,318.145751953,287.628173828,827.789306641,582.885742188,875.091552734,862.121582031,721.740722656,65.612792969,177.001953125,64.849853516
,1377.868652344,1324.462890625,-466.918945313,-418.090820313,250.244140625,234.222412109,222.778320313,214.385986328,291.442871094,171.661376953,240.325927734,173.950195313,98.419189453,263.977050781,193.023681641,431.823730469,411.224365234,935.363769531,695.037841797,996.398925781,983.428955078,859.832763672,155.639648438,248.718261719,112.915039063
,1570.129394531,1500.701904297,-457.000732422,-408.172607422,312.805175781,306.701660156,291.442871094,298.309326172,382.232666016,260.925292969,332.641601563,275.421142578,199.890136719,376.892089844,297.546386719,540.924072266,528.717041016,1039.123535156,804.138183594,1117.706298828,1105.499267578,999.450683594,242.614746094,318.145751953,159.454345703
,1760.864257813,1672.363281250,-447.082519531,-397.491455078,374.603271484,379.943847656,359.344482422,381.469726563,471.496582031,348.663330078,422.668457031,376.129150391,299.835205078,485.992431641,396.728515625,647.735595703,642.395019531,1141.357421875,910.949707031,1242.828369141,1232.910156250,1142.120361328,326.538085938,382.995605469,203.704833984
,1950.073242188,1838.684082031,-437.164306641,-388.336181641,434.875488281,452.423095703,426.483154297,463.867187500,559.997558594,434.875488281,511.169433594,474.548339844,397.491455078,592.803955078,492.858886719,753.784179688,753.784179688,1247.406005859,1020.050048828,1371.765136719,1367.187500000,1290.130615234,405.883789063,443.267822266,245.666503906
,2140.808105469,2002.716064453,-429.534912109,-379.180908203,493.621826172,522.613525391,492.095947266,542.449951172,646.209716797,518.035888672,595.855712891,569.915771484,491.333007813,699.615478516,586.700439453,860.595703125,865.173339844,1358.032226563,1132.202148438,1505.279541016,1507.568359375,1443.481445313,483.703613281,500.488281250,286.102294922
,2333.068847656,2165.222167969,-423.431396484,-369.262695313,548.553466797,592.041015625,557.708740234,618.743896484,730.133056641,598.144531250,680.541992188,661.468505859,582.885742188,805.664062500,681.304931641,969.696044922,978.088378906,1472.473144531,1248.168945313,1640.319824219,1651.000976563,1599.121093750,560.760498047,555.419921875,322.723388672
,2523.040771484,2330.017089844,-418.090820313,-359.344482422,601.196289063,658.416748047,621.032714844,694.274902344,811.004638672,675.964355469,762.939453125,749.206542969,671.386718750,912.475585938,778.961181641,1082.611083984,1094.055175781,1589.965820313,1368.713378906,1773.834228516,1792.907714844,1755.523681641,640.106201172,610.351562500,356.292724609
,2707.672119141,2497.863769531,-411.987304688,-347.900390625,653.839111328,724.792480469,684.356689453,769.042968750,889.587402344,751.495361328,844.573974609,834.655761719,759.124755859,1023.101806641,880.432128906,1198.577880859,1214.599609375,1707.458496094,1490.783691406,1906.585693359,1930.999755859,1911.926269531,721.740722656,666.809082031,389.862060547
,2880.859375000,2667.236328125,-405.883789063,-337.982177734,704.956054688,792.694091797,746.917724609,845.336914063,966.644287109,827.026367188,928.497314453,921.630859375,848.388671875,1134.490966797,985.717773438,1316.070556641,1338.195800781,1821.899414063,1612.091064453,2034.759521484,2064.514160156,2064.514160156,804.138183594,724.792480469,421.905517578
,3040.313720703,2838.134765625,-399.017333984,-328.063964844,756.072998047,859.069824219,808.715820313,921.630859375,1045.227050781,902.557373047,1011.657714844,1009.368896484,938.415527344,1248.931884766,1093.292236328,1432.800292969,1464.080810547,1932.525634766,1731.109619141,2157.592773438,2194.976806641,2211.761474609,888.824462891,785.827636719,455.474853516
,3182.220458984,3005.218505859,-391.387939453,-318.908691406,807.189941406,924.682617188,869.750976563,996.398925781,1126.098632813,980.377197266,1096.343994141,1100.921630859,1031.494140625,1364.135742188,1201.629638672,1546.478271484,1589.202880859,2039.337158203,1844.024658203,2274.322509766,2320.861816406,2354.431152344,972.747802734,847.625732422,489.044189453
,3308.105468750,3166.961669922,-383.758544922,-308.990478516,857.543945313,989.532470703,929.260253906,1070.404052734,1207.733154297,1058.197021484,1180.267333984,1192.474365234,1125.335693359,1477.813720703,1308.441162109,1657.867431641,1710.510253906,2142.333984375,1950.836181641,2385.711669922,2444.458007813,2490.997314453,1055.908203125,910.186767578,524.139404297
,3421.020507813,3324.127197266,-376.892089844,-299.072265625,905.609130859,1052.856445313,988.769531250,1143.646240234,1288.604736328,1134.490966797,1261.901855469,1281.738281250,1218.414306641,1588.439941406,1411.437988281,1764.678955078,1825.714111328,2244.567871094,2053.070068359,2492.523193359,2565.002441406,2623.748779297,1137.542724609,971.221923828,559.997558594
,3521.728515625,3472.137451172,-370.025634766,-289.154052734,952.148437500,1116.943359375,1048.278808594,1215.362548828,1366.424560547,1210.021972656,1343.536376953,1370.239257813,1310.729980469,1694.488525391,1512.145996094,1867.675781250,1934.814453125,2343.750000000,2150.726318359,2597.045898438,2681.732177734,2754.211425781,1216.888427734,1028.442382813,595.855712891
,3614.807128906,3614.807128906,-363.159179688,-279.998779297,997.924804688,1181.793212891,1108.551025391,1289.367675781,1440.429687500,1283.264160156,1422.119140625,1455.688476563,1401.519775391,1797.485351563,1609.802246094,1966.094970703,2038.574218750,2439.880371094,2246.093750000,2700.042724609,2797.698974609,2882.385253906,1295.471191406,1081.085205078,631.713867188
,3702.545166016,3752.899169922,-356.292724609,-272.369384766,1043.701171875,1245.117187500,1168.060302734,1362.609863281,1512.145996094,1355.743408203,1499.938964844,1541.137695313,1489.257812500,1895.904541016,1703.643798828,2059.173583984,2139.282226563,2533.721923828,2339.172363281,2803.039550781,2912.139892578,3009.796142578,1371.765136719,1128.387451172,663.757324219
,3781.127929688,3884.887695313,-348.663330078,-267.028808594,1090.240478516,1305.389404297,1226.043701172,1435.089111328,1581.573486328,1429.748535156,1576.232910156,1626.586914063,1577.758789063,1990.509033203,1795.959472656,2147.674560547,2239.990234375,2623.748779297,2429.962158203,2903.747558594,3025.054931641,3135.681152344,1448.059082031,1171.875000000,692.749023438
,3855.133056641,4010.772705078,-341.033935547,-261.688232422,1136.016845703,1363.372802734,1280.975341797,1506.805419922,1651.763916016,1504.516601563,1651.000976563,1712.036132813,1663.208007813,2079.010009766,1886.749267578,2233.123779297,2338.409423828,2711.486816406,2516.937255859,3002.166748047,3134.155273438,3257.751464844,1523.590087891,1215.362548828,718.688964844
,3923.034667969,4127.502441406,-334.167480469,-257.110595703,1181.030273438,1419.830322266,1334.381103516,1576.232910156,1721.191406250,1579.284667969,1722.717285156,1794.433593750,1745.605468750,2162.170410156,1975.250244141,2317.047119141,2436.828613281,2796.936035156,2600.860595703,3095.245361328,3237.915039063,3375.244140625,1596.832275391,1258.087158203,741.577148438
,3983.306884766,4235.076904297,-326.538085938,-251.770019531,1224.517822266,1475.524902344,1386.260986328,1643.371582031,1790.618896484,1653.289794922,1792.144775391,1874.542236328,1824.951171875,2242.279052734,2062.988281250,2398.681640625,2530.670166016,2878.570556641,2679.443359375,3180.694580078,3333.282470703,3485.107421875,1667.785644531,1301.574707031,764.465332031
,4039.764404297,4332.733154297,-320.434570313,-247.192382813,1266.479492188,1529.693603516,1435.852050781,1707.458496094,1857.757568359,1725.006103516,1859.283447266,1951.599121094,1899.719238281,2319.335937500,2149.963378906,2476.501464844,2621.459960938,2956.390380859,2751.159667969,3257.751464844,3422.546386719,3588.867187500,1735.687255859,1342.773437500,786.590576172
,4090.881347656,4423.522949219,-313.568115234,-243.377685547,1306.152343750,1582.336425781,1486.206054688,1770.019531250,1923.370361328,1793.670654297,1922.607421875,2025.604248047,1970.672607422,2394.866943359,2233.123779297,2548.217773438,2706.146240234,3026.580810547,2816.772460938,3325.653076172,3504.180908203,3685.760498047,1797.485351563,1380.157470703,807.952880859
,4138.183593750,4507.446289063,-307.464599609,-239.562988281,1345.062255859,1631.927490234,1534.271240234,1829.528808594,1985.168457031,1860.046386719,1983.642578125,2095.794677734,2039.337158203,2467.346191406,2311.706542969,2612.304687500,2783.966064453,3089.904785156,2874.755859375,3384.399414063,3578.186035156,3774.261474609,1855.468750000,1412.963867188,827.789306641
,4184.722900391,4585.266113281,-300.598144531,-237.274169922,1380.920410156,1676.940917969,1577.758789063,1885.986328125,2041.625976563,1921.081542969,2039.337158203,2162.170410156,2104.187011719,2533.721923828,2384.948730469,2667.999267578,2854.156494141,3144.073486328,2924.346923828,3435.516357422,3641.510009766,3852.081298828,1905.822753906,1440.429687500,845.336914063
,4234.313964844,4656.219482422,-293.731689453,-233.459472656,1413.726806641,1718.139648438,1618.957519531,1937.103271484,2092.742919922,1976.776123047,2091.217041016,2223.968505859,2164.459228516,2592.468261719,2449.035644531,2716.827392578,2913.665771484,3189.086914063,2967.071533203,3476.715087891,3693.389892578,3916.931152344,1950.073242188,1461.791992188,859.832763672
,4286.193847656,4720.306396484,-287.628173828,-229.644775391,1442.718505859,1753.997802734,1653.289794922,1984.405517578,2137.756347656,2027.130126953,2137.756347656,2280.426025391,2217.864990234,2643.585205078,2504.730224609,2757.263183594,2963.256835938,3226.470947266,3001.403808594,3508.758544922,3733.062744141,3968.048095703,1987.457275391,1478.576660156,869.750976563
,4341.125488281,4776.763916016,-282.287597656,-224.304199219,1469.421386719,1785.278320313,1683.044433594,2025.604248047,2175.903320313,2069.854736328,2178.192138672,2331.542968750,2265.167236328,2684.783935547,2550.506591797,2791.595458984,3002.929687500,3256.225585938,3027.343750000,3533.172607422,3761.291503906,4006.958007813,2018.737792969,1489.257812500,876.617431641
,4398.345947266,4827.880859375,-277.709960938,-217.437744141,1491.546630859,1811.981201172,1708.221435547,2061.462402344,2210.235595703,2108.001708984,2213.287353516,2376.556396484,2306.365966797,2719.879150391,2589.416503906,2818.298339844,3032.684326172,3278.350830078,3045.654296875,3548.431396484,3780.364990234,4035.949707031,2043.914794922,1494.598388672,880.432128906
,4456.329345703,4872.894287109,-273.132324219,-212.860107422,1509.094238281,1832.580566406,1727.294921875,2093.505859375,2238.464355469,2140.045166016,2243.041992188,2414.703369141,2341.461181641,2746.582031250,2620.697021484,2837.371826172,3054.809570313,3293.609619141,3057.098388672,3556.060791016,3791.809082031,4056.549072266,2063.751220703,1496.887207031,880.432128906
,4511.260986328,4911.041259766,-269.317626953,-207.519531250,1522.827148438,1847.839355469,1741.790771484,2120.971679688,2262.878417969,2169.036865234,2268.218994141,2447.509765625,2371.215820313,2767.944335938,2645.111083984,2850.341796875,3070.831298828,3302.764892578,3064.727783203,3558.349609375,3795.623779297,4067.993164063,2078.247070313,1494.598388672,878.143310547
,4562.377929688,4941.558837891,-266.265869141,-203.704833984,1531.219482422,1860.046386719,1750.946044922,2145.385742188,2283.477783203,2191.925048828,2287.292480469,2473.449707031,2396.392822266,2783.966064453,2663.421630859,2860.260009766,3082.275390625,3307.342529297,3070.068359375,3554.534912109,3794.097900391,4071.807861328,2088.928222656,1490.783691406,872.802734375
,4607.391357422,4964.447021484,-263.977050781,-200.653076172,1537.322998047,1869.201660156,1757.812500000,2165.222167969,2300.262451172,2209.472656250,2304.077148438,2493.286132813,2416.229248047,2794.647216797,2676.391601563,2868.652343750,3091.430664063,3308.868408203,3072.357177734,3548.431396484,3786.468505859,4069.519042969,2096.557617188,1484.680175781,864.410400391
,4646.301269531,4978.942871094,-261.688232422,-196.075439453,1539.611816406,1876.068115234,1762.390136719,2182.769775391,2314.758300781,2223.205566406,2317.810058594,2508.544921875,2433.013916016,2801.513671875,2686.309814453,2874.755859375,3096.771240234,3308.868408203,3073.120117188,3541.564941406,3776.550292969,4061.889648438,2104.187011719,1477.813720703,855.255126953
,4679.107666016,4984.283447266,-260.162353516,-191.497802734,1541.137695313,1881.408691406,1765.441894531,2197.265625000,2326.202392578,2234.649658203,2328.491210938,2520.751953125,2445.983886719,2805.328369141,2695.465087891,2880.096435547,3097.534179688,3305.816650391,3070.068359375,3533.172607422,3764.343261719,4051.208496094,2111.816406250,1470.184326172,844.573974609
,4705.810546875,4981.994628906,-257.873535156,-186.920166016,1539.611816406,1885.223388672,1768.493652344,2207.946777344,2336.120605469,2243.804931641,2339.172363281,2530.670166016,2455.902099609,2806.854248047,2703.094482422,2881.622314453,3094.482421875,3299.713134766,3063.964843750,3524.780273438,3749.084472656,4035.949707031,2117.919921875,1462.554931641,833.892822266
,4726.409912109,4969.787597656,-255.584716797,-182.342529297,1536.560058594,1886.749267578,1769.256591797,2217.864990234,2342.987060547,2252.197265625,2349.090576172,2539.825439453,2464.294433594,2805.328369141,2710.723876953,2879.333496094,3087.615966797,3292.846679688,3054.046630859,3514.099121094,3732.299804688,4016.113281250,2124.023437500,1454.925537109,823.211669922
,4739.379882813,4949.951171875,-253.295898438,-178.527832031,1531.219482422,1886.749267578,1769.256591797,2223.205566406,2348.327636719,2259.063720703,2356.719970703,2545.928955078,2469.635009766,2801.513671875,2715.301513672,2873.992919922,3077.697753906,3282.165527344,3041.076660156,3498.840332031,3710.937500000,3991.699218750,2128.601074219,1448.059082031,813.293457031
,4746.246337891,4923.248291016,-251.007080078,-173.950195313,1525.115966797,1883.697509766,1766.967773438,2227.020263672,2351.379394531,2262.115478516,2362.823486328,2552.032470703,2471.923828125,2795.410156250,2715.301513672,2864.074707031,3065.490722656,3269.958496094,3025.817871094,3479.003906250,3684.234619141,3963.470458984,2132.415771484,1441.955566406,804.138183594
,4747.772216797,4892.730712891,-248.718261719,-170.135498047,1517.486572266,1877.593994141,1760.864257813,2227.783203125,2352.905273438,2263.641357422,2366.638183594,2554.321289063,2471.923828125,2786.254882813,2712.249755859,2852.630615234,3048.706054688,3254.699707031,3006.744384766,3454.589843750,3653.717041016,3930.664062500,2136.230468750,1437.377929688,797.271728516
