Test Name,H-Reflex Inc-Dec
Test Item,Left Increasing -> M-max
Patient Name,"week5  s2811mytb"
Patient ID,
Test Date,6/4/2019
Trace Label,"Tr 1 : 0 mA","Tr 2 : 0 mA","Tr 3 : 11 mA","Tr 4 : 14.5 mA","Tr 5 : 30 mA","Tr 6 : 30 mA","Tr 7 : 30 mA","Tr 8 : 46 mA","Tr 9 : 52 mA","Tr 10 : 62 mA","Tr 11 : 100 mA","Tr 12 : 100 mA","Tr 13 : 100 mA","Tr 14 : 100 mA","Tr 15 : 100 mA","Tr 16 : 100 mA","Tr 17 : 100 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),42.724609375,-6.103515625,9650.421142578,13212.585449219,4141.235351563,14098.358154297,8767.700195313,17343.139648438,15901.184082031,7566.833496094,8449.554443359,6823.730468750,10192.871093750,13160.705566406,8396.148681641,15553.283691406,11092.376708984
,32.043457031,77.819824219,-975.036621094,-1068.115234375,-2413.940429688,-1679.229736328,-1658.630371094,-5293.273925781,-6645.202636719,-8296.203613281,-10575.103759766,-11111.450195313,-11698.150634766,-12455.749511719,-12403.106689453,-12495.422363281,-12167.358398438
,28.991699219,79.345703125,-962.066650391,-1053.619384766,-2384.185791016,-1660.919189453,-1638.793945313,-5285.644531250,-6661.987304688,-8332.061767578,-10686.492919922,-11222.076416016,-11808.013916016,-12554.168701172,-12504.577636719,-12597.656250000,-12265.777587891
,26.702880859,80.871582031,-948.333740234,-1038.360595703,-2355.194091797,-1643.371582031,-1618.194580078,-5274.963378906,-6672.668457031,-8364.105224609,-10800.170898438,-11337.280273438,-11923.217773438,-12656.402587891,-12610.626220703,-12704.467773438,-12368.774414063
,25.939941406,80.871582031,-935.363769531,-1024.627685547,-2326.202392578,-1625.823974609,-1596.832275391,-5261.230468750,-6678.771972656,-8393.859863281,-10916.900634766,-11457.061767578,-12040.710449219,-12759.399414063,-12720.489501953,-12814.331054688,-12473.297119141
,24.414062500,80.871582031,-922.393798828,-1010.894775391,-2297.210693359,-1609.802246094,-1574.707031250,-5244.445800781,-6681.823730469,-8422.851562500,-11036.682128906,-11580.657958984,-12158.966064453,-12866.973876953,-12832.641601563,-12928.009033203,-12581.634521484
,23.651123047,78.582763672,-910.186767578,-997.161865234,-2269.744873047,-1593.017578125,-1553.344726563,-5226.135253906,-6681.823730469,-8448.791503906,-11157.989501953,-11708.068847656,-12280.273437500,-12976.837158203,-12949.371337891,-13044.738769531,-12693.786621094
,22.125244141,77.056884766,-898.742675781,-984.191894531,-2240.753173828,-1577.758789063,-1531.219482422,-5205.535888672,-6680.297851563,-8473.205566406,-11280.822753906,-11835.479736328,-12400.054931641,-13088.989257813,-13068.389892578,-13162.231445313,-12808.227539063
,20.599365234,77.819824219,-886.535644531,-971.984863281,-2211.761474609,-1563.262939453,-1508.331298828,-5184.936523438,-6678.009033203,-8494.567871094,-11402.130126953,-11961.364746094,-12519.836425781,-13203.430175781,-13188.934326172,-13280.487060547,-12923.431396484
,19.073486328,79.345703125,-872.039794922,-961.303710938,-2182.006835938,-1548.767089844,-1486.206054688,-5162.048339844,-6673.431396484,-8513.641357422,-11518.096923828,-12084.960937500,-12636.566162109,-13317.871093750,-13309.478759766,-13396.453857422,-13037.109375000
,17.547607422,83.160400391,-858.306884766,-949.859619141,-2151.489257813,-1535.034179688,-1463.317871094,-5139.160156250,-6665.802001953,-8530.426025391,-11630.249023438,-12203.979492188,-12747.955322266,-13428.497314453,-13427.734375000,-13508.605957031,-13145.446777344
,15.258789063,85.449218750,-844.573974609,-938.415527344,-2122.497558594,-1521.301269531,-1441.955566406,-5116.271972656,-6655.120849609,-8543.395996094,-11736.297607422,-12318.420410156,-12853.240966797,-13534.545898438,-13540.649414063,-13616.180419922,-13247.680664063
,13.732910156,86.975097656,-830.078125000,-926.971435547,-2094.268798828,-1506.042480469,-1421.356201172,-5091.094970703,-6639.862060547,-8553.314208984,-11836.242675781,-12425.994873047,-12950.897216797,-13631.439208984,-13645.172119141,-13715.362548828,-13343.048095703
,12.207031250,88.500976563,-816.345214844,-914.001464844,-2066.040039063,-1490.783691406,-1401.519775391,-5064.392089844,-6621.551513672,-8561.706542969,-11931.610107422,-12525.939941406,-13040.161132813,-13716.888427734,-13742.065429688,-13804.626464844,-13429.260253906
,12.207031250,88.500976563,-801.849365234,-901.794433594,-2037.811279297,-1476.287841797,-1383.209228516,-5036.163330078,-6602.478027344,-8569.335937500,-12017.822265625,-12614.440917969,-13118.743896484,-13787.841796875,-13825.225830078,-13877.868652344,-13503.265380859
,11.444091797,89.263916016,-785.827636719,-890.350341797,-2011.108398438,-1461.791992188,-1365.661621094,-5006.408691406,-6584.930419922,-8576.965332031,-12091.827392578,-12689.971923828,-13182.067871094,-13842.773437500,-13893.890380859,-13934.326171875,-13562.774658203
,11.444091797,89.263916016,-771.331787109,-878.143310547,-1983.642578125,-1448.822021484,-1348.114013672,-4975.891113281,-6568.145751953,-8583.068847656,-12151.336669922,-12751.007080078,-13230.133056641,-13880.157470703,-13945.007324219,-13972.473144531,-13607.025146484
,10.681152344,88.500976563,-758.361816406,-867.462158203,-1957.702636719,-1435.852050781,-1330.566406250,-4943.847656250,-6553.649902344,-8585.357666016,-12194.061279297,-12795.257568359,-13260.650634766,-13901.519775391,-13979.339599609,-13994.598388672,-13636.779785156
,8.392333984,87.738037109,-745.391845703,-855.255126953,-1931.762695313,-1420.593261719,-1313.018798828,-4912.567138672,-6539.154052734,-8580.780029297,-12223.052978516,-12824.249267578,-13278.961181641,-13910.675048828,-13998.413085938,-14003.753662109,-13654.327392578
,5.340576172,86.212158203,-733.184814453,-842.285156250,-1905.059814453,-1404.571533203,-1293.945312500,-4880.523681641,-6520.843505859,-8569.335937500,-12241.363525391,-12842.559814453,-13288.879394531,-13911.437988281,-14006.805419922,-14002.990722656,-13665.771484375
,3.814697266,83.160400391,-720.977783203,-830.078125000,-1879.119873047,-1388.549804688,-1275.634765625,-4847.717285156,-6498.718261719,-8551.788330078,-12248.992919922,-12851.715087891,-13291.168212891,-13906.097412109,-14007.568359375,-13996.887207031,-13670.349121094
,2.288818359,80.871582031,-706.481933594,-819.396972656,-1851.654052734,-1373.291015625,-1258.087158203,-4814.910888672,-6472.015380859,-8527.374267578,-12249.755859375,-12852.478027344,-13288.116455078,-13891.601562500,-14000.701904297,-13983.154296875,-13665.771484375
,1.525878906,78.582763672,-693.511962891,-808.715820313,-1824.188232422,-1360.321044922,-1240.539550781,-4779.052734375,-6439.971923828,-8497.619628906,-12241.363525391,-12845.611572266,-13278.198242188,-13870.239257813,-13985.443115234,-13962.554931641,-13652.038574219
,0.762939453,75.531005859,-681.304931641,-798.797607422,-1797.485351563,-1347.351074219,-1223.754882813,-4742.431640625,-6404.876708984,-8464.050292969,-12224.578857422,-12829.589843750,-13259.887695313,-13837.432861328,-13962.554931641,-13932.037353516,-13627.624511719
,0.000000000,71.716308594,-669.860839844,-787.353515625,-1772.308349609,-1335.906982422,-1206.970214844,-4705.047607422,-6365.966796875,-8425.140380859,-12200.164794922,-12804.412841797,-13235.473632813,-13793.945312500,-13928.985595703,-13890.838623047,-13593.292236328
,-3.051757813,67.901611328,-660.705566406,-773.620605469,-1748.657226563,-1324.462890625,-1188.659667969,-4666.900634766,-6325.531005859,-8383.178710938,-12168.121337891,-12772.369384766,-13201.904296875,-13745.117187500,-13886.260986328,-13839.721679688,-13552.093505859
,-4.577636719,64.849853516,-651.550292969,-759.887695313,-1725.769042969,-1311.492919922,-1169.586181641,-4630.279541016,-6283.569335938,-8341.217041016,-12129.974365234,-12733.459472656,-13162.994384766,-13691.711425781,-13836.669921875,-13781.738281250,-13506.317138672
,-6.866455078,61.798095703,-643.157958984,-746.917724609,-1702.880859375,-1298.522949219,-1151.275634766,-4595.947265625,-6240.844726563,-8299.255371094,-12088.775634766,-12691.497802734,-13120.269775391,-13636.016845703,-13780.975341797,-13719.940185547,-13458.251953125
,-7.629394531,61.035156250,-634.765625000,-734.710693359,-1679.992675781,-1284.027099609,-1132.965087891,-4564.666748047,-6198.883056641,-8258.056640625,-12046.813964844,-12647.247314453,-13072.967529297,-13578.796386719,-13722.991943359,-13655.090332031,-13406.372070313
,-6.866455078,60.272216797,-625.610351563,-723.266601563,-1657.104492188,-1268.768310547,-1116.180419922,-4534.149169922,-6157.684326172,-8216.094970703,-12006.378173828,-12601.470947266,-13024.902343750,-13517.761230469,-13661.193847656,-13588.714599609,-13350.677490234
,-7.629394531,57.983398438,-617.218017578,-712.585449219,-1635.742187500,-1252.746582031,-1100.158691406,-4504.394531250,-6117.248535156,-8174.133300781,-11967.468261719,-12557.983398438,-12974.548339844,-13451.385498047,-13596.343994141,-13519.287109375,-13290.405273438
,-8.392333984,56.457519531,-607.299804688,-700.378417969,-1614.379882813,-1237.487792969,-1084.899902344,-4471.588134766,-6078.338623047,-8132.171630859,-11927.795410156,-12511.444091797,-12921.142578125,-13381.195068359,-13529.205322266,-13444.519042969,-13223.266601563
,-10.681152344,54.168701172,-597.381591797,-688.171386719,-1594.543457031,-1220.703125000,-1070.404052734,-4436.492919922,-6040.191650391,-8089.447021484,-11885.833740234,-12460.327148438,-12865.447998047,-13310.241699219,-13459.777832031,-13365.173339844,-13153.839111328
,-13.732910156,51.879882813,-588.989257813,-676.727294922,-1575.469970703,-1205.444335938,-1056.671142578,-4399.871826172,-6002.807617188,-8048.248291016,-11837.768554688,-12405.395507813,-12805.175781250,-13237.762451172,-13388.061523438,-13282.775878906,-13081.359863281
,-16.021728516,51.879882813,-579.071044922,-665.283203125,-1555.633544922,-1190.185546875,-1043.701171875,-4360.961914063,-5965.423583984,-8006.286621094,-11783.599853516,-12342.834472656,-12739.562988281,-13164.520263672,-13314.819335938,-13199.615478516,-13008.880615234
,-16.784667969,51.879882813,-569.915771484,-656.127929688,-1536.560058594,-1174.926757813,-1031.494140625,-4321.289062500,-5928.802490234,-7964.324951172,-11725.616455078,-12277.984619141,-12670.898437500,-13091.278076172,-13240.814208984,-13115.692138672,-12937.164306641
,-16.784667969,50.354003906,-560.760498047,-646.209716797,-1517.486572266,-1160.430908203,-1018.524169922,-4281.616210938,-5892.181396484,-7921.600341797,-11666.107177734,-12213.134765625,-12600.708007813,-13014.221191406,-13165.283203125,-13032.531738281,-12864.685058594
,-15.258789063,49.591064453,-551.605224609,-636.291503906,-1499.938964844,-1144.409179688,-1006.317138672,-4238.128662109,-5854.034423828,-7875.823974609,-11606.597900391,-12145.996093750,-12529.754638672,-12934.112548828,-13087.463378906,-12947.082519531,-12789.916992188
,-14.495849609,47.302246094,-543.212890625,-624.847412109,-1482.391357422,-1126.861572266,-991.821289063,-4193.878173828,-5815.124511719,-7828.521728516,-11547.851562500,-12079.620361328,-12457.275390625,-12850.952148438,-13008.880615234,-12857.818603516,-12711.334228516
,-12.207031250,45.013427734,-533.294677734,-613.403320313,-1464.080810547,-1108.551025391,-977.325439453,-4146.575927734,-5773.925781250,-7781.982421875,-11486.816406250,-12010.192871094,-12383.270263672,-12762.451171875,-12924.194335938,-12760.925292969,-12628.173828125
,-10.681152344,43.487548828,-524.139404297,-604.248046875,-1444.244384766,-1091.003417969,-962.829589844,-4097.747802734,-5731.964111328,-7734.680175781,-11419.677734375,-11936.187744141,-12303.924560547,-12667.846679688,-12834.167480469,-12657.928466797,-12538.146972656
,-8.392333984,43.487548828,-513.458251953,-595.855712891,-1424.407958984,-1073.455810547,-947.570800781,-4048.919677734,-5690.002441406,-7686.614990234,-11344.146728516,-11856.842041016,-12217.712402344,-12567.138671875,-12736.511230469,-12548.828125000,-12440.490722656
,-5.340576172,43.487548828,-502.777099609,-588.226318359,-1406.097412109,-1056.671142578,-933.074951172,-3997.802734375,-5647.277832031,-7637.023925781,-11261.749267578,-11770.629882813,-12123.870849609,-12456.512451172,-12628.936767578,-12432.861328125,-12334.442138672
,-3.814697266,43.487548828,-493.621826172,-581.359863281,-1388.549804688,-1040.649414063,-919.342041016,-3945.922851563,-5603.790283203,-7583.618164063,-11171.722412109,-11675.262451172,-12019.348144531,-12336.730957031,-12511.444091797,-12310.791015625,-12216.949462891
,-2.288818359,43.487548828,-485.992431641,-572.967529297,-1371.765136719,-1022.338867188,-905.609130859,-3891.754150391,-5557.250976563,-7527.923583984,-11072.540283203,-11569.976806641,-11906.433105469,-12208.557128906,-12383.270263672,-12181.854248047,-12091.064453125
,-0.762939453,42.724609375,-479.125976563,-564.575195313,-1357.269287109,-1004.791259766,-892.639160156,-3836.059570313,-5506.896972656,-7468.414306641,-10963.439941406,-11454.010009766,-11783.599853516,-12071.990966797,-12245.178222656,-12046.051025391,-11957.550048828
,0.000000000,41.198730469,-473.022460938,-556.182861328,-1342.010498047,-988.006591797,-880.432128906,-3778.839111328,-5451.965332031,-7404.327392578,-10842.895507813,-11328.125000000,-11653.137207031,-11930.847167969,-12102.508544922,-11904.144287109,-11820.220947266
,0.762939453,40.435791016,-466.156005859,-549.316406250,-1326.751708984,-971.221923828,-868.988037109,-3720.855712891,-5393.218994141,-7334.899902344,-10709.381103516,-11194.610595703,-11517.333984375,-11783.599853516,-11956.024169922,-11758.422851563,-11679.840087891
,2.288818359,38.909912109,-460.052490234,-542.449951172,-1311.492919922,-955.200195313,-857.543945313,-3662.109375000,-5329.895019531,-7256.317138672,-10564.422607422,-11051.940917969,-11373.901367188,-11632.537841797,-11806.488037109,-11609.649658203,-11533.355712891
,4.577636719,36.621093750,-455.474853516,-535.583496094,-1297.760009766,-940.704345703,-846.099853516,-3604.125976563,-5261.993408203,-7168.579101563,-10410.308837891,-10902.404785156,-11223.602294922,-11476.135253906,-11653.137207031,-11457.061767578,-11380.767822266
,6.866455078,33.569335938,-451.660156250,-528.717041016,-1283.264160156,-924.682617188,-834.655761719,-3543.853759766,-5187.225341797,-7070.922851563,-10250.091552734,-10746.002197266,-11065.673828125,-11315.917968750,-11493.682861328,-11302.185058594,-11217.498779297
,9.155273438,30.517578125,-447.082519531,-521.850585938,-1270.294189453,-909.423828125,-822.448730469,-3482.818603516,-5106.353759766,-6964.111328125,-10086.059570313,-10585.021972656,-10900.878906250,-11151.885986328,-11328.887939453,-11143.493652344,-11048.126220703
,11.444091797,26.702880859,-444.030761719,-514.984130859,-1257.324218750,-894.165039063,-810.241699219,-3420.257568359,-5020.904541016,-6851.196289063,-9920.501708984,-10420.227050781,-10731.506347656,-10985.565185547,-11160.278320313,-10980.987548828,-10874.176025391
,13.732910156,22.888183594,-439.453125000,-509.643554688,-1242.065429688,-878.906250000,-798.034667969,-3355.407714844,-4930.877685547,-6730.651855469,-9754.943847656,-10253.906250000,-10559.844970703,-10815.429687500,-10987.854003906,-10814.666748047,-10697.174072266
,15.258789063,19.836425781,-434.112548828,-504.302978516,-1226.806640625,-864.410400391,-785.064697266,-3289.031982422,-4836.273193359,-6604.766845703,-9584.808349609,-10086.059570313,-10385.894775391,-10641.479492188,-10812.377929688,-10643.768310547,-10518.646240234
,17.547607422,15.258789063,-429.534912109,-500.488281250,-1210.784912109,-850.677490234,-772.857666016,-3220.367431641,-4737.091064453,-6473.541259766,-9411.621093750,-9914.398193359,-10208.129882813,-10461.425781250,-10633.087158203,-10468.292236328,-10337.066650391
,17.547607422,11.444091797,-425.720214844,-495.910644531,-1195.526123047,-837.707519531,-760.650634766,-3150.177001953,-4630.279541016,-6334.686279297,-9233.093261719,-9738.922119141,-10025.787353516,-10275.268554688,-10448.455810547,-10286.712646484,-10148.620605469
,17.547607422,8.392333984,-422.668457031,-490.570068359,-1181.030273438,-825.500488281,-746.154785156,-3076.171875000,-4515.838623047,-6191.253662109,-9044.647216797,-9555.053710938,-9833.526611328,-10080.718994141,-10256.958007813,-10095.214843750,-9954.071044922
,16.784667969,6.866455078,-418.853759766,-484.466552734,-1167.297363281,-814.056396484,-731.658935547,-2999.114990234,-4396.057128906,-6045.532226563,-8847.808837891,-9360.504150391,-9630.584716797,-9877.014160156,-10057.830810547,-9893.798828125,-9751.892089844
,17.547607422,5.340576172,-415.039062500,-477.600097656,-1155.853271484,-804.138183594,-717.926025391,-2920.532226563,-4270.172119141,-5895.996093750,-8638.763427734,-9153.747558594,-9415.435791016,-9663.391113281,-9848.022460938,-9679.412841797,-9539.031982422
,19.836425781,6.103515625,-410.461425781,-472.259521484,-1142.883300781,-794.219970703,-704.193115234,-2840.423583984,-4141.998291016,-5744.171142578,-8415.985107422,-8932.495117188,-9185.028076172,-9436.035156250,-9626.007080078,-9449.005126953,-9313.201904297
,22.125244141,5.340576172,-405.883789063,-466.918945313,-1129.913330078,-785.827636719,-692.749023438,-2758.789062500,-4011.535644531,-5590.057373047,-8180.236816406,-8695.220947266,-8941.650390625,-9192.657470703,-9390.258789063,-9201.049804688,-9070.587158203
,24.414062500,4.577636719,-402.069091797,-460.815429688,-1118.469238281,-778.198242188,-680.541992188,-2677.154541016,-3878.784179688,-5432.128906250,-7930.755615234,-8444.213867188,-8681.488037109,-8928.680419922,-9137.725830078,-8931.732177734,-8806.610107422
,24.414062500,2.288818359,-395.965576172,-453.948974609,-1105.499267578,-769.805908203,-668.334960938,-2593.994140625,-3744.506835938,-5271.148681641,-7665.252685547,-8174.896240234,-8403.778076172,-8644.866943359,-8866.882324219,-8639.526367188,-8523.559570313
,24.414062500,0.000000000,-389.862060547,-447.082519531,-1094.818115234,-761.413574219,-655.364990234,-2508.544921875,-3609.466552734,-5105.590820313,-7385.253906250,-7888.031005859,-8109.283447266,-8345.794677734,-8577.728271484,-8329.010009766,-8223.724365234
,23.651123047,-2.288818359,-381.469726563,-439.453125000,-1085.662841797,-751.495361328,-643.157958984,-2423.858642578,-3474.426269531,-4935.455322266,-7093.048095703,-7584.381103516,-7800.292968750,-8032.989501953,-8271.789550781,-8007.049560547,-7913.970947266
,22.888183594,-4.577636719,-373.840332031,-433.349609375,-1077.270507813,-741.577148438,-632.476806641,-2338.409423828,-3339.385986328,-4762.268066406,-6789.398193359,-7266.998291016,-7482.147216797,-7714.843750000,-7954.406738281,-7678.985595703,-7598.876953125
,23.651123047,-6.866455078,-366.210937500,-428.009033203,-1070.404052734,-730.895996094,-622.558593750,-2254.486083984,-3205.871582031,-4587.554931641,-6478.881835938,-6942.749023438,-7157.897949219,-7393.646240234,-7633.209228516,-7350.158691406,-7283.782958984
,25.177001953,-10.681152344,-358.581542969,-421.905517578,-1064.300537109,-720.977783203,-613.403320313,-2172.851562500,-3076.171875000,-4414.367675781,-6164.550781250,-6615.447998047,-6832.122802734,-7069.396972656,-7307.434082031,-7021.331787109,-6967.926025391
,25.939941406,-14.495849609,-352.478027344,-415.039062500,-1057.434082031,-711.059570313,-604.248046875,-2092.742919922,-2948.760986328,-4242.706298828,-5849.456787109,-6288.909912109,-6506.347656250,-6745.147705078,-6981.658935547,-6690.979003906,-6649.017333984
,26.702880859,-19.073486328,-347.137451172,-408.935546875,-1050.567626953,-701.141357422,-593.566894531,-2014.160156250,-2825.164794922,-4074.096679688,-5534.362792969,-5964.660644531,-6178.283691406,-6420.135498047,-6652.832031250,-6360.626220703,-6325.531005859
,26.702880859,-23.651123047,-340.270996094,-402.069091797,-1041.412353516,-690.460205078,-582.885742188,-1936.340332031,-2706.146240234,-3907.012939453,-5221.557617188,-5641.937255859,-5848.693847656,-6095.123291016,-6320.953369141,-6026.458740234,-5995.178222656
,27.465820313,-25.939941406,-332.641601563,-395.965576172,-1029.968261719,-679.779052734,-572.967529297,-1859.283447266,-2589.416503906,-3739.929199219,-4911.804199219,-5321.502685547,-5518.341064453,-5770.111083984,-5987.548828125,-5689.239501953,-5657.958984375
,28.991699219,-28.228759766,-323.486328125,-391.387939453,-1016.998291016,-668.334960938,-563.049316406,-1782.226562500,-2474.975585938,-3571.319580078,-4603.576660156,-5003.356933594,-5184.936523438,-5441.284179688,-5651.092529297,-5348.205566406,-5316.162109375
,31.280517578,-29.754638672,-314.331054688,-386.047363281,-1003.265380859,-658.416748047,-556.182861328,-1705.932617188,-2362.823486328,-3398.895263672,-4295.349121094,-4684.448242188,-4851.531982422,-5109.405517578,-5311.584472656,-5003.356933594,-4972.076416016
,33.569335938,-32.043457031,-305.175781250,-381.469726563,-988.769531250,-647.735595703,-549.316406250,-1628.875732422,-2251.434326172,-3225.708007813,-3984.832763672,-4364.776611328,-4518.127441406,-4771.423339844,-4970.550537109,-4658.508300781,-4624.938964844
,35.858154297,-35.095214844,-296.020507813,-376.129150391,-972.747802734,-637.054443359,-543.212890625,-1551.818847656,-2140.045166016,-3047.180175781,-3672.790527344,-4042.816162109,-4184.722900391,-4431.152343750,-4626.464843750,-4317.474365234,-4278.564453125
,37.384033203,-37.384033203,-289.154052734,-370.788574219,-955.200195313,-625.610351563,-536.346435547,-1473.999023438,-2032.470703125,-2866.363525391,-3359.985351563,-3720.092773438,-3852.844238281,-4090.881347656,-4283.142089844,-3984.069824219,-3936.004638672
,39.672851563,-40.435791016,-281.524658203,-365.447998047,-934.600830078,-612.640380859,-528.717041016,-1396.179199219,-1927.185058594,-2681.732177734,-3049.468994141,-3398.132324219,-3524.017333984,-3755.187988281,-3945.159912109,-3659.820556641,-3600.311279297
,41.198730469,-42.724609375,-275.421142578,-360.107421875,-912.475585938,-598.907470703,-519.561767578,-1317.596435547,-1824.951171875,-2494.812011719,-2745.056152344,-3083.038330078,-3202.056884766,-3430.175781250,-3615.570068359,-3345.489501953,-3273.773193359
,43.487548828,-43.487548828,-270.080566406,-354.766845703,-890.350341797,-585.174560547,-510.406494141,-1239.013671875,-1725.769042969,-2307.891845703,-2446.746826172,-2775.573730469,-2886.962890625,-3114.318847656,-3297.424316406,-3039.550781250,-2958.679199219
,45.776367188,-44.250488281,-266.265869141,-350.189208984,-866.699218750,-570.678710938,-499.725341797,-1161.956787109,-1625.823974609,-2122.497558594,-2158.355712891,-2475.738525391,-2583.312988281,-2810.668945313,-2989.959716797,-2742.004394531,-2653.503417969
,46.539306641,-43.487548828,-263.214111328,-344.848632813,-843.811035156,-555.419921875,-488.281250000,-1087.188720703,-1523.590087891,-1940.155029297,-1880.645751953,-2185.058593750,-2289.581298828,-2515.411376953,-2692.413330078,-2452.087402344,-2355.194091797
,47.302246094,-41.961669922,-260.925292969,-339.508056641,-821.685791016,-538.635253906,-474.548339844,-1015.472412109,-1420.593261719,-1762.390136719,-1610.565185547,-1902.008056641,-2004.241943359,-2225.494384766,-2403.259277344,-2169.799804688,-2065.277099609
,47.302246094,-41.198730469,-257.110595703,-333.404541016,-800.323486328,-521.850585938,-460.815429688,-945.281982422,-1316.833496094,-1591.491699219,-1351.165771484,-1628.875732422,-1728.820800781,-1943.969726563,-2124.023437500,-1895.904541016,-1782.989501953
,45.776367188,-39.672851563,-252.532958984,-327.301025391,-778.198242188,-505.065917969,-446.319580078,-877.380371094,-1213.073730469,-1428.222656250,-1101.684570313,-1367.187500000,-1462.554931641,-1671.600341797,-1855.468750000,-1632.690429688,-1509.857177734
,43.487548828,-38.146972656,-247.192382813,-321.197509766,-758.361816406,-490.570068359,-432.586669922,-810.241699219,-1110.839843750,-1272.583007813,-863.647460938,-1119.995117188,-1206.207275391,-1412.200927734,-1598.358154297,-1381.683349609,-1247.406005859
,41.961669922,-36.621093750,-242.614746094,-315.856933594,-740.051269531,-476.837158203,-420.379638672,-743.865966797,-1009.368896484,-1124.572753906,-642.395019531,-888.061523438,-962.829589844,-1168.823242188,-1355.743408203,-1143.646240234,-996.398925781
,39.672851563,-35.095214844,-239.562988281,-310.516357422,-723.266601563,-463.867187500,-408.172607422,-679.016113281,-904.846191406,-981.140136719,-438.690185547,-671.386718750,-730.895996094,-938.415527344,-1124.572753906,-917.053222656,-755.310058594
,38.146972656,-32.806396484,-237.274169922,-304.412841797,-708.007812500,-450.897216797,-395.965576172,-613.403320313,-801.086425781,-839.996337891,-249.481201172,-466.156005859,-511.932373047,-720.977783203,-904.846191406,-701.141357422,-526.428222656
,35.858154297,-30.517578125,-235.748291016,-299.835205078,-695.037841797,-437.927246094,-386.047363281,-547.790527344,-695.800781250,-699.615478516,-71.716308594,-270.843505859,-304.412841797,-514.984130859,-695.800781250,-492.095947266,-307.464599609
,32.806396484,-28.228759766,-234.222412109,-295.257568359,-682.830810547,-426.483154297,-376.129150391,-481.414794922,-589.752197266,-560.760498047,98.419189453,-82.397460938,-106.811523438,-317.382812500,-492.858886719,-286.102294922,-98.419189453
,28.991699219,-24.414062500,-231.933593750,-291.442871094,-669.860839844,-415.039062500,-368.499755859,-413.513183594,-484.466552734,-423.431396484,265.502929688,98.419189453,80.871582031,-125.885009766,-295.257568359,-82.397460938,100.708007813
,25.939941406,-22.125244141,-229.644775391,-288.391113281,-659.179687500,-404.357910156,-363.159179688,-345.611572266,-377.655029297,-289.154052734,428.771972656,275.421142578,264.739990234,60.272216797,-101.470947266,117.492675781,292.968750000
,22.125244141,-18.310546875,-226.593017578,-284.576416016,-647.735595703,-394.439697266,-357.055664063,-279.235839844,-270.080566406,-159.454345703,589.752197266,448.608398438,443.267822266,247.955322266,90.789794922,314.331054688,480.651855469
,18.310546875,-15.258789063,-224.304199219,-279.998779297,-637.817382813,-385.284423828,-352.478027344,-212.860107422,-162.506103516,-30.517578125,749.206542969,620.269775391,621.032714844,434.875488281,283.050537109,508.880615234,664.520263672
,14.495849609,-12.207031250,-222.778320313,-274.658203125,-629.425048828,-377.655029297,-347.137451172,-151.062011719,-54.168701172,96.130371094,909.423828125,794.219970703,798.797607422,624.084472656,478.363037109,703.430175781,847.625732422
,10.681152344,-9.155273438,-220.489501953,-270.080566406,-620.269775391,-371.551513672,-341.796875000,-90.789794922,52.642822266,223.541259766,1074.218750000,971.221923828,978.088378906,816.345214844,678.253173828,898.742675781,1033.020019531
,7.629394531,-6.866455078,-217.437744141,-265.502929688,-611.877441406,-366.973876953,-338.745117188,-33.569335938,158.691406250,352.478027344,1244.354248047,1153.564453125,1162.719726563,1013.183593750,882.720947266,1097.106933594,1219.177246094
,6.103515625,-5.340576172,-213.623046875,-262.451171875,-603.485107422,-364.685058594,-334.167480469,21.362304688,263.977050781,482.177734375,1422.882080078,1338.195800781,1350.402832031,1211.547851563,1090.240478516,1296.997070313,1406.860351563
,4.577636719,-6.103515625,-208.282470703,-259.399414063,-595.092773438,-363.159179688,-331.878662109,80.871582031,366.210937500,611.877441406,1603.698730469,1522.064208984,1538.848876953,1409.149169922,1296.234130859,1494.598388672,1590.728759766
,3.051757813,-7.629394531,-203.704833984,-256.347656250,-588.226318359,-361.633300781,-328.063964844,143.432617188,465.393066406,739.288330078,1784.515380859,1702.880859375,1722.717285156,1602.935791016,1499.176025391,1686.859130859,1770.782470703
,3.051757813,-9.918212891,-199.127197266,-251.007080078,-580.596923828,-360.107421875,-321.960449219,207.519531250,563.049316406,864.410400391,1961.517333984,1876.068115234,1898.956298828,1788.330078125,1697.540283203,1873.016357422,1944.732666016
,1.525878906,-12.207031250,-194.549560547,-245.666503906,-572.967529297,-358.581542969,-315.856933594,272.369384766,658.416748047,985.717773438,2132.415771484,2040.100097656,2066.802978516,1966.094970703,1889.801025391,2051.544189453,2112.579345703
